Owner:,BEST ANTHONY JAMES
Cname:,SM ENERGY CO
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,89
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,56
2004,Oct,0
2004,Nov,59
2004,Dec,0
2005,Jan,46
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,42
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,30
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,29
2006,Jul,0
2006,Aug,0
2006,Sep,26
2006,Oct,0
2006,Nov,0
2006,Dec,24
2007,Jan,42
2007,Feb,0
2007,Mar,20
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,44
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,29
2008,Jun,0
2008,Jul,15
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,14
2008,Dec,40
2009,Jan,13
2009,Feb,0
2009,Mar,24
2009,Apr,37
2009,May,25
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,12
2009,Oct,0
2009,Nov,11
2009,Dec,11
2010,Jan,32
2010,Feb,0
2010,Mar,18
2010,Apr,10
2010,May,30
2010,Jun,30
2010,Jul,35
2010,Aug,8
2010,Sep,8
2010,Oct,40
2010,Nov,47
2010,Dec,8
2011,Jan,24
2011,Feb,20
2011,Mar,36
2011,Apr,12
2011,May,36
2011,Jun,12
2011,Jul,24
2011,Aug,23
2011,Sep,28
2011,Oct,21
2011,Nov,11
2011,Dec,31
2012,Jan,24
2012,Feb,20
2012,Mar,28
2012,Apr,30
2012,May,38
2012,Jun,29
2012,Jul,33
2012,Aug,23
2012,Sep,28
2012,Oct,13
2012,Nov,35
2012,Dec,34
2013,Jan,64
2013,Feb,56
2013,Mar,27
2013,Apr,64
2013,May,40
2013,Jun,46
2013,Jul,28
2013,Aug,20
2013,Sep,20
2013,Oct,41
2013,Nov,62
2013,Dec,23
2014,Jan,48
2014,Feb,64
2014,Mar,33
2014,Apr,38
2014,May,24
2014,Jun,76
2014,Jul,100
2014,Aug,17
2014,Sep,17
2014,Oct,16
2014,Nov,50
2014,Dec,21
2015,Jan,52
2015,Feb,38
2015,Mar,36
2015,Apr,25
2015,May,47
2015,Jun,53
2015,Jul,21
2015,Aug,21
2015,Sep,53
2015,Oct,46
2015,Nov,36
2015,Dec,55
2016,Jan,39
2016,Feb,37
2016,Mar,41
2016,Apr,52
2016,May,23
2016,Jun,48
2016,Jul,34
2016,Aug,35
2016,Sep,26
2016,Oct,26
2016,Nov,22
2016,Dec,46
2017,Jan,47
2017,Feb,37
2017,Mar,53
2017,Apr,44
2017,May,30
2017,Jun,52
2017,Jul,58
2017,Aug,15
2017,Sep,24
2017,Oct,26
2017,Nov,21
2017,Dec,59
2018,Jan,42
2018,Feb,43
2018,Mar,28
2018,Apr,38
2018,May,43
2018,Jun,60
2018,Jul,51
2018,Aug,32
2018,Sep,33
2018,Oct,32
2018,Nov,35
2018,Dec,53
2019,Jan,45
2019,Feb,57
2019,Mar,39
2019,Apr,18
2019,May,34
2019,Jun,80
2019,Jul,50
2019,Aug,39
2019,Sep,19
2019,Oct,28
2019,Nov,64
2019,Dec,48
2020,Jan,50
2020,Feb,63
2020,Mar,32
2020,Apr,45
2020,May,27
2020,Jun,27
2020,Jul,49
2020,Aug,56
2020,Sep,60
2020,Oct,54
2020,Nov,40
2020,Dec,60
2021,Jan,47
2021,Feb,69
2021,Mar,55
2021,Apr,25
2021,May,50
2021,Jun,46
2021,Jul,34
2021,Aug,28
2021,Sep,48
2021,Oct,32
2021,Nov,36
2021,Dec,44
2022,Jan,38
2022,Feb,43
2022,Mar,26
