Owner:,BRADLEY JEFF
Cname:,CLAYMONT STEEL HOLDINGS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,62
2004,Feb,24
2004,Mar,31
2004,Apr,23
2004,May,64
2004,Jun,22
2004,Jul,45
2004,Aug,20
2004,Sep,39
2004,Oct,90
2004,Nov,41
2004,Dec,100
2005,Jan,88
2005,Feb,67
2005,Mar,57
2005,Apr,41
2005,May,66
2005,Jun,30
2005,Jul,52
2005,Aug,62
2005,Sep,51
2005,Oct,18
2005,Nov,31
2005,Dec,47
2006,Jan,37
2006,Feb,32
2006,Mar,29
2006,Apr,66
2006,May,29
2006,Jun,10
2006,Jul,39
2006,Aug,45
2006,Sep,59
2006,Oct,29
2006,Nov,29
2006,Dec,29
2007,Jan,14
2007,Feb,27
2007,Mar,17
2007,Apr,38
2007,May,26
2007,Jun,41
2007,Jul,26
2007,Aug,24
2007,Sep,18
2007,Oct,33
2007,Nov,30
2007,Dec,29
2008,Jan,35
2008,Feb,21
2008,Mar,23
2008,Apr,30
2008,May,43
2008,Jun,32
2008,Jul,25
2008,Aug,33
2008,Sep,42
2008,Oct,21
2008,Nov,31
2008,Dec,21
2009,Jan,18
2009,Feb,25
2009,Mar,40
2009,Apr,27
2009,May,17
2009,Jun,22
2009,Jul,32
2009,Aug,35
2009,Sep,28
2009,Oct,38
2009,Nov,24
2009,Dec,31
2010,Jan,42
2010,Feb,35
2010,Mar,26
2010,Apr,26
2010,May,31
2010,Jun,27
2010,Jul,25
2010,Aug,27
2010,Sep,28
2010,Oct,24
2010,Nov,18
2010,Dec,24
2011,Jan,22
2011,Feb,30
2011,Mar,29
2011,Apr,22
2011,May,32
2011,Jun,39
2011,Jul,31
2011,Aug,29
2011,Sep,24
2011,Oct,18
2011,Nov,22
2011,Dec,28
2012,Jan,28
2012,Feb,23
2012,Mar,18
2012,Apr,18
2012,May,21
2012,Jun,30
2012,Jul,31
2012,Aug,30
2012,Sep,16
2012,Oct,25
2012,Nov,22
2012,Dec,19
2013,Jan,39
2013,Feb,29
2013,Mar,36
2013,Apr,74
2013,May,34
2013,Jun,29
2013,Jul,34
2013,Aug,18
2013,Sep,25
2013,Oct,25
2013,Nov,30
2013,Dec,24
2014,Jan,23
2014,Feb,31
2014,Mar,26
2014,Apr,29
2014,May,25
2014,Jun,27
2014,Jul,26
2014,Aug,27
2014,Sep,30
2014,Oct,30
2014,Nov,20
2014,Dec,25
2015,Jan,43
2015,Feb,28
2015,Mar,23
2015,Apr,20
2015,May,35
2015,Jun,25
2015,Jul,24
2015,Aug,27
2015,Sep,24
2015,Oct,24
2015,Nov,29
2015,Dec,30
2016,Jan,20
2016,Feb,24
2016,Mar,23
2016,Apr,25
2016,May,27
2016,Jun,23
2016,Jul,25
2016,Aug,23
2016,Sep,19
2016,Oct,19
2016,Nov,24
2016,Dec,32
2017,Jan,32
2017,Feb,26
2017,Mar,28
2017,Apr,24
2017,May,24
2017,Jun,21
2017,Jul,34
2017,Aug,19
2017,Sep,18
2017,Oct,20
2017,Nov,25
2017,Dec,18
2018,Jan,21
2018,Feb,25
2018,Mar,24
2018,Apr,15
2018,May,28
2018,Jun,24
2018,Jul,24
2018,Aug,21
2018,Sep,16
2018,Oct,28
2018,Nov,20
2018,Dec,19
2019,Jan,47
2019,Feb,38
2019,Mar,31
2019,Apr,19
2019,May,19
2019,Jun,23
2019,Jul,24
2019,Aug,26
2019,Sep,23
2019,Oct,21
2019,Nov,24
2019,Dec,17
2020,Jan,20
2020,Feb,22
2020,Mar,18
2020,Apr,15
2020,May,19
2020,Jun,19
2020,Jul,16
2020,Aug,16
2020,Sep,17
2020,Oct,12
2020,Nov,19
2020,Dec,23
2021,Jan,24
2021,Feb,23
2021,Mar,18
2021,Apr,19
2021,May,18
2021,Jun,13
2021,Jul,18
2021,Aug,15
2021,Sep,13
2021,Oct,13
2021,Nov,18
2021,Dec,18
2022,Jan,15
2022,Feb,15
2022,Mar,14
