Owner:,BROWN ROBERT G
Cname:,SPAR GROUP INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,55
2004,May,100
2004,Jun,0
2004,Jul,53
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,48
2004,Dec,0
2005,Jan,0
2005,Feb,78
2005,Mar,0
2005,Apr,38
2005,May,0
2005,Jun,35
2005,Jul,35
2005,Aug,65
2005,Sep,30
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,22
2006,Apr,24
2006,May,0
2006,Jun,24
2006,Jul,46
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,38
2006,Dec,0
2007,Jan,51
2007,Feb,0
2007,Mar,16
2007,Apr,0
2007,May,15
2007,Jun,16
2007,Jul,15
2007,Aug,14
2007,Sep,29
2007,Oct,26
2007,Nov,13
2007,Dec,27
2008,Jan,23
2008,Feb,0
2008,Mar,0
2008,Apr,12
2008,May,0
2008,Jun,12
2008,Jul,0
2008,Aug,12
2008,Sep,11
2008,Oct,10
2008,Nov,11
2008,Dec,11
2009,Jan,0
2009,Feb,21
2009,Mar,10
2009,Apr,10
2009,May,0
2009,Jun,20
2009,Jul,0
2009,Aug,29
2009,Sep,19
2009,Oct,9
2009,Nov,28
2009,Dec,0
2010,Jan,17
2010,Feb,10
2010,Mar,0
2010,Apr,9
2010,May,19
2010,Jun,10
2010,Jul,17
2010,Aug,0
2010,Sep,0
2010,Oct,8
2010,Nov,29
2010,Dec,7
2011,Jan,6
2011,Feb,6
2011,Mar,11
2011,Apr,6
2011,May,17
2011,Jun,0
2011,Jul,17
2011,Aug,5
2011,Sep,5
2011,Oct,15
2011,Nov,5
2011,Dec,15
2012,Jan,14
2012,Feb,0
2012,Mar,18
2012,Apr,0
2012,May,4
2012,Jun,5
2012,Jul,9
2012,Aug,13
2012,Sep,9
2012,Oct,8
2012,Nov,0
2012,Dec,0
2013,Jan,11
2013,Feb,24
2013,Mar,7
2013,Apr,8
2013,May,15
2013,Jun,0
2013,Jul,15
2013,Aug,0
2013,Sep,7
2013,Oct,11
2013,Nov,4
2013,Dec,4
2014,Jan,14
2014,Feb,0
2014,Mar,10
2014,Apr,18
2014,May,15
2014,Jun,0
2014,Jul,16
2014,Aug,8
2014,Sep,0
2014,Oct,15
2014,Nov,16
2014,Dec,8
2015,Jan,19
2015,Feb,8
2015,Mar,15
2015,Apr,12
2015,May,4
2015,Jun,4
2015,Jul,16
2015,Aug,4
2015,Sep,4
2015,Oct,4
2015,Nov,15
2015,Dec,4
2016,Jan,9
2016,Feb,16
2016,Mar,14
2016,Apr,14
2016,May,6
2016,Jun,9
2016,Jul,6
2016,Aug,3
2016,Sep,3
2016,Oct,6
2016,Nov,8
2016,Dec,16
2017,Jan,13
2017,Feb,3
2017,Mar,7
2017,Apr,5
2017,May,19
2017,Jun,0
2017,Jul,8
2017,Aug,5
2017,Sep,3
2017,Oct,13
2017,Nov,5
2017,Dec,15
2018,Jan,10
2018,Feb,16
2018,Mar,5
2018,Apr,20
2018,May,7
2018,Jun,3
2018,Jul,8
2018,Aug,10
2018,Sep,8
2018,Oct,13
2018,Nov,10
2018,Dec,13
2019,Jan,17
2019,Feb,5
2019,Mar,10
2019,Apr,5
2019,May,20
2019,Jun,5
2019,Jul,3
2019,Aug,5
2019,Sep,14
2019,Oct,9
2019,Nov,21
2019,Dec,9
2020,Jan,0
2020,Feb,9
2020,Mar,8
2020,Apr,4
2020,May,16
2020,Jun,23
2020,Jul,6
2020,Aug,0
2020,Sep,13
2020,Oct,31
2020,Nov,9
2020,Dec,7
2021,Jan,5
2021,Feb,8
2021,Mar,11
2021,Apr,5
2021,May,5
2021,Jun,2
2021,Jul,17
2021,Aug,12
2021,Sep,10
2021,Oct,5
2021,Nov,3
2021,Dec,5
2022,Jan,8
2022,Feb,9
2022,Mar,5
