Owner:,BRUNO LAWRENCE
Cname:,CORE LABORATORIES NV
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,29
2004,Aug,26
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,18
2005,Apr,0
2005,May,37
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,27
2006,Feb,0
2006,Mar,12
2006,Apr,0
2006,May,0
2006,Jun,26
2006,Jul,13
2006,Aug,0
2006,Sep,0
2006,Oct,21
2006,Nov,10
2006,Dec,11
2007,Jan,0
2007,Feb,20
2007,Mar,18
2007,Apr,18
2007,May,25
2007,Jun,17
2007,Jul,8
2007,Aug,8
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,15
2008,Jan,13
2008,Feb,7
2008,Mar,13
2008,Apr,13
2008,May,6
2008,Jun,7
2008,Jul,7
2008,Aug,0
2008,Sep,0
2008,Oct,5
2008,Nov,6
2008,Dec,12
2009,Jan,28
2009,Feb,6
2009,Mar,0
2009,Apr,5
2009,May,5
2009,Jun,17
2009,Jul,16
2009,Aug,0
2009,Sep,10
2009,Oct,5
2009,Nov,10
2009,Dec,5
2010,Jan,19
2010,Feb,20
2010,Mar,9
2010,Apr,23
2010,May,24
2010,Jun,5
2010,Jul,0
2010,Aug,8
2010,Sep,8
2010,Oct,46
2010,Nov,19
2010,Dec,41
2011,Jan,23
2011,Feb,44
2011,Mar,23
2011,Apr,42
2011,May,26
2011,Jun,36
2011,Jul,38
2011,Aug,30
2011,Sep,22
2011,Oct,31
2011,Nov,26
2011,Dec,30
2012,Jan,19
2012,Feb,38
2012,Mar,23
2012,Apr,22
2012,May,7
2012,Jun,24
2012,Jul,16
2012,Aug,24
2012,Sep,4
2012,Oct,33
2012,Nov,23
2012,Dec,55
2013,Jan,52
2013,Feb,56
2013,Mar,58
2013,Apr,31
2013,May,36
2013,Jun,40
2013,Jul,52
2013,Aug,74
2013,Sep,57
2013,Oct,20
2013,Nov,34
2013,Dec,24
2014,Jan,42
2014,Feb,100
2014,Mar,40
2014,Apr,23
2014,May,23
2014,Jun,17
2014,Jul,25
2014,Aug,18
2014,Sep,34
2014,Oct,9
2014,Nov,24
2014,Dec,40
2015,Jan,42
2015,Feb,43
2015,Mar,19
2015,Apr,28
2015,May,22
2015,Jun,21
2015,Jul,29
2015,Aug,8
2015,Sep,16
2015,Oct,7
2015,Nov,15
2015,Dec,8
2016,Jan,22
2016,Feb,53
2016,Mar,18
2016,Apr,17
2016,May,9
2016,Jun,11
2016,Jul,11
2016,Aug,11
2016,Sep,5
2016,Oct,38
2016,Nov,33
2016,Dec,39
2017,Jan,21
2017,Feb,43
2017,Mar,23
2017,Apr,28
2017,May,32
2017,Jun,22
2017,Jul,12
2017,Aug,16
2017,Sep,17
2017,Oct,29
2017,Nov,35
2017,Dec,15
2018,Jan,41
2018,Feb,39
2018,Mar,40
2018,Apr,26
2018,May,22
2018,Jun,23
2018,Jul,20
2018,Aug,18
2018,Sep,20
2018,Oct,26
2018,Nov,21
2018,Dec,10
2019,Jan,15
2019,Feb,41
2019,Mar,17
2019,Apr,7
2019,May,14
2019,Jun,16
2019,Jul,18
2019,Aug,7
2019,Sep,12
2019,Oct,11
2019,Nov,11
2019,Dec,13
2020,Jan,13
2020,Feb,8
2020,Mar,14
2020,Apr,11
2020,May,8
2020,Jun,15
2020,Jul,15
2020,Aug,7
2020,Sep,16
2020,Oct,15
2020,Nov,14
2020,Dec,14
2021,Jan,10
2021,Feb,11
2021,Mar,40
2021,Apr,21
2021,May,12
2021,Jun,19
2021,Jul,16
2021,Aug,19
2021,Sep,14
2021,Oct,15
2021,Nov,33
2021,Dec,14
2022,Jan,22
2022,Feb,14
2022,Mar,25
