Owner:,CAMPBELL KENT
Cname:,LILM INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,46
2004,Feb,0
2004,Mar,0
2004,Apr,87
2004,May,40
2004,Jun,41
2004,Jul,0
2004,Aug,0
2004,Sep,72
2004,Oct,37
2004,Nov,76
2004,Dec,67
2005,Jan,0
2005,Feb,31
2005,Mar,26
2005,Apr,61
2005,May,27
2005,Jun,83
2005,Jul,27
2005,Aug,52
2005,Sep,0
2005,Oct,22
2005,Nov,46
2005,Dec,0
2006,Jan,58
2006,Feb,100
2006,Mar,18
2006,Apr,37
2006,May,35
2006,Jun,0
2006,Jul,18
2006,Aug,33
2006,Sep,33
2006,Oct,15
2006,Nov,0
2006,Dec,46
2007,Jan,40
2007,Feb,14
2007,Mar,13
2007,Apr,26
2007,May,12
2007,Jun,13
2007,Jul,12
2007,Aug,23
2007,Sep,34
2007,Oct,41
2007,Nov,10
2007,Dec,21
2008,Jan,28
2008,Feb,19
2008,Mar,28
2008,Apr,0
2008,May,9
2008,Jun,40
2008,Jul,28
2008,Aug,19
2008,Sep,0
2008,Oct,32
2008,Nov,0
2008,Dec,0
2009,Jan,16
2009,Feb,9
2009,Mar,8
2009,Apr,23
2009,May,16
2009,Jun,16
2009,Jul,24
2009,Aug,23
2009,Sep,30
2009,Oct,0
2009,Nov,15
2009,Dec,0
2010,Jan,20
2010,Feb,32
2010,Mar,12
2010,Apr,12
2010,May,45
2010,Jun,19
2010,Jul,28
2010,Aug,11
2010,Sep,26
2010,Oct,15
2010,Nov,55
2010,Dec,20
2011,Jan,8
2011,Feb,34
2011,Mar,34
2011,Apr,35
2011,May,38
2011,Jun,28
2011,Jul,27
2011,Aug,25
2011,Sep,29
2011,Oct,37
2011,Nov,34
2011,Dec,23
2012,Jan,53
2012,Feb,44
2012,Mar,24
2012,Apr,32
2012,May,21
2012,Jun,47
2012,Jul,24
2012,Aug,38
2012,Sep,21
2012,Oct,38
2012,Nov,11
2012,Dec,24
2013,Jan,36
2013,Feb,22
2013,Mar,35
2013,Apr,33
2013,May,28
2013,Jun,29
2013,Jul,18
2013,Aug,25
2013,Sep,30
2013,Oct,24
2013,Nov,20
2013,Dec,20
2014,Jan,16
2014,Feb,23
2014,Mar,21
2014,Apr,24
2014,May,46
2014,Jun,23
2014,Jul,19
2014,Aug,30
2014,Sep,24
2014,Oct,35
2014,Nov,29
2014,Dec,18
2015,Jan,43
2015,Feb,8
2015,Mar,28
2015,Apr,26
2015,May,19
2015,Jun,22
2015,Jul,22
2015,Aug,24
2015,Sep,31
2015,Oct,25
2015,Nov,28
2015,Dec,27
2016,Jan,14
2016,Feb,21
2016,Mar,26
2016,Apr,26
2016,May,35
2016,Jun,21
2016,Jul,24
2016,Aug,17
2016,Sep,19
2016,Oct,16
2016,Nov,16
2016,Dec,19
2017,Jan,33
2017,Feb,14
2017,Mar,33
2017,Apr,9
2017,May,27
2017,Jun,26
2017,Jul,22
2017,Aug,9
2017,Sep,24
2017,Oct,31
2017,Nov,24
2017,Dec,17
2018,Jan,37
2018,Feb,23
2018,Mar,16
2018,Apr,29
2018,May,36
2018,Jun,23
2018,Jul,21
2018,Aug,16
2018,Sep,13
2018,Oct,29
2018,Nov,22
2018,Dec,22
2019,Jan,14
2019,Feb,11
2019,Mar,18
2019,Apr,16
2019,May,27
2019,Jun,19
2019,Jul,13
2019,Aug,18
2019,Sep,15
2019,Oct,10
2019,Nov,20
2019,Dec,15
2020,Jan,14
2020,Feb,16
2020,Mar,13
2020,Apr,11
2020,May,23
2020,Jun,17
2020,Jul,14
2020,Aug,30
2020,Sep,24
2020,Oct,7
2020,Nov,12
2020,Dec,14
2021,Jan,23
2021,Feb,7
2021,Mar,20
2021,Apr,16
2021,May,12
2021,Jun,23
2021,Jul,14
2021,Aug,21
2021,Sep,26
2021,Oct,18
2021,Nov,22
2021,Dec,7
2022,Jan,20
2022,Feb,21
2022,Mar,11
