Owner:,CRYSTAL ROGER
Cname:,OPIANT PHARMACEUTICALS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,33
2004,Feb,65
2004,Mar,41
2004,Apr,95
2004,May,0
2004,Jun,59
2004,Jul,91
2004,Aug,27
2004,Sep,26
2004,Oct,0
2004,Nov,83
2004,Dec,98
2005,Jan,43
2005,Feb,68
2005,Mar,38
2005,Apr,44
2005,May,39
2005,Jun,20
2005,Jul,20
2005,Aug,94
2005,Sep,52
2005,Oct,81
2005,Nov,50
2005,Dec,0
2006,Jan,57
2006,Feb,15
2006,Mar,26
2006,Apr,55
2006,May,64
2006,Jun,27
2006,Jul,53
2006,Aug,36
2006,Sep,36
2006,Oct,45
2006,Nov,11
2006,Dec,11
2007,Jan,29
2007,Feb,31
2007,Mar,37
2007,Apr,38
2007,May,34
2007,Jun,18
2007,Jul,35
2007,Aug,25
2007,Sep,17
2007,Oct,15
2007,Nov,45
2007,Dec,31
2008,Jan,47
2008,Feb,28
2008,Mar,41
2008,Apr,47
2008,May,88
2008,Jun,29
2008,Jul,27
2008,Aug,27
2008,Sep,19
2008,Oct,6
2008,Nov,26
2008,Dec,25
2009,Jan,41
2009,Feb,43
2009,Mar,22
2009,Apr,34
2009,May,29
2009,Jun,12
2009,Jul,12
2009,Aug,23
2009,Sep,16
2009,Oct,26
2009,Nov,43
2009,Dec,21
2010,Jan,30
2010,Feb,36
2010,Mar,38
2010,Apr,20
2010,May,56
2010,Jun,21
2010,Jul,58
2010,Aug,17
2010,Sep,21
2010,Oct,37
2010,Nov,12
2010,Dec,28
2011,Jan,28
2011,Feb,34
2011,Mar,33
2011,Apr,31
2011,May,27
2011,Jun,22
2011,Jul,25
2011,Aug,37
2011,Sep,20
2011,Oct,22
2011,Nov,22
2011,Dec,18
2012,Jan,12
2012,Feb,22
2012,Mar,17
2012,Apr,25
2012,May,24
2012,Jun,15
2012,Jul,17
2012,Aug,12
2012,Sep,14
2012,Oct,24
2012,Nov,27
2012,Dec,100
2013,Jan,43
2013,Feb,15
2013,Mar,20
2013,Apr,16
2013,May,10
2013,Jun,36
2013,Jul,27
2013,Aug,24
2013,Sep,26
2013,Oct,13
2013,Nov,16
2013,Dec,20
2014,Jan,21
2014,Feb,18
2014,Mar,30
2014,Apr,36
2014,May,20
2014,Jun,18
2014,Jul,24
2014,Aug,13
2014,Sep,23
2014,Oct,20
2014,Nov,11
2014,Dec,19
2015,Jan,20
2015,Feb,21
2015,Mar,23
2015,Apr,10
2015,May,28
2015,Jun,20
2015,Jul,28
2015,Aug,21
2015,Sep,27
2015,Oct,16
2015,Nov,18
2015,Dec,20
2016,Jan,16
2016,Feb,12
2016,Mar,24
2016,Apr,33
2016,May,21
2016,Jun,14
2016,Jul,35
2016,Aug,31
2016,Sep,32
2016,Oct,10
2016,Nov,24
2016,Dec,25
2017,Jan,19
2017,Feb,22
2017,Mar,31
2017,Apr,18
2017,May,37
2017,Jun,28
2017,Jul,23
2017,Aug,23
2017,Sep,27
2017,Oct,16
2017,Nov,15
2017,Dec,19
2018,Jan,33
2018,Feb,20
2018,Mar,25
2018,Apr,21
2018,May,24
2018,Jun,18
2018,Jul,23
2018,Aug,31
2018,Sep,30
2018,Oct,16
2018,Nov,25
2018,Dec,19
2019,Jan,31
2019,Feb,29
2019,Mar,23
2019,Apr,26
2019,May,13
2019,Jun,28
2019,Jul,22
2019,Aug,20
2019,Sep,21
2019,Oct,20
2019,Nov,14
2019,Dec,16
2020,Jan,16
2020,Feb,20
2020,Mar,14
2020,Apr,10
2020,May,11
2020,Jun,18
2020,Jul,30
2020,Aug,19
2020,Sep,12
2020,Oct,16
2020,Nov,24
2020,Dec,11
2021,Jan,12
2021,Feb,9
2021,Mar,9
2021,Apr,17
2021,May,25
2021,Jun,24
2021,Jul,20
2021,Aug,37
2021,Sep,25
2021,Oct,26
2021,Nov,14
2021,Dec,22
2022,Jan,12
2022,Feb,25
2022,Mar,13
