Owner:,DAVID PO
Cname:,IMAGE CHAIN GROUP LIMITED INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,81
2004,Feb,26
2004,Mar,0
2004,Apr,26
2004,May,47
2004,Jun,48
2004,Jul,74
2004,Aug,22
2004,Sep,21
2004,Oct,44
2004,Nov,45
2004,Dec,100
2005,Jan,70
2005,Feb,18
2005,Mar,31
2005,Apr,18
2005,May,16
2005,Jun,0
2005,Jul,65
2005,Aug,15
2005,Sep,42
2005,Oct,40
2005,Nov,14
2005,Dec,39
2006,Jan,35
2006,Feb,36
2006,Mar,21
2006,Apr,44
2006,May,52
2006,Jun,22
2006,Jul,11
2006,Aug,39
2006,Sep,0
2006,Oct,27
2006,Nov,36
2006,Dec,18
2007,Jan,24
2007,Feb,17
2007,Mar,8
2007,Apr,31
2007,May,28
2007,Jun,52
2007,Jul,56
2007,Aug,34
2007,Sep,40
2007,Oct,24
2007,Nov,18
2007,Dec,13
2008,Jan,33
2008,Feb,46
2008,Mar,33
2008,Apr,22
2008,May,39
2008,Jun,29
2008,Jul,50
2008,Aug,33
2008,Sep,36
2008,Oct,24
2008,Nov,16
2008,Dec,46
2009,Jan,29
2009,Feb,51
2009,Mar,27
2009,Apr,42
2009,May,47
2009,Jun,86
2009,Jul,19
2009,Aug,50
2009,Sep,31
2009,Oct,47
2009,Nov,43
2009,Dec,60
2010,Jan,28
2010,Feb,25
2010,Mar,46
2010,Apr,20
2010,May,45
2010,Jun,33
2010,Jul,36
2010,Aug,45
2010,Sep,27
2010,Oct,56
2010,Nov,35
2010,Dec,51
2011,Jan,45
2011,Feb,30
2011,Mar,41
2011,Apr,48
2011,May,47
2011,Jun,33
2011,Jul,35
2011,Aug,33
2011,Sep,28
2011,Oct,46
2011,Nov,35
2011,Dec,30
2012,Jan,36
2012,Feb,38
2012,Mar,33
2012,Apr,25
2012,May,25
2012,Jun,34
2012,Jul,33
2012,Aug,39
2012,Sep,30
2012,Oct,28
2012,Nov,33
2012,Dec,47
2013,Jan,36
2013,Feb,69
2013,Mar,35
2013,Apr,28
2013,May,33
2013,Jun,27
2013,Jul,38
2013,Aug,31
2013,Sep,40
2013,Oct,39
2013,Nov,37
2013,Dec,29
2014,Jan,50
2014,Feb,46
2014,Mar,34
2014,Apr,46
2014,May,36
2014,Jun,35
2014,Jul,32
2014,Aug,49
2014,Sep,41
2014,Oct,21
2014,Nov,40
2014,Dec,37
2015,Jan,41
2015,Feb,38
2015,Mar,28
2015,Apr,42
2015,May,33
2015,Jun,22
2015,Jul,26
2015,Aug,50
2015,Sep,34
2015,Oct,37
2015,Nov,41
2015,Dec,48
2016,Jan,54
2016,Feb,35
2016,Mar,32
2016,Apr,28
2016,May,32
2016,Jun,48
2016,Jul,50
2016,Aug,44
2016,Sep,24
2016,Oct,26
2016,Nov,30
2016,Dec,33
2017,Jan,35
2017,Feb,31
2017,Mar,38
2017,Apr,34
2017,May,34
2017,Jun,33
2017,Jul,33
2017,Aug,26
2017,Sep,25
2017,Oct,22
2017,Nov,39
2017,Dec,26
2018,Jan,42
2018,Feb,38
2018,Mar,34
2018,Apr,36
2018,May,36
2018,Jun,33
2018,Jul,43
2018,Aug,46
2018,Sep,34
2018,Oct,26
2018,Nov,38
2018,Dec,34
2019,Jan,30
2019,Feb,26
2019,Mar,27
2019,Apr,31
2019,May,31
2019,Jun,32
2019,Jul,25
2019,Aug,38
2019,Sep,20
2019,Oct,23
2019,Nov,30
2019,Dec,41
2020,Jan,39
2020,Feb,39
2020,Mar,24
2020,Apr,25
2020,May,38
2020,Jun,26
2020,Jul,25
2020,Aug,26
2020,Sep,29
2020,Oct,27
2020,Nov,25
2020,Dec,18
2021,Jan,23
2021,Feb,26
2021,Mar,25
2021,Apr,38
2021,May,19
2021,Jun,25
2021,Jul,30
2021,Aug,17
2021,Sep,42
2021,Oct,32
2021,Nov,27
2021,Dec,33
2022,Jan,27
2022,Feb,29
2022,Mar,31
