Owner:,DAVIS JOHN R
Cname:,CCSB FINANCIAL CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,82
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,66
2004,Oct,0
2004,Nov,0
2004,Dec,62
2005,Jan,54
2005,Feb,57
2005,Mar,49
2005,Apr,0
2005,May,100
2005,Jun,51
2005,Jul,0
2005,Aug,47
2005,Sep,0
2005,Oct,0
2005,Nov,85
2005,Dec,40
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,33
2006,Jun,69
2006,Jul,34
2006,Aug,31
2006,Sep,0
2006,Oct,28
2006,Nov,28
2006,Dec,28
2007,Jan,25
2007,Feb,0
2007,Mar,0
2007,Apr,24
2007,May,0
2007,Jun,23
2007,Jul,44
2007,Aug,83
2007,Sep,63
2007,Oct,75
2007,Nov,19
2007,Dec,58
2008,Jan,34
2008,Feb,71
2008,Mar,17
2008,Apr,51
2008,May,34
2008,Jun,18
2008,Jul,70
2008,Aug,17
2008,Sep,47
2008,Oct,15
2008,Nov,32
2008,Dec,32
2009,Jan,15
2009,Feb,31
2009,Mar,57
2009,Apr,14
2009,May,59
2009,Jun,30
2009,Jul,0
2009,Aug,0
2009,Sep,14
2009,Oct,13
2009,Nov,13
2009,Dec,40
2010,Jan,0
2010,Feb,13
2010,Mar,0
2010,Apr,49
2010,May,51
2010,Jun,13
2010,Jul,0
2010,Aug,32
2010,Sep,10
2010,Oct,20
2010,Nov,20
2010,Dec,10
2011,Jan,54
2011,Feb,34
2011,Mar,53
2011,Apr,8
2011,May,38
2011,Jun,24
2011,Jul,31
2011,Aug,29
2011,Sep,29
2011,Oct,54
2011,Nov,34
2011,Dec,26
2012,Jan,31
2012,Feb,13
2012,Mar,54
2012,Apr,19
2012,May,18
2012,Jun,6
2012,Jul,12
2012,Aug,17
2012,Sep,59
2012,Oct,0
2012,Nov,23
2012,Dec,33
2013,Jan,31
2013,Feb,22
2013,Mar,35
2013,Apr,15
2013,May,30
2013,Jun,48
2013,Jul,26
2013,Aug,15
2013,Sep,45
2013,Oct,29
2013,Nov,15
2013,Dec,30
2014,Jan,23
2014,Feb,25
2014,Mar,28
2014,Apr,24
2014,May,26
2014,Jun,0
2014,Jul,44
2014,Aug,38
2014,Sep,5
2014,Oct,30
2014,Nov,32
2014,Dec,16
2015,Jan,30
2015,Feb,32
2015,Mar,31
2015,Apr,21
2015,May,27
2015,Jun,11
2015,Jul,16
2015,Aug,37
2015,Sep,16
2015,Oct,35
2015,Nov,15
2015,Dec,20
2016,Jan,33
2016,Feb,34
2016,Mar,32
2016,Apr,29
2016,May,21
2016,Jun,39
2016,Jul,22
2016,Aug,31
2016,Sep,25
2016,Oct,33
2016,Nov,20
2016,Dec,23
2017,Jan,18
2017,Feb,12
2017,Mar,21
2017,Apr,19
2017,May,27
2017,Jun,33
2017,Jul,49
2017,Aug,23
2017,Sep,34
2017,Oct,18
2017,Nov,26
2017,Dec,41
2018,Jan,46
2018,Feb,16
2018,Mar,32
2018,Apr,26
2018,May,14
2018,Jun,27
2018,Jul,30
2018,Aug,26
2018,Sep,4
2018,Oct,22
2018,Nov,29
2018,Dec,22
2019,Jan,49
2019,Feb,23
2019,Mar,25
2019,Apr,33
2019,May,18
2019,Jun,8
2019,Jul,15
2019,Aug,14
2019,Sep,10
2019,Oct,13
2019,Nov,20
2019,Dec,14
2020,Jan,16
2020,Feb,17
2020,Mar,9
2020,Apr,26
2020,May,14
2020,Jun,34
2020,Jul,31
2020,Aug,18
2020,Sep,12
2020,Oct,27
2020,Nov,31
2020,Dec,14
2021,Jan,17
2021,Feb,8
2021,Mar,17
2021,Apr,14
2021,May,14
2021,Jun,11
2021,Jul,7
2021,Aug,7
2021,Sep,15
2021,Oct,11
2021,Nov,19
2021,Dec,33
2022,Jan,22
2022,Feb,25
2022,Mar,26
