Owner:,FAN DI
Cname:,CHINA HELI RESOURCE RENEWABLE
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,27
2004,Feb,27
2004,Mar,0
2004,Apr,52
2004,May,0
2004,Jun,0
2004,Jul,50
2004,Aug,45
2004,Sep,0
2004,Oct,0
2004,Nov,23
2004,Dec,0
2005,Jan,18
2005,Feb,55
2005,Mar,16
2005,Apr,0
2005,May,0
2005,Jun,17
2005,Jul,0
2005,Aug,15
2005,Sep,28
2005,Oct,13
2005,Nov,27
2005,Dec,0
2006,Jan,35
2006,Feb,12
2006,Mar,0
2006,Apr,22
2006,May,74
2006,Jun,0
2006,Jul,22
2006,Aug,10
2006,Sep,20
2006,Oct,18
2006,Nov,18
2006,Dec,0
2007,Jan,16
2007,Feb,25
2007,Mar,23
2007,Apr,0
2007,May,7
2007,Jun,23
2007,Jul,21
2007,Aug,20
2007,Sep,14
2007,Oct,18
2007,Nov,12
2007,Dec,6
2008,Jan,11
2008,Feb,0
2008,Mar,17
2008,Apr,11
2008,May,28
2008,Jun,0
2008,Jul,6
2008,Aug,22
2008,Sep,10
2008,Oct,19
2008,Nov,16
2008,Dec,10
2009,Jan,24
2009,Feb,10
2009,Mar,18
2009,Apr,23
2009,May,9
2009,Jun,14
2009,Jul,28
2009,Aug,28
2009,Sep,13
2009,Oct,17
2009,Nov,22
2009,Dec,13
2010,Jan,28
2010,Feb,8
2010,Mar,19
2010,Apr,24
2010,May,25
2010,Jun,21
2010,Jul,36
2010,Aug,56
2010,Sep,37
2010,Oct,40
2010,Nov,55
2010,Dec,26
2011,Jan,25
2011,Feb,19
2011,Mar,20
2011,Apr,20
2011,May,5
2011,Jun,20
2011,Jul,27
2011,Aug,40
2011,Sep,46
2011,Oct,52
2011,Nov,33
2011,Dec,100
2012,Jan,22
2012,Feb,28
2012,Mar,27
2012,Apr,31
2012,May,27
2012,Jun,28
2012,Jul,43
2012,Aug,30
2012,Sep,32
2012,Oct,32
2012,Nov,24
2012,Dec,30
2013,Jan,38
2013,Feb,37
2013,Mar,38
2013,Apr,41
2013,May,31
2013,Jun,55
2013,Jul,57
2013,Aug,41
2013,Sep,36
2013,Oct,56
2013,Nov,43
2013,Dec,45
2014,Jan,35
2014,Feb,36
2014,Mar,39
2014,Apr,50
2014,May,71
2014,Jun,57
2014,Jul,45
2014,Aug,28
2014,Sep,29
2014,Oct,50
2014,Nov,33
2014,Dec,53
2015,Jan,21
2015,Feb,50
2015,Mar,46
2015,Apr,46
2015,May,51
2015,Jun,44
2015,Jul,37
2015,Aug,67
2015,Sep,40
2015,Oct,37
2015,Nov,75
2015,Dec,65
2016,Jan,27
2016,Feb,33
2016,Mar,23
2016,Apr,38
2016,May,36
2016,Jun,35
2016,Jul,38
2016,Aug,29
2016,Sep,32
2016,Oct,41
2016,Nov,28
2016,Dec,27
2017,Jan,33
2017,Feb,28
2017,Mar,21
2017,Apr,36
2017,May,36
2017,Jun,27
2017,Jul,42
2017,Aug,39
2017,Sep,37
2017,Oct,33
2017,Nov,31
2017,Dec,70
2018,Jan,37
2018,Feb,30
2018,Mar,24
2018,Apr,43
2018,May,29
2018,Jun,24
2018,Jul,23
2018,Aug,26
2018,Sep,21
2018,Oct,22
2018,Nov,32
2018,Dec,26
2019,Jan,22
2019,Feb,29
2019,Mar,21
2019,Apr,19
2019,May,27
2019,Jun,28
2019,Jul,20
2019,Aug,25
2019,Sep,20
2019,Oct,16
2019,Nov,26
2019,Dec,25
2020,Jan,22
2020,Feb,22
2020,Mar,15
2020,Apr,24
2020,May,26
2020,Jun,29
2020,Jul,42
2020,Aug,32
2020,Sep,32
2020,Oct,25
2020,Nov,25
2020,Dec,23
2021,Jan,25
2021,Feb,26
2021,Mar,26
2021,Apr,36
2021,May,39
2021,Jun,33
2021,Jul,44
2021,Aug,37
2021,Sep,44
2021,Oct,49
2021,Nov,71
2021,Dec,30
2022,Jan,33
2022,Feb,36
2022,Mar,22
