Owner:,GRAHAM JOHN A
Cname:,INTEGRITY APPLICATIONS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,60
2004,Feb,29
2004,Mar,38
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,55
2004,Aug,0
2004,Sep,24
2004,Oct,48
2004,Nov,0
2004,Dec,22
2005,Jan,19
2005,Feb,20
2005,Mar,52
2005,Apr,0
2005,May,18
2005,Jun,37
2005,Jul,18
2005,Aug,17
2005,Sep,16
2005,Oct,29
2005,Nov,15
2005,Dec,14
2006,Jan,13
2006,Feb,0
2006,Mar,12
2006,Apr,37
2006,May,12
2006,Jun,12
2006,Jul,12
2006,Aug,11
2006,Sep,33
2006,Oct,30
2006,Nov,30
2006,Dec,20
2007,Jan,18
2007,Feb,9
2007,Mar,8
2007,Apr,0
2007,May,31
2007,Jun,17
2007,Jul,8
2007,Aug,15
2007,Sep,30
2007,Oct,13
2007,Nov,27
2007,Dec,14
2008,Jan,18
2008,Feb,6
2008,Mar,12
2008,Apr,30
2008,May,18
2008,Jun,0
2008,Jul,6
2008,Aug,18
2008,Sep,39
2008,Oct,31
2008,Nov,17
2008,Dec,6
2009,Jan,16
2009,Feb,11
2009,Mar,36
2009,Apr,31
2009,May,10
2009,Jun,21
2009,Jul,10
2009,Aug,31
2009,Sep,44
2009,Oct,23
2009,Nov,43
2009,Dec,28
2010,Jan,18
2010,Feb,14
2010,Mar,21
2010,Apr,22
2010,May,18
2010,Jun,18
2010,Jul,24
2010,Aug,8
2010,Sep,7
2010,Oct,29
2010,Nov,21
2010,Dec,28
2011,Jan,25
2011,Feb,18
2011,Mar,13
2011,Apr,14
2011,May,27
2011,Jun,17
2011,Jul,17
2011,Aug,13
2011,Sep,23
2011,Oct,34
2011,Nov,20
2011,Dec,23
2012,Jan,20
2012,Feb,31
2012,Mar,13
2012,Apr,18
2012,May,15
2012,Jun,11
2012,Jul,21
2012,Aug,27
2012,Sep,21
2012,Oct,100
2012,Nov,52
2012,Dec,27
2013,Jan,22
2013,Feb,16
2013,Mar,27
2013,Apr,25
2013,May,29
2013,Jun,6
2013,Jul,20
2013,Aug,16
2013,Sep,20
2013,Oct,31
2013,Nov,25
2013,Dec,25
2014,Jan,20
2014,Feb,20
2014,Mar,28
2014,Apr,27
2014,May,11
2014,Jun,31
2014,Jul,24
2014,Aug,23
2014,Sep,24
2014,Oct,27
2014,Nov,13
2014,Dec,21
2015,Jan,16
2015,Feb,36
2015,Mar,29
2015,Apr,28
2015,May,13
2015,Jun,18
2015,Jul,21
2015,Aug,19
2015,Sep,32
2015,Oct,26
2015,Nov,22
2015,Dec,27
2016,Jan,18
2016,Feb,24
2016,Mar,26
2016,Apr,21
2016,May,25
2016,Jun,17
2016,Jul,11
2016,Aug,9
2016,Sep,27
2016,Oct,23
2016,Nov,19
2016,Dec,22
2017,Jan,32
2017,Feb,36
2017,Mar,32
2017,Apr,25
2017,May,25
2017,Jun,22
2017,Jul,15
2017,Aug,21
2017,Sep,18
2017,Oct,24
2017,Nov,24
2017,Dec,27
2018,Jan,25
2018,Feb,28
2018,Mar,24
2018,Apr,30
2018,May,35
2018,Jun,19
2018,Jul,8
2018,Aug,50
2018,Sep,59
2018,Oct,33
2018,Nov,20
2018,Dec,46
2019,Jan,25
2019,Feb,24
2019,Mar,42
2019,Apr,33
2019,May,29
2019,Jun,15
2019,Jul,20
2019,Aug,20
2019,Sep,15
2019,Oct,28
2019,Nov,27
2019,Dec,17
2020,Jan,17
2020,Feb,33
2020,Mar,27
2020,Apr,19
2020,May,24
2020,Jun,32
2020,Jul,21
2020,Aug,26
2020,Sep,32
2020,Oct,33
2020,Nov,28
2020,Dec,18
2021,Jan,32
2021,Feb,28
2021,Mar,19
2021,Apr,28
2021,May,19
2021,Jun,14
2021,Jul,20
2021,Aug,19
2021,Sep,26
2021,Oct,25
2021,Nov,23
2021,Dec,21
2022,Jan,26
2022,Feb,21
2022,Mar,38
