Owner:,GREENE MARC
Cname:,MOUNTAIN VALLEY BANCSHARES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,98
2004,Feb,0
2004,Mar,61
2004,Apr,47
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,77
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,100
2005,Mar,28
2005,Apr,0
2005,May,29
2005,Jun,0
2005,Jul,29
2005,Aug,28
2005,Sep,26
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,21
2006,Feb,0
2006,Mar,0
2006,Apr,20
2006,May,19
2006,Jun,40
2006,Jul,39
2006,Aug,54
2006,Sep,18
2006,Oct,33
2006,Nov,16
2006,Dec,16
2007,Jan,14
2007,Feb,30
2007,Mar,14
2007,Apr,0
2007,May,25
2007,Jun,27
2007,Jul,38
2007,Aug,12
2007,Sep,12
2007,Oct,33
2007,Nov,11
2007,Dec,11
2008,Jan,60
2008,Feb,21
2008,Mar,40
2008,Apr,20
2008,May,50
2008,Jun,32
2008,Jul,30
2008,Aug,10
2008,Sep,18
2008,Oct,34
2008,Nov,9
2008,Dec,19
2009,Jan,26
2009,Feb,9
2009,Mar,8
2009,Apr,17
2009,May,34
2009,Jun,35
2009,Jul,17
2009,Aug,25
2009,Sep,24
2009,Oct,31
2009,Nov,16
2009,Dec,31
2010,Jan,29
2010,Feb,8
2010,Mar,14
2010,Apr,21
2010,May,30
2010,Jun,15
2010,Jul,13
2010,Aug,44
2010,Sep,6
2010,Oct,30
2010,Nov,29
2010,Dec,6
2011,Jan,5
2011,Feb,29
2011,Mar,22
2011,Apr,0
2011,May,9
2011,Jun,18
2011,Jul,23
2011,Aug,21
2011,Sep,21
2011,Oct,12
2011,Nov,8
2011,Dec,23
2012,Jan,11
2012,Feb,15
2012,Mar,11
2012,Apr,7
2012,May,21
2012,Jun,22
2012,Jul,7
2012,Aug,44
2012,Sep,21
2012,Oct,29
2012,Nov,26
2012,Dec,16
2013,Jan,33
2013,Feb,16
2013,Mar,20
2013,Apr,27
2013,May,12
2013,Jun,25
2013,Jul,9
2013,Aug,27
2013,Sep,6
2013,Oct,14
2013,Nov,20
2013,Dec,12
2014,Jan,14
2014,Feb,18
2014,Mar,8
2014,Apr,20
2014,May,18
2014,Jun,17
2014,Jul,13
2014,Aug,19
2014,Sep,18
2014,Oct,3
2014,Nov,22
2014,Dec,12
2015,Jan,15
2015,Feb,13
2015,Mar,18
2015,Apr,25
2015,May,16
2015,Jun,26
2015,Jul,19
2015,Aug,22
2015,Sep,12
2015,Oct,9
2015,Nov,9
2015,Dec,12
2016,Jan,14
2016,Feb,10
2016,Mar,19
2016,Apr,17
2016,May,17
2016,Jun,13
2016,Jul,15
2016,Aug,13
2016,Sep,12
2016,Oct,17
2016,Nov,9
2016,Dec,11
2017,Jan,15
2017,Feb,25
2017,Mar,10
2017,Apr,13
2017,May,14
2017,Jun,14
2017,Jul,10
2017,Aug,14
2017,Sep,16
2017,Oct,7
2017,Nov,15
2017,Dec,20
2018,Jan,10
2018,Feb,7
2018,Mar,15
2018,Apr,20
2018,May,19
2018,Jun,9
2018,Jul,11
2018,Aug,4
2018,Sep,15
2018,Oct,4
2018,Nov,9
2018,Dec,17
2019,Jan,8
2019,Feb,7
2019,Mar,8
2019,Apr,15
2019,May,2
2019,Jun,18
2019,Jul,24
2019,Aug,6
2019,Sep,10
2019,Oct,10
2019,Nov,12
2019,Dec,8
2020,Jan,7
2020,Feb,8
2020,Mar,7
2020,Apr,7
2020,May,14
2020,Jun,9
2020,Jul,17
2020,Aug,7
2020,Sep,13
2020,Oct,12
2020,Nov,10
2020,Dec,12
2021,Jan,31
2021,Feb,24
2021,Mar,12
2021,Apr,15
2021,May,14
2021,Jun,19
2021,Jul,21
2021,Aug,15
2021,Sep,9
2021,Oct,15
2021,Nov,22
2021,Dec,18
2022,Jan,9
2022,Feb,17
2022,Mar,19
