Owner:,HARRELL DAVID
Cname:,OPTIMIZERX CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,86
2004,Feb,84
2004,Mar,53
2004,Apr,0
2004,May,37
2004,Jun,76
2004,Jul,39
2004,Aug,71
2004,Sep,34
2004,Oct,35
2004,Nov,35
2004,Dec,32
2005,Jan,28
2005,Feb,29
2005,Mar,99
2005,Apr,85
2005,May,0
2005,Jun,26
2005,Jul,26
2005,Aug,48
2005,Sep,0
2005,Oct,21
2005,Nov,22
2005,Dec,41
2006,Jan,36
2006,Feb,37
2006,Mar,67
2006,Apr,35
2006,May,33
2006,Jun,17
2006,Jul,68
2006,Aug,62
2006,Sep,16
2006,Oct,57
2006,Nov,28
2006,Dec,71
2007,Jan,38
2007,Feb,53
2007,Mar,84
2007,Apr,60
2007,May,100
2007,Jun,47
2007,Jul,56
2007,Aug,32
2007,Sep,43
2007,Oct,38
2007,Nov,57
2007,Dec,59
2008,Jan,0
2008,Feb,72
2008,Mar,35
2008,Apr,17
2008,May,26
2008,Jun,46
2008,Jul,71
2008,Aug,26
2008,Sep,24
2008,Oct,45
2008,Nov,41
2008,Dec,16
2009,Jan,23
2009,Feb,32
2009,Mar,29
2009,Apr,29
2009,May,52
2009,Jun,45
2009,Jul,52
2009,Aug,22
2009,Sep,28
2009,Oct,47
2009,Nov,7
2009,Dec,47
2010,Jan,32
2010,Feb,45
2010,Mar,70
2010,Apr,18
2010,May,38
2010,Jun,6
2010,Jul,28
2010,Aug,43
2010,Sep,26
2010,Oct,25
2010,Nov,45
2010,Dec,30
2011,Jan,19
2011,Feb,29
2011,Mar,53
2011,Apr,47
2011,May,30
2011,Jun,16
2011,Jul,23
2011,Aug,22
2011,Sep,21
2011,Oct,40
2011,Nov,21
2011,Dec,33
2012,Jan,31
2012,Feb,28
2012,Mar,24
2012,Apr,28
2012,May,45
2012,Jun,28
2012,Jul,27
2012,Aug,32
2012,Sep,23
2012,Oct,52
2012,Nov,45
2012,Dec,27
2013,Jan,30
2013,Feb,22
2013,Mar,22
2013,Apr,33
2013,May,40
2013,Jun,29
2013,Jul,20
2013,Aug,30
2013,Sep,25
2013,Oct,31
2013,Nov,27
2013,Dec,29
2014,Jan,37
2014,Feb,33
2014,Mar,28
2014,Apr,29
2014,May,23
2014,Jun,79
2014,Jul,25
2014,Aug,32
2014,Sep,47
2014,Oct,30
2014,Nov,29
2014,Dec,13
2015,Jan,18
2015,Feb,24
2015,Mar,28
2015,Apr,24
2015,May,27
2015,Jun,45
2015,Jul,24
2015,Aug,35
2015,Sep,28
2015,Oct,20
2015,Nov,28
2015,Dec,17
2016,Jan,35
2016,Feb,23
2016,Mar,30
2016,Apr,22
2016,May,35
2016,Jun,17
2016,Jul,24
2016,Aug,20
2016,Sep,10
2016,Oct,26
2016,Nov,16
2016,Dec,21
2017,Jan,24
2017,Feb,31
2017,Mar,16
2017,Apr,19
2017,May,35
2017,Jun,22
2017,Jul,22
2017,Aug,31
2017,Sep,23
2017,Oct,33
2017,Nov,19
2017,Dec,24
2018,Jan,27
2018,Feb,15
2018,Mar,25
2018,Apr,20
2018,May,20
2018,Jun,23
2018,Jul,13
2018,Aug,9
2018,Sep,13
2018,Oct,27
2018,Nov,48
2018,Dec,22
2019,Jan,40
2019,Feb,19
2019,Mar,27
2019,Apr,24
2019,May,20
2019,Jun,30
2019,Jul,31
2019,Aug,23
2019,Sep,28
2019,Oct,26
2019,Nov,24
2019,Dec,30
2020,Jan,30
2020,Feb,12
2020,Mar,4
2020,Apr,21
2020,May,41
2020,Jun,21
2020,Jul,20
2020,Aug,30
2020,Sep,18
2020,Oct,24
2020,Nov,25
2020,Dec,26
2021,Jan,25
2021,Feb,21
2021,Mar,35
2021,Apr,14
2021,May,19
2021,Jun,11
2021,Jul,18
2021,Aug,18
2021,Sep,17
2021,Oct,29
2021,Nov,25
2021,Dec,15
2022,Jan,20
2022,Feb,17
2022,Mar,20
