Owner:,HERNANDEZ JOSEPH
Cname:,CLARUS THERAPEUTICS HOLDINGS I
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,40
2004,Apr,30
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,53
2004,Sep,50
2004,Oct,0
2004,Nov,0
2004,Dec,24
2005,Jan,41
2005,Feb,0
2005,Mar,74
2005,Apr,21
2005,May,57
2005,Jun,58
2005,Jul,0
2005,Aug,54
2005,Sep,100
2005,Oct,47
2005,Nov,80
2005,Dec,15
2006,Jan,27
2006,Feb,28
2006,Mar,62
2006,Apr,13
2006,May,62
2006,Jun,39
2006,Jul,38
2006,Aug,12
2006,Sep,12
2006,Oct,21
2006,Nov,32
2006,Dec,32
2007,Jan,19
2007,Feb,30
2007,Mar,36
2007,Apr,63
2007,May,17
2007,Jun,53
2007,Jul,8
2007,Aug,24
2007,Sep,32
2007,Oct,28
2007,Nov,28
2007,Dec,37
2008,Jan,32
2008,Feb,20
2008,Mar,33
2008,Apr,13
2008,May,39
2008,Jun,28
2008,Jul,26
2008,Aug,39
2008,Sep,42
2008,Oct,50
2008,Nov,61
2008,Dec,30
2009,Jan,23
2009,Feb,24
2009,Mar,49
2009,Apr,33
2009,May,6
2009,Jun,17
2009,Jul,39
2009,Aug,54
2009,Sep,21
2009,Oct,35
2009,Nov,26
2009,Dec,5
2010,Jan,10
2010,Feb,42
2010,Mar,25
2010,Apr,44
2010,May,64
2010,Jun,32
2010,Jul,48
2010,Aug,35
2010,Sep,52
2010,Oct,44
2010,Nov,28
2010,Dec,57
2011,Jan,28
2011,Feb,51
2011,Mar,32
2011,Apr,39
2011,May,35
2011,Jun,45
2011,Jul,30
2011,Aug,54
2011,Sep,39
2011,Oct,43
2011,Nov,20
2011,Dec,26
2012,Jan,47
2012,Feb,45
2012,Mar,30
2012,Apr,32
2012,May,43
2012,Jun,61
2012,Jul,60
2012,Aug,67
2012,Sep,65
2012,Oct,77
2012,Nov,44
2012,Dec,35
2013,Jan,24
2013,Feb,43
2013,Mar,35
2013,Apr,27
2013,May,34
2013,Jun,83
2013,Jul,59
2013,Aug,42
2013,Sep,70
2013,Oct,60
2013,Nov,43
2013,Dec,30
2014,Jan,44
2014,Feb,24
2014,Mar,43
2014,Apr,53
2014,May,64
2014,Jun,41
2014,Jul,42
2014,Aug,47
2014,Sep,62
2014,Oct,62
2014,Nov,46
2014,Dec,47
2015,Jan,49
2015,Feb,36
2015,Mar,51
2015,Apr,55
2015,May,33
2015,Jun,54
2015,Jul,33
2015,Aug,42
2015,Sep,60
2015,Oct,42
2015,Nov,40
2015,Dec,43
2016,Jan,46
2016,Feb,35
2016,Mar,39
2016,Apr,43
2016,May,73
2016,Jun,47
2016,Jul,71
2016,Aug,82
2016,Sep,45
2016,Oct,47
2016,Nov,87
2016,Dec,50
2017,Jan,57
2017,Feb,30
2017,Mar,52
2017,Apr,92
2017,May,54
2017,Jun,56
2017,Jul,51
2017,Aug,46
2017,Sep,55
2017,Oct,29
2017,Nov,16
2017,Dec,32
2018,Jan,41
2018,Feb,41
2018,Mar,50
2018,Apr,32
2018,May,44
2018,Jun,29
2018,Jul,40
2018,Aug,35
2018,Sep,37
2018,Oct,45
2018,Nov,30
2018,Dec,29
2019,Jan,37
2019,Feb,45
2019,Mar,35
2019,Apr,32
2019,May,29
2019,Jun,45
2019,Jul,17
2019,Aug,35
2019,Sep,51
2019,Oct,46
2019,Nov,34
2019,Dec,38
2020,Jan,65
2020,Feb,42
2020,Mar,28
2020,Apr,26
2020,May,26
2020,Jun,28
2020,Jul,35
2020,Aug,35
2020,Sep,35
2020,Oct,37
2020,Nov,25
2020,Dec,35
2021,Jan,39
2021,Feb,29
2021,Mar,37
2021,Apr,43
2021,May,37
2021,Jun,22
2021,Jul,41
2021,Aug,28
2021,Sep,35
2021,Oct,46
2021,Nov,26
2021,Dec,29
2022,Jan,36
2022,Feb,32
2022,Mar,28
