Owner:,HUNTER MARK
Cname:,MOLSON COORS BREWING CO
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,44
2004,Feb,72
2004,Mar,74
2004,Apr,56
2004,May,45
2004,Jun,33
2004,Jul,54
2004,Aug,36
2004,Sep,64
2004,Oct,48
2004,Nov,79
2004,Dec,54
2005,Jan,62
2005,Feb,100
2005,Mar,51
2005,Apr,64
2005,May,57
2005,Jun,58
2005,Jul,40
2005,Aug,62
2005,Sep,85
2005,Oct,87
2005,Nov,48
2005,Dec,60
2006,Jan,44
2006,Feb,87
2006,Mar,78
2006,Apr,45
2006,May,48
2006,Jun,60
2006,Jul,56
2006,Aug,56
2006,Sep,86
2006,Oct,99
2006,Nov,73
2006,Dec,61
2007,Jan,95
2007,Feb,46
2007,Mar,68
2007,Apr,50
2007,May,44
2007,Jun,57
2007,Jul,71
2007,Aug,58
2007,Sep,75
2007,Oct,54
2007,Nov,66
2007,Dec,65
2008,Jan,75
2008,Feb,67
2008,Mar,47
2008,Apr,64
2008,May,57
2008,Jun,61
2008,Jul,68
2008,Aug,93
2008,Sep,58
2008,Oct,68
2008,Nov,76
2008,Dec,60
2009,Jan,73
2009,Feb,83
2009,Mar,80
2009,Apr,72
2009,May,69
2009,Jun,58
2009,Jul,80
2009,Aug,67
2009,Sep,63
2009,Oct,70
2009,Nov,76
2009,Dec,71
2010,Jan,66
2010,Feb,95
2010,Mar,87
2010,Apr,80
2010,May,60
2010,Jun,55
2010,Jul,56
2010,Aug,49
2010,Sep,56
2010,Oct,85
2010,Nov,50
2010,Dec,60
2011,Jan,61
2011,Feb,68
2011,Mar,54
2011,Apr,57
2011,May,53
2011,Jun,63
2011,Jul,57
2011,Aug,71
2011,Sep,67
2011,Oct,72
2011,Nov,74
2011,Dec,69
2012,Jan,65
2012,Feb,66
2012,Mar,72
2012,Apr,72
2012,May,72
2012,Jun,64
2012,Jul,65
2012,Aug,82
2012,Sep,63
2012,Oct,75
2012,Nov,68
2012,Dec,66
2013,Jan,75
2013,Feb,62
2013,Mar,75
2013,Apr,64
2013,May,78
2013,Jun,61
2013,Jul,68
2013,Aug,61
2013,Sep,51
2013,Oct,51
2013,Nov,49
2013,Dec,71
2014,Jan,58
2014,Feb,50
2014,Mar,64
2014,Apr,63
2014,May,64
2014,Jun,53
2014,Jul,55
2014,Aug,58
2014,Sep,52
2014,Oct,89
2014,Nov,79
2014,Dec,46
2015,Jan,48
2015,Feb,62
2015,Mar,58
2015,Apr,66
2015,May,52
2015,Jun,59
2015,Jul,55
2015,Aug,60
2015,Sep,51
2015,Oct,59
2015,Nov,66
2015,Dec,68
2016,Jan,65
2016,Feb,62
2016,Mar,66
2016,Apr,50
2016,May,51
2016,Jun,51
2016,Jul,55
2016,Aug,50
2016,Sep,56
2016,Oct,57
2016,Nov,66
2016,Dec,66
2017,Jan,78
2017,Feb,69
2017,Mar,70
2017,Apr,69
2017,May,61
2017,Jun,54
2017,Jul,51
2017,Aug,56
2017,Sep,47
2017,Oct,50
2017,Nov,48
2017,Dec,65
2018,Jan,64
2018,Feb,62
2018,Mar,60
2018,Apr,54
2018,May,51
2018,Jun,63
2018,Jul,58
2018,Aug,52
2018,Sep,50
2018,Oct,60
2018,Nov,55
2018,Dec,52
2019,Jan,59
2019,Feb,60
2019,Mar,54
2019,Apr,46
2019,May,44
2019,Jun,50
2019,Jul,50
2019,Aug,53
2019,Sep,62
2019,Oct,70
2019,Nov,58
2019,Dec,63
2020,Jan,57
2020,Feb,49
2020,Mar,48
2020,Apr,51
2020,May,49
2020,Jun,50
2020,Jul,51
2020,Aug,52
2020,Sep,60
2020,Oct,86
2020,Nov,66
2020,Dec,68
2021,Jan,53
2021,Feb,56
2021,Mar,45
2021,Apr,49
2021,May,40
2021,Jun,47
2021,Jul,49
2021,Aug,47
2021,Sep,48
2021,Oct,51
2021,Nov,50
2021,Dec,55
2022,Jan,51
2022,Feb,54
2022,Mar,45
