Owner:,JACOBSON NEIL
Cname:,MUSIC ACQUISITION CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,73
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,61
2004,Sep,0
2004,Oct,60
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,50
2005,Mar,86
2005,Apr,49
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,42
2005,Sep,39
2005,Oct,36
2005,Nov,37
2005,Dec,35
2006,Jan,32
2006,Feb,0
2006,Mar,29
2006,Apr,31
2006,May,0
2006,Jun,61
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,25
2007,Jan,22
2007,Feb,23
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,41
2007,Jul,0
2007,Aug,55
2007,Sep,37
2007,Oct,33
2007,Nov,33
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,31
2008,Apr,15
2008,May,45
2008,Jun,16
2008,Jul,0
2008,Aug,0
2008,Sep,42
2008,Oct,39
2008,Nov,14
2008,Dec,14
2009,Jan,0
2009,Feb,28
2009,Mar,25
2009,Apr,38
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,25
2009,Sep,24
2009,Oct,0
2009,Nov,12
2009,Dec,23
2010,Jan,100
2010,Feb,54
2010,Mar,29
2010,Apr,41
2010,May,32
2010,Jun,32
2010,Jul,28
2010,Aug,0
2010,Sep,26
2010,Oct,60
2010,Nov,42
2010,Dec,25
2011,Jan,19
2011,Feb,42
2011,Mar,25
2011,Apr,39
2011,May,70
2011,Jun,13
2011,Jul,13
2011,Aug,24
2011,Sep,36
2011,Oct,23
2011,Nov,23
2011,Dec,27
2012,Jan,21
2012,Feb,26
2012,Mar,35
2012,Apr,16
2012,May,20
2012,Jun,21
2012,Jul,5
2012,Aug,15
2012,Sep,15
2012,Oct,18
2012,Nov,52
2012,Dec,23
2013,Jan,43
2013,Feb,37
2013,Mar,58
2013,Apr,38
2013,May,30
2013,Jun,22
2013,Jul,30
2013,Aug,42
2013,Sep,25
2013,Oct,32
2013,Nov,8
2013,Dec,95
2014,Jan,27
2014,Feb,26
2014,Mar,16
2014,Apr,12
2014,May,43
2014,Jun,52
2014,Jul,46
2014,Aug,23
2014,Sep,13
2014,Oct,21
2014,Nov,27
2014,Dec,13
2015,Jan,25
2015,Feb,13
2015,Mar,17
2015,Apr,13
2015,May,23
2015,Jun,14
2015,Jul,18
2015,Aug,36
2015,Sep,4
2015,Oct,17
2015,Nov,26
2015,Dec,0
2016,Jan,31
2016,Feb,11
2016,Mar,30
2016,Apr,21
2016,May,32
2016,Jun,29
2016,Jul,41
2016,Aug,11
2016,Sep,11
2016,Oct,31
2016,Nov,38
2016,Dec,40
2017,Jan,16
2017,Feb,20
2017,Mar,30
2017,Apr,25
2017,May,20
2017,Jun,31
2017,Jul,24
2017,Aug,23
2017,Sep,16
2017,Oct,31
2017,Nov,25
2017,Dec,19
2018,Jan,27
2018,Feb,10
2018,Mar,36
2018,Apr,19
2018,May,6
2018,Jun,32
2018,Jul,13
2018,Aug,19
2018,Sep,19
2018,Oct,12
2018,Nov,28
2018,Dec,41
2019,Jan,42
2019,Feb,22
2019,Mar,3
2019,Apr,28
2019,May,9
2019,Jun,13
2019,Jul,25
2019,Aug,18
2019,Sep,29
2019,Oct,11
2019,Nov,9
2019,Dec,20
2020,Jan,19
2020,Feb,20
2020,Mar,35
2020,Apr,36
2020,May,15
2020,Jun,3
2020,Jul,5
2020,Aug,21
2020,Sep,15
2020,Oct,6
2020,Nov,14
2020,Dec,15
2021,Jan,22
2021,Feb,26
2021,Mar,20
2021,Apr,30
2021,May,9
2021,Jun,28
2021,Jul,15
2021,Aug,6
2021,Sep,22
2021,Oct,25
2021,Nov,10
2021,Dec,13
2022,Jan,6
2022,Feb,28
2022,Mar,12
