Owner:,JOHNSON ROBERT JOSEPH
Cname:,AMERICAN POWER CONVERSION CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,36
2004,Feb,71
2004,Mar,91
2004,Apr,0
2004,May,0
2004,Jun,32
2004,Jul,100
2004,Aug,60
2004,Sep,57
2004,Oct,29
2004,Nov,60
2004,Dec,0
2005,Jan,47
2005,Feb,25
2005,Mar,21
2005,Apr,0
2005,May,0
2005,Jun,22
2005,Jul,22
2005,Aug,0
2005,Sep,19
2005,Oct,36
2005,Nov,18
2005,Dec,0
2006,Jan,31
2006,Feb,48
2006,Mar,28
2006,Apr,45
2006,May,28
2006,Jun,15
2006,Jul,0
2006,Aug,27
2006,Sep,13
2006,Oct,37
2006,Nov,12
2006,Dec,0
2007,Jan,21
2007,Feb,11
2007,Mar,20
2007,Apr,21
2007,May,19
2007,Jun,20
2007,Jul,19
2007,Aug,27
2007,Sep,9
2007,Oct,57
2007,Nov,24
2007,Dec,8
2008,Jan,7
2008,Feb,54
2008,Mar,7
2008,Apr,7
2008,May,15
2008,Jun,8
2008,Jul,0
2008,Aug,30
2008,Sep,21
2008,Oct,32
2008,Nov,21
2008,Dec,27
2009,Jan,0
2009,Feb,7
2009,Mar,12
2009,Apr,12
2009,May,19
2009,Jun,6
2009,Jul,19
2009,Aug,0
2009,Sep,6
2009,Oct,23
2009,Nov,18
2009,Dec,11
2010,Jan,27
2010,Feb,34
2010,Mar,30
2010,Apr,0
2010,May,11
2010,Jun,0
2010,Jul,14
2010,Aug,5
2010,Sep,9
2010,Oct,13
2010,Nov,9
2010,Dec,9
2011,Jan,17
2011,Feb,4
2011,Mar,16
2011,Apr,27
2011,May,16
2011,Jun,24
2011,Jul,20
2011,Aug,22
2011,Sep,22
2011,Oct,12
2011,Nov,9
2011,Dec,0
2012,Jan,16
2012,Feb,16
2012,Mar,13
2012,Apr,22
2012,May,18
2012,Jun,19
2012,Jul,5
2012,Aug,13
2012,Sep,20
2012,Oct,26
2012,Nov,12
2012,Dec,19
2013,Jan,13
2013,Feb,21
2013,Mar,17
2013,Apr,11
2013,May,15
2013,Jun,18
2013,Jul,7
2013,Aug,11
2013,Sep,15
2013,Oct,17
2013,Nov,2
2013,Dec,11
2014,Jan,8
2014,Feb,20
2014,Mar,12
2014,Apr,21
2014,May,18
2014,Jun,15
2014,Jul,14
2014,Aug,9
2014,Sep,9
2014,Oct,13
2014,Nov,7
2014,Dec,7
2015,Jan,11
2015,Feb,12
2015,Mar,7
2015,Apr,27
2015,May,7
2015,Jun,10
2015,Jul,9
2015,Aug,12
2015,Sep,20
2015,Oct,11
2015,Nov,18
2015,Dec,17
2016,Jan,12
2016,Feb,11
2016,Mar,10
2016,Apr,16
2016,May,9
2016,Jun,9
2016,Jul,15
2016,Aug,13
2016,Sep,14
2016,Oct,4
2016,Nov,5
2016,Dec,8
2017,Jan,16
2017,Feb,7
2017,Mar,15
2017,Apr,8
2017,May,3
2017,Jun,7
2017,Jul,2
2017,Aug,12
2017,Sep,13
2017,Oct,3
2017,Nov,8
2017,Dec,11
2018,Jan,14
2018,Feb,13
2018,Mar,12
2018,Apr,16
2018,May,9
2018,Jun,13
2018,Jul,10
2018,Aug,19
2018,Sep,7
2018,Oct,3
2018,Nov,13
2018,Dec,11
2019,Jan,14
2019,Feb,7
2019,Mar,3
2019,Apr,13
2019,May,13
2019,Jun,5
2019,Jul,5
2019,Aug,9
2019,Sep,14
2019,Oct,10
2019,Nov,6
2019,Dec,10
2020,Jan,14
2020,Feb,9
2020,Mar,13
2020,Apr,15
2020,May,11
2020,Jun,16
2020,Jul,9
2020,Aug,7
2020,Sep,5
2020,Oct,6
2020,Nov,3
2020,Dec,3
2021,Jan,4
2021,Feb,7
2021,Mar,17
2021,Apr,6
2021,May,11
2021,Jun,6
2021,Jul,6
2021,Aug,5
2021,Sep,7
2021,Oct,8
2021,Nov,7
2021,Dec,6
2022,Jan,5
2022,Feb,7
2022,Mar,5
