Owner:,KING CHRISTINE
Cname:,AMIS HOLDINGS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,53
2004,Feb,61
2004,Mar,100
2004,Apr,59
2004,May,69
2004,Jun,47
2004,Jul,33
2004,Aug,51
2004,Sep,28
2004,Oct,36
2004,Nov,59
2004,Dec,39
2005,Jan,46
2005,Feb,42
2005,Mar,31
2005,Apr,59
2005,May,48
2005,Jun,65
2005,Jul,27
2005,Aug,30
2005,Sep,23
2005,Oct,44
2005,Nov,49
2005,Dec,47
2006,Jan,68
2006,Feb,51
2006,Mar,56
2006,Apr,40
2006,May,34
2006,Jun,44
2006,Jul,35
2006,Aug,19
2006,Sep,52
2006,Oct,54
2006,Nov,53
2006,Dec,39
2007,Jan,39
2007,Feb,30
2007,Mar,37
2007,Apr,38
2007,May,58
2007,Jun,34
2007,Jul,32
2007,Aug,24
2007,Sep,27
2007,Oct,48
2007,Nov,38
2007,Dec,49
2008,Jan,60
2008,Feb,41
2008,Mar,38
2008,Apr,52
2008,May,34
2008,Jun,71
2008,Jul,24
2008,Aug,53
2008,Sep,27
2008,Oct,51
2008,Nov,43
2008,Dec,29
2009,Jan,55
2009,Feb,48
2009,Mar,41
2009,Apr,36
2009,May,33
2009,Jun,36
2009,Jul,29
2009,Aug,29
2009,Sep,37
2009,Oct,32
2009,Nov,37
2009,Dec,48
2010,Jan,67
2010,Feb,35
2010,Mar,38
2010,Apr,49
2010,May,30
2010,Jun,25
2010,Jul,29
2010,Aug,30
2010,Sep,43
2010,Oct,43
2010,Nov,40
2010,Dec,38
2011,Jan,57
2011,Feb,37
2011,Mar,34
2011,Apr,32
2011,May,46
2011,Jun,41
2011,Jul,26
2011,Aug,28
2011,Sep,40
2011,Oct,91
2011,Nov,42
2011,Dec,44
2012,Jan,55
2012,Feb,46
2012,Mar,45
2012,Apr,49
2012,May,40
2012,Jun,45
2012,Jul,47
2012,Aug,36
2012,Sep,38
2012,Oct,43
2012,Nov,46
2012,Dec,37
2013,Jan,57
2013,Feb,46
2013,Mar,43
2013,Apr,37
2013,May,29
2013,Jun,30
2013,Jul,35
2013,Aug,59
2013,Sep,34
2013,Oct,49
2013,Nov,43
2013,Dec,37
2014,Jan,47
2014,Feb,31
2014,Mar,44
2014,Apr,39
2014,May,45
2014,Jun,33
2014,Jul,37
2014,Aug,39
2014,Sep,49
2014,Oct,39
2014,Nov,33
2014,Dec,35
2015,Jan,63
2015,Feb,43
2015,Mar,37
2015,Apr,43
2015,May,39
2015,Jun,34
2015,Jul,42
2015,Aug,47
2015,Sep,44
2015,Oct,42
2015,Nov,38
2015,Dec,23
2016,Jan,43
2016,Feb,38
2016,Mar,39
2016,Apr,41
2016,May,34
2016,Jun,35
2016,Jul,39
2016,Aug,34
2016,Sep,41
2016,Oct,44
2016,Nov,46
2016,Dec,37
2017,Jan,50
2017,Feb,44
2017,Mar,51
2017,Apr,42
2017,May,42
2017,Jun,33
2017,Jul,47
2017,Aug,50
2017,Sep,64
2017,Oct,59
2017,Nov,44
2017,Dec,31
2018,Jan,49
2018,Feb,37
2018,Mar,40
2018,Apr,40
2018,May,38
2018,Jun,37
2018,Jul,35
2018,Aug,41
2018,Sep,62
2018,Oct,63
2018,Nov,41
2018,Dec,53
2019,Jan,61
2019,Feb,48
2019,Mar,38
2019,Apr,44
2019,May,38
2019,Jun,35
2019,Jul,40
2019,Aug,43
2019,Sep,53
2019,Oct,47
2019,Nov,32
2019,Dec,29
2020,Jan,53
2020,Feb,47
2020,Mar,31
2020,Apr,28
2020,May,43
2020,Jun,44
2020,Jul,34
2020,Aug,36
2020,Sep,33
2020,Oct,48
2020,Nov,28
2020,Dec,29
2021,Jan,40
2021,Feb,39
2021,Mar,33
2021,Apr,33
2021,May,27
2021,Jun,36
2021,Jul,23
2021,Aug,41
2021,Sep,48
2021,Oct,51
2021,Nov,38
2021,Dec,25
2022,Jan,49
2022,Feb,32
2022,Mar,37
