Owner:,KING RICHARD J
Cname:,INVESCO MORTGAGE CAPITAL INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,83
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,77
2005,Aug,0
2005,Sep,0
2005,Oct,63
2005,Nov,0
2005,Dec,61
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,53
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,47
2006,Sep,0
2006,Oct,43
2006,Nov,85
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,36
2007,Apr,73
2007,May,100
2007,Jun,71
2007,Jul,33
2007,Aug,32
2007,Sep,32
2007,Oct,57
2007,Nov,86
2007,Dec,30
2008,Jan,26
2008,Feb,27
2008,Mar,0
2008,Apr,52
2008,May,26
2008,Jun,28
2008,Jul,53
2008,Aug,26
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,24
2009,Mar,0
2009,Apr,22
2009,May,67
2009,Jun,45
2009,Jul,22
2009,Aug,0
2009,Sep,0
2009,Oct,40
2009,Nov,21
2009,Dec,40
2010,Jan,0
2010,Feb,40
2010,Mar,0
2010,Apr,0
2010,May,39
2010,Jun,0
2010,Jul,0
2010,Aug,16
2010,Sep,16
2010,Oct,16
2010,Nov,0
2010,Dec,0
2011,Jan,12
2011,Feb,64
2011,Mar,23
2011,Apr,12
2011,May,23
2011,Jun,0
2011,Jul,0
2011,Aug,22
2011,Sep,11
2011,Oct,31
2011,Nov,11
2011,Dec,50
2012,Jan,38
2012,Feb,58
2012,Mar,9
2012,Apr,29
2012,May,46
2012,Jun,10
2012,Jul,28
2012,Aug,0
2012,Sep,9
2012,Oct,8
2012,Nov,61
2012,Dec,25
2013,Jan,8
2013,Feb,33
2013,Mar,23
2013,Apr,8
2013,May,39
2013,Jun,24
2013,Jul,39
2013,Aug,31
2013,Sep,15
2013,Oct,15
2013,Nov,15
2013,Dec,23
2014,Jan,43
2014,Feb,8
2014,Mar,14
2014,Apr,15
2014,May,0
2014,Jun,26
2014,Jul,17
2014,Aug,25
2014,Sep,24
2014,Oct,15
2014,Nov,25
2014,Dec,24
2015,Jan,16
2015,Feb,25
2015,Mar,8
2015,Apr,0
2015,May,33
2015,Jun,9
2015,Jul,17
2015,Aug,16
2015,Sep,16
2015,Oct,15
2015,Nov,16
2015,Dec,15
2016,Jan,13
2016,Feb,7
2016,Mar,6
2016,Apr,6
2016,May,32
2016,Jun,7
2016,Jul,13
2016,Aug,13
2016,Sep,19
2016,Oct,13
2016,Nov,19
2016,Dec,12
2017,Jan,11
2017,Feb,18
2017,Mar,16
2017,Apr,12
2017,May,30
2017,Jun,6
2017,Jul,0
2017,Aug,0
2017,Sep,12
2017,Oct,11
2017,Nov,11
2017,Dec,23
2018,Jan,16
2018,Feb,0
2018,Mar,11
2018,Apr,45
2018,May,28
2018,Jun,12
2018,Jul,17
2018,Aug,17
2018,Sep,12
2018,Oct,22
2018,Nov,6
2018,Dec,11
2019,Jan,11
2019,Feb,12
2019,Mar,11
2019,Apr,28
2019,May,33
2019,Jun,29
2019,Jul,0
2019,Aug,16
2019,Sep,11
2019,Oct,5
2019,Nov,16
2019,Dec,16
2020,Jan,39
2020,Feb,5
2020,Mar,13
2020,Apr,31
2020,May,0
2020,Jun,24
2020,Jul,19
2020,Aug,28
2020,Sep,19
2020,Oct,11
2020,Nov,5
2020,Dec,16
2021,Jan,5
2021,Feb,12
2021,Mar,10
2021,Apr,5
2021,May,11
2021,Jun,6
2021,Jul,16
2021,Aug,16
2021,Sep,17
2021,Oct,40
2021,Nov,41
2021,Dec,6
2022,Jan,40
2022,Feb,32
2022,Mar,62
