Owner:,LAWSON JAMES A
Cname:,ADTHEORENT HOLDING COMPANY INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,69
2005,Feb,73
2005,Mar,62
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,61
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,39
2006,Sep,0
2006,Oct,36
2006,Nov,0
2006,Dec,36
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,30
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,24
2007,Dec,0
2008,Jan,22
2008,Feb,45
2008,Mar,44
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,20
2008,Oct,0
2008,Nov,0
2008,Dec,20
2009,Jan,38
2009,Feb,40
2009,Mar,18
2009,Apr,0
2009,May,37
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,71
2009,Oct,0
2009,Nov,17
2009,Dec,0
2010,Jan,16
2010,Feb,17
2010,Mar,45
2010,Apr,31
2010,May,16
2010,Jun,0
2010,Jul,29
2010,Aug,14
2010,Sep,13
2010,Oct,0
2010,Nov,0
2010,Dec,25
2011,Jan,20
2011,Feb,43
2011,Mar,29
2011,Apr,20
2011,May,29
2011,Jun,40
2011,Jul,10
2011,Aug,28
2011,Sep,18
2011,Oct,52
2011,Nov,26
2011,Dec,17
2012,Jan,56
2012,Feb,16
2012,Mar,46
2012,Apr,65
2012,May,38
2012,Jun,40
2012,Jul,38
2012,Aug,52
2012,Sep,15
2012,Oct,7
2012,Nov,29
2012,Dec,35
2013,Jan,33
2013,Feb,28
2013,Mar,57
2013,Apr,58
2013,May,45
2013,Jun,20
2013,Jul,33
2013,Aug,13
2013,Sep,45
2013,Oct,67
2013,Nov,25
2013,Dec,13
2014,Jan,60
2014,Feb,52
2014,Mar,77
2014,Apr,24
2014,May,52
2014,Jun,29
2014,Jul,43
2014,Aug,14
2014,Sep,7
2014,Oct,32
2014,Nov,7
2014,Dec,0
2015,Jan,39
2015,Feb,41
2015,Mar,39
2015,Apr,40
2015,May,62
2015,Jun,7
2015,Jul,21
2015,Aug,14
2015,Sep,40
2015,Oct,31
2015,Nov,20
2015,Dec,45
2016,Jan,32
2016,Feb,22
2016,Mar,51
2016,Apr,16
2016,May,21
2016,Jun,33
2016,Jul,45
2016,Aug,6
2016,Sep,11
2016,Oct,47
2016,Nov,26
2016,Dec,20
2017,Jan,28
2017,Feb,15
2017,Mar,9
2017,Apr,38
2017,May,20
2017,Jun,11
2017,Jul,42
2017,Aug,20
2017,Sep,10
2017,Oct,14
2017,Nov,5
2017,Dec,34
2018,Jan,23
2018,Feb,35
2018,Mar,23
2018,Apr,43
2018,May,37
2018,Jun,29
2018,Jul,19
2018,Aug,19
2018,Sep,5
2018,Oct,70
2018,Nov,57
2018,Dec,28
2019,Jan,45
2019,Feb,44
2019,Mar,23
2019,Apr,47
2019,May,33
2019,Jun,39
2019,Jul,10
2019,Aug,9
2019,Sep,13
2019,Oct,21
2019,Nov,26
2019,Dec,30
2020,Jan,16
2020,Feb,26
2020,Mar,45
2020,Apr,37
2020,May,37
2020,Jun,36
2020,Jul,100
2020,Aug,63
2020,Sep,8
2020,Oct,18
2020,Nov,17
2020,Dec,31
2021,Jan,55
2021,Feb,0
2021,Mar,51
2021,Apr,32
2021,May,18
2021,Jun,19
2021,Jul,5
2021,Aug,0
2021,Sep,24
2021,Oct,5
2021,Nov,39
2021,Dec,24
2022,Jan,19
2022,Feb,21
2022,Mar,28
