Owner:,LEE ROSE
Cname:,CORNERSTONE BUILDING BRANDS IN
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,61
2004,Feb,69
2004,Mar,58
2004,Apr,42
2004,May,47
2004,Jun,39
2004,Jul,56
2004,Aug,30
2004,Sep,52
2004,Oct,26
2004,Nov,39
2004,Dec,42
2005,Jan,41
2005,Feb,37
2005,Mar,48
2005,Apr,42
2005,May,49
2005,Jun,51
2005,Jul,62
2005,Aug,50
2005,Sep,56
2005,Oct,38
2005,Nov,36
2005,Dec,28
2006,Jan,48
2006,Feb,35
2006,Mar,48
2006,Apr,40
2006,May,45
2006,Jun,42
2006,Jul,42
2006,Aug,46
2006,Sep,69
2006,Oct,48
2006,Nov,43
2006,Dec,49
2007,Jan,49
2007,Feb,43
2007,Mar,47
2007,Apr,62
2007,May,53
2007,Jun,55
2007,Jul,63
2007,Aug,94
2007,Sep,60
2007,Oct,60
2007,Nov,43
2007,Dec,54
2008,Jan,60
2008,Feb,55
2008,Mar,54
2008,Apr,62
2008,May,52
2008,Jun,65
2008,Jul,68
2008,Aug,39
2008,Sep,44
2008,Oct,49
2008,Nov,37
2008,Dec,50
2009,Jan,44
2009,Feb,44
2009,Mar,40
2009,Apr,46
2009,May,44
2009,Jun,52
2009,Jul,47
2009,Aug,42
2009,Sep,40
2009,Oct,48
2009,Nov,35
2009,Dec,41
2010,Jan,44
2010,Feb,59
2010,Mar,81
2010,Apr,54
2010,May,72
2010,Jun,55
2010,Jul,52
2010,Aug,39
2010,Sep,36
2010,Oct,44
2010,Nov,42
2010,Dec,49
2011,Jan,100
2011,Feb,76
2011,Mar,57
2011,Apr,51
2011,May,53
2011,Jun,45
2011,Jul,48
2011,Aug,51
2011,Sep,47
2011,Oct,43
2011,Nov,53
2011,Dec,57
2012,Jan,49
2012,Feb,45
2012,Mar,60
2012,Apr,54
2012,May,48
2012,Jun,45
2012,Jul,56
2012,Aug,42
2012,Sep,40
2012,Oct,45
2012,Nov,57
2012,Dec,46
2013,Jan,48
2013,Feb,54
2013,Mar,60
2013,Apr,68
2013,May,58
2013,Jun,52
2013,Jul,47
2013,Aug,59
2013,Sep,43
2013,Oct,43
2013,Nov,47
2013,Dec,44
2014,Jan,61
2014,Feb,57
2014,Mar,48
2014,Apr,55
2014,May,61
2014,Jun,50
2014,Jul,49
2014,Aug,44
2014,Sep,39
2014,Oct,41
2014,Nov,50
2014,Dec,41
2015,Jan,44
2015,Feb,42
2015,Mar,53
2015,Apr,46
2015,May,59
2015,Jun,56
2015,Jul,44
2015,Aug,42
2015,Sep,40
2015,Oct,38
2015,Nov,48
2015,Dec,43
2016,Jan,42
2016,Feb,39
2016,Mar,48
2016,Apr,44
2016,May,37
2016,Jun,57
2016,Jul,49
2016,Aug,49
2016,Sep,37
2016,Oct,32
2016,Nov,54
2016,Dec,36
2017,Jan,40
2017,Feb,51
2017,Mar,37
2017,Apr,44
2017,May,51
2017,Jun,50
2017,Jul,44
2017,Aug,39
2017,Sep,35
2017,Oct,33
2017,Nov,37
2017,Dec,37
2018,Jan,42
2018,Feb,35
2018,Mar,36
2018,Apr,42
2018,May,40
2018,Jun,48
2018,Jul,39
2018,Aug,41
2018,Sep,33
2018,Oct,44
2018,Nov,42
2018,Dec,42
2019,Jan,46
2019,Feb,36
2019,Mar,49
2019,Apr,53
2019,May,42
2019,Jun,50
2019,Jul,43
2019,Aug,36
2019,Sep,37
2019,Oct,36
2019,Nov,32
2019,Dec,44
2020,Jan,38
2020,Feb,37
2020,Mar,46
2020,Apr,35
2020,May,39
2020,Jun,33
2020,Jul,42
2020,Aug,46
2020,Sep,33
2020,Oct,38
2020,Nov,33
2020,Dec,37
2021,Jan,34
2021,Feb,37
2021,Mar,40
2021,Apr,42
2021,May,36
2021,Jun,36
2021,Jul,40
2021,Aug,35
2021,Sep,41
2021,Oct,39
2021,Nov,33
2021,Dec,33
2022,Jan,36
2022,Feb,37
2022,Mar,38
