Owner:,LITTLE DAVID ROBERT
Cname:,DXP ENTERPRISES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,51
2004,Feb,100
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,45
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,68
2005,May,30
2005,Jun,0
2005,Jul,31
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,26
2005,Dec,24
2006,Jan,0
2006,Feb,0
2006,Mar,20
2006,Apr,0
2006,May,20
2006,Jun,21
2006,Jul,41
2006,Aug,56
2006,Sep,0
2006,Oct,34
2006,Nov,17
2006,Dec,34
2007,Jan,0
2007,Feb,16
2007,Mar,14
2007,Apr,0
2007,May,27
2007,Jun,14
2007,Jul,13
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,11
2007,Dec,36
2008,Jan,0
2008,Feb,32
2008,Mar,11
2008,Apr,21
2008,May,10
2008,Jun,11
2008,Jul,21
2008,Aug,0
2008,Sep,38
2008,Oct,18
2008,Nov,39
2008,Dec,29
2009,Jan,9
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,9
2009,Jun,18
2009,Jul,9
2009,Aug,17
2009,Sep,17
2009,Oct,16
2009,Nov,0
2009,Dec,40
2010,Jan,8
2010,Feb,0
2010,Mar,13
2010,Apr,28
2010,May,7
2010,Jun,29
2010,Jul,19
2010,Aug,18
2010,Sep,12
2010,Oct,12
2010,Nov,17
2010,Dec,11
2011,Jan,18
2011,Feb,24
2011,Mar,13
2011,Apr,18
2011,May,4
2011,Jun,4
2011,Jul,9
2011,Aug,12
2011,Sep,4
2011,Oct,8
2011,Nov,12
2011,Dec,11
2012,Jan,7
2012,Feb,7
2012,Mar,7
2012,Apr,25
2012,May,14
2012,Jun,4
2012,Jul,38
2012,Aug,13
2012,Sep,17
2012,Oct,6
2012,Nov,10
2012,Dec,22
2013,Jan,3
2013,Feb,16
2013,Mar,11
2013,Apr,9
2013,May,14
2013,Jun,21
2013,Jul,9
2013,Aug,6
2013,Sep,9
2013,Oct,14
2013,Nov,11
2013,Dec,14
2014,Jan,16
2014,Feb,6
2014,Mar,8
2014,Apr,8
2014,May,12
2014,Jun,6
2014,Jul,16
2014,Aug,9
2014,Sep,12
2014,Oct,6
2014,Nov,12
2014,Dec,15
2015,Jan,20
2015,Feb,12
2015,Mar,6
2015,Apr,6
2015,May,6
2015,Jun,22
2015,Jul,9
2015,Aug,9
2015,Sep,6
2015,Oct,6
2015,Nov,6
2015,Dec,3
2016,Jan,19
2016,Feb,17
2016,Mar,9
2016,Apr,7
2016,May,2
2016,Jun,15
2016,Jul,12
2016,Aug,20
2016,Sep,7
2016,Oct,7
2016,Nov,9
2016,Dec,13
2017,Jan,2
2017,Feb,9
2017,Mar,8
2017,Apr,6
2017,May,7
2017,Jun,12
2017,Jul,9
2017,Aug,13
2017,Sep,15
2017,Oct,6
2017,Nov,17
2017,Dec,13
2018,Jan,18
2018,Feb,11
2018,Mar,8
2018,Apr,15
2018,May,8
2018,Jun,9
2018,Jul,13
2018,Aug,6
2018,Sep,4
2018,Oct,64
2018,Nov,19
2018,Dec,13
2019,Jan,14
2019,Feb,17
2019,Mar,10
2019,Apr,25
2019,May,10
2019,Jun,6
2019,Jul,11
2019,Aug,10
2019,Sep,10
2019,Oct,6
2019,Nov,8
2019,Dec,6
2020,Jan,11
2020,Feb,8
2020,Mar,7
2020,Apr,15
2020,May,16
2020,Jun,9
2020,Jul,9
2020,Aug,16
2020,Sep,12
2020,Oct,19
2020,Nov,14
2020,Dec,8
2021,Jan,9
2021,Feb,9
2021,Mar,9
2021,Apr,12
2021,May,22
2021,Jun,6
2021,Jul,12
2021,Aug,12
2021,Sep,6
2021,Oct,4
2021,Nov,15
2021,Dec,15
2022,Jan,8
2022,Feb,9
2022,Mar,6
