Owner:,LIU LEI
Cname:,CHINA JO JO DRUGSTORES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,18
2004,Feb,36
2004,Mar,0
2004,Apr,52
2004,May,32
2004,Jun,32
2004,Jul,100
2004,Aug,15
2004,Sep,29
2004,Oct,59
2004,Nov,30
2004,Dec,13
2005,Jan,47
2005,Feb,50
2005,Mar,0
2005,Apr,24
2005,May,11
2005,Jun,11
2005,Jul,11
2005,Aug,21
2005,Sep,19
2005,Oct,27
2005,Nov,27
2005,Dec,26
2006,Jan,15
2006,Feb,8
2006,Mar,7
2006,Apr,7
2006,May,7
2006,Jun,22
2006,Jul,0
2006,Aug,7
2006,Sep,33
2006,Oct,24
2006,Nov,6
2006,Dec,6
2007,Jan,16
2007,Feb,17
2007,Mar,5
2007,Apr,10
2007,May,19
2007,Jun,30
2007,Jul,19
2007,Aug,36
2007,Sep,14
2007,Oct,12
2007,Nov,4
2007,Dec,0
2008,Jan,15
2008,Feb,12
2008,Mar,11
2008,Apr,18
2008,May,26
2008,Jun,24
2008,Jul,23
2008,Aug,11
2008,Sep,14
2008,Oct,10
2008,Nov,11
2008,Dec,17
2009,Jan,0
2009,Feb,7
2009,Mar,12
2009,Apr,19
2009,May,3
2009,Jun,6
2009,Jul,13
2009,Aug,12
2009,Sep,9
2009,Oct,9
2009,Nov,9
2009,Dec,9
2010,Jan,3
2010,Feb,6
2010,Mar,18
2010,Apr,5
2010,May,8
2010,Jun,3
2010,Jul,12
2010,Aug,19
2010,Sep,18
2010,Oct,11
2010,Nov,7
2010,Dec,2
2011,Jan,12
2011,Feb,11
2011,Mar,10
2011,Apr,12
2011,May,10
2011,Jun,9
2011,Jul,12
2011,Aug,11
2011,Sep,6
2011,Oct,13
2011,Nov,14
2011,Dec,6
2012,Jan,8
2012,Feb,11
2012,Mar,4
2012,Apr,10
2012,May,12
2012,Jun,11
2012,Jul,4
2012,Aug,8
2012,Sep,17
2012,Oct,4
2012,Nov,15
2012,Dec,6
2013,Jan,10
2013,Feb,12
2013,Mar,11
2013,Apr,19
2013,May,6
2013,Jun,8
2013,Jul,9
2013,Aug,16
2013,Sep,4
2013,Oct,11
2013,Nov,13
2013,Dec,5
2014,Jan,8
2014,Feb,11
2014,Mar,7
2014,Apr,5
2014,May,9
2014,Jun,9
2014,Jul,13
2014,Aug,16
2014,Sep,9
2014,Oct,7
2014,Nov,9
2014,Dec,13
2015,Jan,8
2015,Feb,6
2015,Mar,9
2015,Apr,15
2015,May,12
2015,Jun,14
2015,Jul,6
2015,Aug,12
2015,Sep,18
2015,Oct,7
2015,Nov,6
2015,Dec,2
2016,Jan,8
2016,Feb,9
2016,Mar,6
2016,Apr,13
2016,May,9
2016,Jun,6
2016,Jul,12
2016,Aug,6
2016,Sep,8
2016,Oct,4
2016,Nov,10
2016,Dec,6
2017,Jan,8
2017,Feb,10
2017,Mar,7
2017,Apr,5
2017,May,8
2017,Jun,5
2017,Jul,6
2017,Aug,7
2017,Sep,6
2017,Oct,11
2017,Nov,11
2017,Dec,9
2018,Jan,7
2018,Feb,8
2018,Mar,12
2018,Apr,10
2018,May,8
2018,Jun,9
2018,Jul,9
2018,Aug,16
2018,Sep,10
2018,Oct,8
2018,Nov,6
2018,Dec,6
2019,Jan,8
2019,Feb,7
2019,Mar,5
2019,Apr,6
2019,May,6
2019,Jun,11
2019,Jul,5
2019,Aug,5
2019,Sep,7
2019,Oct,6
2019,Nov,4
2019,Dec,4
2020,Jan,5
2020,Feb,6
2020,Mar,4
2020,Apr,6
2020,May,7
2020,Jun,7
2020,Jul,6
2020,Aug,8
2020,Sep,7
2020,Oct,8
2020,Nov,2
2020,Dec,8
2021,Jan,4
2021,Feb,7
2021,Mar,5
2021,Apr,5
2021,May,8
2021,Jun,6
2021,Jul,7
2021,Aug,5
2021,Sep,7
2021,Oct,6
2021,Nov,5
2021,Dec,7
2022,Jan,8
2022,Feb,5
2022,Mar,2
