Owner:,LONG WILLIAM A
Cname:,YADKIN FINANCIAL CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,18
2004,Feb,71
2004,Mar,45
2004,Apr,17
2004,May,16
2004,Jun,0
2004,Jul,0
2004,Aug,59
2004,Sep,43
2004,Oct,0
2004,Nov,30
2004,Dec,27
2005,Jan,0
2005,Feb,24
2005,Mar,52
2005,Apr,0
2005,May,21
2005,Jun,44
2005,Jul,11
2005,Aug,41
2005,Sep,19
2005,Oct,9
2005,Nov,27
2005,Dec,43
2006,Jan,38
2006,Feb,16
2006,Mar,21
2006,Apr,37
2006,May,42
2006,Jun,7
2006,Jul,14
2006,Aug,13
2006,Sep,26
2006,Oct,48
2006,Nov,6
2006,Dec,24
2007,Jan,37
2007,Feb,22
2007,Mar,30
2007,Apr,31
2007,May,14
2007,Jun,10
2007,Jul,14
2007,Aug,13
2007,Sep,27
2007,Oct,20
2007,Nov,40
2007,Dec,29
2008,Jan,22
2008,Feb,27
2008,Mar,15
2008,Apr,47
2008,May,26
2008,Jun,35
2008,Jul,30
2008,Aug,29
2008,Sep,17
2008,Oct,38
2008,Nov,31
2008,Dec,34
2009,Jan,35
2009,Feb,24
2009,Mar,40
2009,Apr,31
2009,May,47
2009,Jun,48
2009,Jul,19
2009,Aug,18
2009,Sep,24
2009,Oct,45
2009,Nov,29
2009,Dec,45
2010,Jan,40
2010,Feb,24
2010,Mar,40
2010,Apr,50
2010,May,50
2010,Jun,36
2010,Jul,23
2010,Aug,37
2010,Sep,40
2010,Oct,37
2010,Nov,46
2010,Dec,23
2011,Jan,53
2011,Feb,46
2011,Mar,55
2011,Apr,81
2011,May,45
2011,Jun,54
2011,Jul,32
2011,Aug,28
2011,Sep,35
2011,Oct,43
2011,Nov,74
2011,Dec,35
2012,Jan,43
2012,Feb,44
2012,Mar,41
2012,Apr,67
2012,May,54
2012,Jun,34
2012,Jul,39
2012,Aug,31
2012,Sep,59
2012,Oct,64
2012,Nov,70
2012,Dec,42
2013,Jan,42
2013,Feb,59
2013,Mar,34
2013,Apr,37
2013,May,43
2013,Jun,37
2013,Jul,53
2013,Aug,37
2013,Sep,51
2013,Oct,46
2013,Nov,42
2013,Dec,51
2014,Jan,47
2014,Feb,57
2014,Mar,46
2014,Apr,81
2014,May,55
2014,Jun,43
2014,Jul,46
2014,Aug,40
2014,Sep,46
2014,Oct,49
2014,Nov,55
2014,Dec,55
2015,Jan,62
2015,Feb,66
2015,Mar,49
2015,Apr,63
2015,May,48
2015,Jun,42
2015,Jul,45
2015,Aug,38
2015,Sep,41
2015,Oct,36
2015,Nov,52
2015,Dec,57
2016,Jan,76
2016,Feb,52
2016,Mar,63
2016,Apr,57
2016,May,59
2016,Jun,39
2016,Jul,48
2016,Aug,47
2016,Sep,57
2016,Oct,48
2016,Nov,65
2016,Dec,56
2017,Jan,65
2017,Feb,67
2017,Mar,74
2017,Apr,59
2017,May,65
2017,Jun,43
2017,Jul,46
2017,Aug,37
2017,Sep,48
2017,Oct,68
2017,Nov,79
2017,Dec,63
2018,Jan,55
2018,Feb,74
2018,Mar,66
2018,Apr,83
2018,May,61
2018,Jun,40
2018,Jul,42
2018,Aug,46
2018,Sep,68
2018,Oct,71
2018,Nov,72
2018,Dec,63
2019,Jan,67
2019,Feb,87
2019,Mar,85
2019,Apr,89
2019,May,73
2019,Jun,61
2019,Jul,53
2019,Aug,45
2019,Sep,68
2019,Oct,70
2019,Nov,66
2019,Dec,57
2020,Jan,79
2020,Feb,89
2020,Mar,64
2020,Apr,80
2020,May,81
2020,Jun,59
2020,Jul,54
2020,Aug,65
2020,Sep,72
2020,Oct,90
2020,Nov,86
2020,Dec,71
2021,Jan,89
2021,Feb,89
2021,Mar,79
2021,Apr,100
2021,May,85
2021,Jun,56
2021,Jul,53
2021,Aug,49
2021,Sep,72
2021,Oct,96
2021,Nov,76
2021,Dec,78
2022,Jan,92
2022,Feb,81
2022,Mar,83
