Owner:,MARSHALL WILLIAM J
Cname:,GREEN EARTH TECHNOLOGIES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,100
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,91
2004,Jul,0
2004,Aug,84
2004,Sep,0
2004,Oct,0
2004,Nov,85
2004,Dec,0
2005,Jan,66
2005,Feb,0
2005,Mar,0
2005,Apr,68
2005,May,0
2005,Jun,62
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,51
2005,Dec,49
2006,Jan,87
2006,Feb,45
2006,Mar,0
2006,Apr,0
2006,May,40
2006,Jun,0
2006,Jul,82
2006,Aug,37
2006,Sep,0
2006,Oct,34
2006,Nov,0
2006,Dec,34
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,53
2007,Jun,28
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,23
2007,Nov,23
2007,Dec,0
2008,Jan,21
2008,Feb,0
2008,Mar,0
2008,Apr,21
2008,May,0
2008,Jun,44
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,18
2008,Nov,0
2008,Dec,0
2009,Jan,18
2009,Feb,0
2009,Mar,17
2009,Apr,17
2009,May,36
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,64
2009,Nov,0
2009,Dec,16
2010,Jan,0
2010,Feb,16
2010,Mar,14
2010,Apr,45
2010,May,47
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,13
2010,Oct,50
2010,Nov,0
2010,Dec,12
2011,Jan,9
2011,Feb,0
2011,Mar,19
2011,Apr,10
2011,May,0
2011,Jun,0
2011,Jul,0
2011,Aug,26
2011,Sep,9
2011,Oct,8
2011,Nov,8
2011,Dec,16
2012,Jan,23
2012,Feb,23
2012,Mar,22
2012,Apr,0
2012,May,7
2012,Jun,8
2012,Jul,0
2012,Aug,0
2012,Sep,0
2012,Oct,20
2012,Nov,21
2012,Dec,20
2013,Jan,6
2013,Feb,7
2013,Mar,18
2013,Apr,6
2013,May,19
2013,Jun,13
2013,Jul,6
2013,Aug,12
2013,Sep,18
2013,Oct,6
2013,Nov,0
2013,Dec,6
2014,Jan,6
2014,Feb,12
2014,Mar,17
2014,Apr,12
2014,May,19
2014,Jun,7
2014,Jul,7
2014,Aug,20
2014,Sep,26
2014,Oct,31
2014,Nov,20
2014,Dec,26
2015,Jan,12
2015,Feb,13
2015,Mar,25
2015,Apr,13
2015,May,20
2015,Jun,0
2015,Jul,0
2015,Aug,0
2015,Sep,19
2015,Oct,6
2015,Nov,13
2015,Dec,12
2016,Jan,5
2016,Feb,5
2016,Mar,0
2016,Apr,16
2016,May,5
2016,Jun,0
2016,Jul,6
2016,Aug,6
2016,Sep,5
2016,Oct,5
2016,Nov,10
2016,Dec,0
2017,Jan,0
2017,Feb,25
2017,Mar,0
2017,Apr,9
2017,May,5
2017,Jun,0
2017,Jul,5
2017,Aug,0
2017,Sep,5
2017,Oct,5
2017,Nov,0
2017,Dec,14
2018,Jan,23
2018,Feb,10
2018,Mar,14
2018,Apr,14
2018,May,14
2018,Jun,0
2018,Jul,0
2018,Aug,0
2018,Sep,10
2018,Oct,32
2018,Nov,19
2018,Dec,14
2019,Jan,9
2019,Feb,14
2019,Mar,5
2019,Apr,5
2019,May,28
2019,Jun,5
2019,Jul,5
2019,Aug,5
2019,Sep,4
2019,Oct,8
2019,Nov,0
2019,Dec,0
2020,Jan,0
2020,Feb,0
2020,Mar,7
2020,Apr,11
2020,May,11
2020,Jun,4
2020,Jul,0
2020,Aug,4
2020,Sep,4
2020,Oct,4
2020,Nov,9
2020,Dec,13
2021,Jan,0
2021,Feb,5
2021,Mar,8
2021,Apr,4
2021,May,4
2021,Jun,5
2021,Jul,0
2021,Aug,9
2021,Sep,5
2021,Oct,0
2021,Nov,5
2021,Dec,0
2022,Jan,5
2022,Feb,16
2022,Mar,5
