Owner:,MATHEWS MICHAEL
Cname:,INTERCLICK LLC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,21
2004,Feb,21
2004,Mar,26
2004,Apr,60
2004,May,73
2004,Jun,38
2004,Jul,19
2004,Aug,17
2004,Sep,33
2004,Oct,0
2004,Nov,53
2004,Dec,62
2005,Jan,27
2005,Feb,29
2005,Mar,74
2005,Apr,42
2005,May,38
2005,Jun,0
2005,Jul,51
2005,Aug,36
2005,Sep,55
2005,Oct,21
2005,Nov,32
2005,Dec,10
2006,Jan,9
2006,Feb,28
2006,Mar,41
2006,Apr,43
2006,May,49
2006,Jun,26
2006,Jul,25
2006,Aug,8
2006,Sep,39
2006,Oct,28
2006,Nov,42
2006,Dec,49
2007,Jan,6
2007,Feb,20
2007,Mar,36
2007,Apr,36
2007,May,60
2007,Jun,29
2007,Jul,33
2007,Aug,26
2007,Sep,37
2007,Oct,19
2007,Nov,28
2007,Dec,29
2008,Jan,13
2008,Feb,40
2008,Mar,44
2008,Apr,34
2008,May,30
2008,Jun,37
2008,Jul,31
2008,Aug,39
2008,Sep,60
2008,Oct,37
2008,Nov,28
2008,Dec,12
2009,Jan,23
2009,Feb,28
2009,Mar,29
2009,Apr,25
2009,May,37
2009,Jun,34
2009,Jul,44
2009,Aug,47
2009,Sep,52
2009,Oct,13
2009,Nov,20
2009,Dec,30
2010,Jan,25
2010,Feb,20
2010,Mar,27
2010,Apr,28
2010,May,39
2010,Jun,26
2010,Jul,26
2010,Aug,19
2010,Sep,100
2010,Oct,42
2010,Nov,35
2010,Dec,30
2011,Jan,38
2011,Feb,47
2011,Mar,29
2011,Apr,26
2011,May,17
2011,Jun,32
2011,Jul,12
2011,Aug,24
2011,Sep,42
2011,Oct,24
2011,Nov,26
2011,Dec,32
2012,Jan,25
2012,Feb,27
2012,Mar,32
2012,Apr,23
2012,May,21
2012,Jun,18
2012,Jul,32
2012,Aug,86
2012,Sep,54
2012,Oct,35
2012,Nov,36
2012,Dec,29
2013,Jan,21
2013,Feb,26
2013,Mar,23
2013,Apr,26
2013,May,18
2013,Jun,22
2013,Jul,22
2013,Aug,33
2013,Sep,33
2013,Oct,34
2013,Nov,28
2013,Dec,34
2014,Jan,23
2014,Feb,19
2014,Mar,24
2014,Apr,16
2014,May,34
2014,Jun,19
2014,Jul,20
2014,Aug,42
2014,Sep,34
2014,Oct,29
2014,Nov,27
2014,Dec,23
2015,Jan,17
2015,Feb,27
2015,Mar,34
2015,Apr,28
2015,May,19
2015,Jun,23
2015,Jul,26
2015,Aug,34
2015,Sep,40
2015,Oct,41
2015,Nov,22
2015,Dec,24
2016,Jan,24
2016,Feb,20
2016,Mar,22
2016,Apr,29
2016,May,16
2016,Jun,23
2016,Jul,24
2016,Aug,39
2016,Sep,49
2016,Oct,30
2016,Nov,33
2016,Dec,26
2017,Jan,27
2017,Feb,18
2017,Mar,12
2017,Apr,21
2017,May,15
2017,Jun,24
2017,Jul,22
2017,Aug,20
2017,Sep,23
2017,Oct,24
2017,Nov,13
2017,Dec,22
2018,Jan,19
2018,Feb,26
2018,Mar,21
2018,Apr,22
2018,May,27
2018,Jun,17
2018,Jul,25
2018,Aug,12
2018,Sep,23
2018,Oct,20
2018,Nov,15
2018,Dec,21
2019,Jan,22
2019,Feb,18
2019,Mar,13
2019,Apr,12
2019,May,11
2019,Jun,13
2019,Jul,16
2019,Aug,14
2019,Sep,19
2019,Oct,16
2019,Nov,14
2019,Dec,9
2020,Jan,17
2020,Feb,14
2020,Mar,15
2020,Apr,17
2020,May,8
2020,Jun,14
2020,Jul,16
2020,Aug,13
2020,Sep,13
2020,Oct,15
2020,Nov,13
2020,Dec,10
2021,Jan,9
2021,Feb,13
2021,Mar,8
2021,Apr,12
2021,May,10
2021,Jun,15
2021,Jul,15
2021,Aug,14
2021,Sep,12
2021,Oct,11
2021,Nov,15
2021,Dec,19
2022,Jan,16
2022,Feb,16
2022,Mar,14
