Owner:,MELO JOHN
Cname:,AMYRIS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,37
2005,Apr,0
2005,May,76
2005,Jun,77
2005,Jul,0
2005,Aug,36
2005,Sep,0
2005,Oct,31
2005,Nov,0
2005,Dec,61
2006,Jan,27
2006,Feb,0
2006,Mar,25
2006,Apr,0
2006,May,25
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,23
2006,Oct,21
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,89
2007,Apr,0
2007,May,16
2007,Jun,18
2007,Jul,50
2007,Aug,16
2007,Sep,47
2007,Oct,28
2007,Nov,14
2007,Dec,0
2008,Jan,13
2008,Feb,0
2008,Mar,39
2008,Apr,51
2008,May,39
2008,Jun,14
2008,Jul,13
2008,Aug,0
2008,Sep,12
2008,Oct,11
2008,Nov,0
2008,Dec,24
2009,Jan,34
2009,Feb,0
2009,Mar,11
2009,Apr,43
2009,May,11
2009,Jun,0
2009,Jul,22
2009,Aug,43
2009,Sep,31
2009,Oct,20
2009,Nov,41
2009,Dec,0
2010,Jan,19
2010,Feb,10
2010,Mar,36
2010,Apr,9
2010,May,19
2010,Jun,10
2010,Jul,0
2010,Aug,16
2010,Sep,70
2010,Oct,31
2010,Nov,30
2010,Dec,30
2011,Jan,29
2011,Feb,64
2011,Mar,34
2011,Apr,24
2011,May,23
2011,Jun,6
2011,Jul,41
2011,Aug,38
2011,Sep,38
2011,Oct,31
2011,Nov,26
2011,Dec,20
2012,Jan,38
2012,Feb,43
2012,Mar,100
2012,Apr,43
2012,May,18
2012,Jun,33
2012,Jul,32
2012,Aug,13
2012,Sep,13
2012,Oct,33
2012,Nov,51
2012,Dec,12
2013,Jan,23
2013,Feb,21
2013,Mar,30
2013,Apr,15
2013,May,19
2013,Jun,32
2013,Jul,39
2013,Aug,11
2013,Sep,19
2013,Oct,18
2013,Nov,15
2013,Dec,15
2014,Jan,18
2014,Feb,23
2014,Mar,32
2014,Apr,43
2014,May,8
2014,Jun,43
2014,Jul,17
2014,Aug,16
2014,Sep,24
2014,Oct,19
2014,Nov,41
2014,Dec,44
2015,Jan,35
2015,Feb,32
2015,Mar,50
2015,Apr,44
2015,May,41
2015,Jun,25
2015,Jul,33
2015,Aug,16
2015,Sep,20
2015,Oct,7
2015,Nov,19
2015,Dec,38
2016,Jan,34
2016,Feb,29
2016,Mar,27
2016,Apr,22
2016,May,25
2016,Jun,13
2016,Jul,3
2016,Aug,20
2016,Sep,3
2016,Oct,22
2016,Nov,15
2016,Dec,18
2017,Jan,34
2017,Feb,98
2017,Mar,43
2017,Apr,37
2017,May,29
2017,Jun,31
2017,Jul,86
2017,Aug,35
2017,Sep,43
2017,Oct,25
2017,Nov,28
2017,Dec,25
2018,Jan,22
2018,Feb,26
2018,Mar,22
2018,Apr,25
2018,May,25
2018,Jun,23
2018,Jul,26
2018,Aug,11
2018,Sep,20
2018,Oct,28
2018,Nov,39
2018,Dec,22
2019,Jan,21
2019,Feb,26
2019,Mar,19
2019,Apr,17
2019,May,6
2019,Jun,26
2019,Jul,14
2019,Aug,22
2019,Sep,18
2019,Oct,10
2019,Nov,18
2019,Dec,21
2020,Jan,29
2020,Feb,10
2020,Mar,11
2020,Apr,9
2020,May,4
2020,Jun,14
2020,Jul,7
2020,Aug,21
2020,Sep,5
2020,Oct,8
2020,Nov,8
2020,Dec,16
2021,Jan,20
2021,Feb,23
2021,Mar,15
2021,Apr,16
2021,May,19
2021,Jun,14
2021,Jul,11
2021,Aug,16
2021,Sep,11
2021,Oct,22
2021,Nov,12
2021,Dec,25
2022,Jan,31
2022,Feb,19
2022,Mar,17
