Owner:,MILLER RICHARD A
Cname:,PHARMACYCLICS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,32
2004,Apr,0
2004,May,22
2004,Jun,46
2004,Jul,47
2004,Aug,21
2004,Sep,20
2004,Oct,21
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,18
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,38
2005,Nov,0
2005,Dec,0
2006,Jan,11
2006,Feb,11
2006,Mar,20
2006,Apr,32
2006,May,10
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,10
2006,Oct,17
2006,Nov,17
2006,Dec,9
2007,Jan,8
2007,Feb,8
2007,Mar,22
2007,Apr,7
2007,May,13
2007,Jun,0
2007,Jul,0
2007,Aug,6
2007,Sep,0
2007,Oct,6
2007,Nov,29
2007,Dec,18
2008,Jan,16
2008,Feb,5
2008,Mar,21
2008,Apr,21
2008,May,5
2008,Jun,0
2008,Jul,11
2008,Aug,16
2008,Sep,5
2008,Oct,5
2008,Nov,20
2008,Dec,10
2009,Jan,23
2009,Feb,34
2009,Mar,22
2009,Apr,13
2009,May,0
2009,Jun,9
2009,Jul,0
2009,Aug,31
2009,Sep,26
2009,Oct,12
2009,Nov,4
2009,Dec,8
2010,Jan,27
2010,Feb,19
2010,Mar,10
2010,Apr,40
2010,May,4
2010,Jun,27
2010,Jul,3
2010,Aug,6
2010,Sep,12
2010,Oct,33
2010,Nov,9
2010,Dec,9
2011,Jan,12
2011,Feb,10
2011,Mar,13
2011,Apr,23
2011,May,9
2011,Jun,9
2011,Jul,16
2011,Aug,15
2011,Sep,19
2011,Oct,16
2011,Nov,14
2011,Dec,12
2012,Jan,11
2012,Feb,11
2012,Mar,21
2012,Apr,21
2012,May,16
2012,Jun,15
2012,Jul,7
2012,Aug,2
2012,Sep,12
2012,Oct,13
2012,Nov,10
2012,Dec,6
2013,Jan,15
2013,Feb,16
2013,Mar,16
2013,Apr,9
2013,May,11
2013,Jun,16
2013,Jul,6
2013,Aug,8
2013,Sep,22
2013,Oct,14
2013,Nov,16
2013,Dec,20
2014,Jan,22
2014,Feb,14
2014,Mar,17
2014,Apr,6
2014,May,18
2014,Jun,10
2014,Jul,13
2014,Aug,11
2014,Sep,23
2014,Oct,18
2014,Nov,13
2014,Dec,6
2015,Jan,14
2015,Feb,11
2015,Mar,6
2015,Apr,17
2015,May,10
2015,Jun,12
2015,Jul,11
2015,Aug,14
2015,Sep,5
2015,Oct,19
2015,Nov,11
2015,Dec,21
2016,Jan,18
2016,Feb,11
2016,Mar,8
2016,Apr,20
2016,May,11
2016,Jun,9
2016,Jul,16
2016,Aug,13
2016,Sep,15
2016,Oct,21
2016,Nov,10
2016,Dec,14
2017,Jan,10
2017,Feb,13
2017,Mar,15
2017,Apr,11
2017,May,8
2017,Jun,11
2017,Jul,15
2017,Aug,12
2017,Sep,16
2017,Oct,9
2017,Nov,13
2017,Dec,12
2018,Jan,11
2018,Feb,13
2018,Mar,6
2018,Apr,16
2018,May,11
2018,Jun,8
2018,Jul,10
2018,Aug,11
2018,Sep,27
2018,Oct,100
2018,Nov,94
2018,Dec,11
2019,Jan,17
2019,Feb,9
2019,Mar,12
2019,Apr,9
2019,May,12
2019,Jun,7
2019,Jul,16
2019,Aug,13
2019,Sep,9
2019,Oct,16
2019,Nov,13
2019,Dec,20
2020,Jan,8
2020,Feb,12
2020,Mar,13
2020,Apr,12
2020,May,10
2020,Jun,14
2020,Jul,12
2020,Aug,10
2020,Sep,5
2020,Oct,16
2020,Nov,13
2020,Dec,4
2021,Jan,8
2021,Feb,10
2021,Mar,11
2021,Apr,12
2021,May,21
2021,Jun,12
2021,Jul,13
2021,Aug,13
2021,Sep,15
2021,Oct,10
2021,Nov,11
2021,Dec,7
2022,Jan,13
2022,Feb,11
2022,Mar,8
