Owner:,MILLS MICHAEL
Cname:,BODY AND MIND INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,46
2004,Feb,45
2004,Mar,93
2004,Apr,62
2004,May,64
2004,Jun,58
2004,Jul,76
2004,Aug,46
2004,Sep,51
2004,Oct,67
2004,Nov,54
2004,Dec,62
2005,Jan,78
2005,Feb,44
2005,Mar,59
2005,Apr,80
2005,May,39
2005,Jun,34
2005,Jul,50
2005,Aug,52
2005,Sep,73
2005,Oct,59
2005,Nov,37
2005,Dec,49
2006,Jan,39
2006,Feb,36
2006,Mar,22
2006,Apr,46
2006,May,61
2006,Jun,83
2006,Jul,55
2006,Aug,71
2006,Sep,37
2006,Oct,43
2006,Nov,55
2006,Dec,49
2007,Jan,57
2007,Feb,63
2007,Mar,36
2007,Apr,44
2007,May,38
2007,Jun,38
2007,Jul,36
2007,Aug,44
2007,Sep,46
2007,Oct,52
2007,Nov,52
2007,Dec,39
2008,Jan,30
2008,Feb,53
2008,Mar,36
2008,Apr,54
2008,May,38
2008,Jun,36
2008,Jul,44
2008,Aug,59
2008,Sep,38
2008,Oct,37
2008,Nov,41
2008,Dec,35
2009,Jan,28
2009,Feb,40
2009,Mar,49
2009,Apr,36
2009,May,53
2009,Jun,70
2009,Jul,84
2009,Aug,91
2009,Sep,47
2009,Oct,61
2009,Nov,30
2009,Dec,39
2010,Jan,44
2010,Feb,41
2010,Mar,41
2010,Apr,39
2010,May,40
2010,Jun,63
2010,Jul,71
2010,Aug,45
2010,Sep,54
2010,Oct,38
2010,Nov,42
2010,Dec,46
2011,Jan,46
2011,Feb,37
2011,Mar,55
2011,Apr,60
2011,May,51
2011,Jun,51
2011,Jul,45
2011,Aug,46
2011,Sep,59
2011,Oct,49
2011,Nov,47
2011,Dec,62
2012,Jan,46
2012,Feb,62
2012,Mar,62
2012,Apr,65
2012,May,46
2012,Jun,52
2012,Jul,47
2012,Aug,68
2012,Sep,51
2012,Oct,46
2012,Nov,66
2012,Dec,71
2013,Jan,58
2013,Feb,61
2013,Mar,62
2013,Apr,65
2013,May,67
2013,Jun,62
2013,Jul,65
2013,Aug,61
2013,Sep,46
2013,Oct,48
2013,Nov,74
2013,Dec,86
2014,Jan,72
2014,Feb,59
2014,Mar,65
2014,Apr,55
2014,May,56
2014,Jun,62
2014,Jul,65
2014,Aug,59
2014,Sep,53
2014,Oct,47
2014,Nov,75
2014,Dec,83
2015,Jan,65
2015,Feb,55
2015,Mar,59
2015,Apr,54
2015,May,58
2015,Jun,56
2015,Jul,71
2015,Aug,51
2015,Sep,57
2015,Oct,45
2015,Nov,57
2015,Dec,100
2016,Jan,54
2016,Feb,64
2016,Mar,50
2016,Apr,55
2016,May,63
2016,Jun,46
2016,Jul,52
2016,Aug,53
2016,Sep,45
2016,Oct,49
2016,Nov,60
2016,Dec,80
2017,Jan,50
2017,Feb,57
2017,Mar,46
2017,Apr,47
2017,May,52
2017,Jun,45
2017,Jul,57
2017,Aug,44
2017,Sep,43
2017,Oct,48
2017,Nov,51
2017,Dec,55
2018,Jan,44
2018,Feb,47
2018,Mar,46
2018,Apr,48
2018,May,48
2018,Jun,50
2018,Jul,51
2018,Aug,51
2018,Sep,42
2018,Oct,54
2018,Nov,48
2018,Dec,48
2019,Jan,42
2019,Feb,49
2019,Mar,41
2019,Apr,45
2019,May,33
2019,Jun,49
2019,Jul,41
2019,Aug,33
2019,Sep,41
2019,Oct,44
2019,Nov,54
2019,Dec,63
2020,Jan,45
2020,Feb,36
2020,Mar,33
2020,Apr,32
2020,May,40
2020,Jun,43
2020,Jul,48
2020,Aug,41
2020,Sep,43
2020,Oct,33
2020,Nov,40
2020,Dec,48
2021,Jan,40
2021,Feb,41
2021,Mar,46
2021,Apr,42
2021,May,40
2021,Jun,37
2021,Jul,48
2021,Aug,40
2021,Sep,35
2021,Oct,47
2021,Nov,51
2021,Dec,52
2022,Jan,35
2022,Feb,35
2022,Mar,39
