Owner:,MORETZ MCCOY
Cname:,HYPGEN INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,75
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,54
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,67
2007,Sep,0
2007,Oct,20
2007,Nov,20
2007,Dec,0
2008,Jan,0
2008,Feb,19
2008,Mar,0
2008,Apr,0
2008,May,18
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,16
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,15
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,14
2010,Mar,25
2010,Apr,13
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,8
2011,Feb,9
2011,Mar,8
2011,Apr,8
2011,May,0
2011,Jun,0
2011,Jul,8
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,0
2012,Jan,7
2012,Feb,13
2012,Mar,0
2012,Apr,14
2012,May,19
2012,Jun,20
2012,Jul,0
2012,Aug,6
2012,Sep,6
2012,Oct,0
2012,Nov,0
2012,Dec,6
2013,Jan,5
2013,Feb,18
2013,Mar,0
2013,Apr,0
2013,May,5
2013,Jun,23
2013,Jul,6
2013,Aug,11
2013,Sep,16
2013,Oct,26
2013,Nov,11
2013,Dec,11
2014,Jan,5
2014,Feb,5
2014,Mar,0
2014,Apr,10
2014,May,5
2014,Jun,0
2014,Jul,18
2014,Aug,17
2014,Sep,23
2014,Oct,11
2014,Nov,6
2014,Dec,11
2015,Jan,5
2015,Feb,11
2015,Mar,11
2015,Apr,11
2015,May,0
2015,Jun,0
2015,Jul,6
2015,Aug,0
2015,Sep,33
2015,Oct,5
2015,Nov,5
2015,Dec,5
2016,Jan,26
2016,Feb,23
2016,Mar,9
2016,Apr,18
2016,May,22
2016,Jun,47
2016,Jul,14
2016,Aug,19
2016,Sep,4
2016,Oct,13
2016,Nov,0
2016,Dec,4
2017,Jan,32
2017,Feb,4
2017,Mar,8
2017,Apr,8
2017,May,8
2017,Jun,18
2017,Jul,13
2017,Aug,4
2017,Sep,4
2017,Oct,4
2017,Nov,0
2017,Dec,0
2018,Jan,4
2018,Feb,8
2018,Mar,0
2018,Apr,16
2018,May,4
2018,Jun,8
2018,Jul,4
2018,Aug,12
2018,Sep,0
2018,Oct,16
2018,Nov,4
2018,Dec,8
2019,Jan,19
2019,Feb,20
2019,Mar,11
2019,Apr,0
2019,May,8
2019,Jun,0
2019,Jul,0
2019,Aug,4
2019,Sep,0
2019,Oct,7
2019,Nov,15
2019,Dec,4
2020,Jan,3
2020,Feb,7
2020,Mar,0
2020,Apr,3
2020,May,9
2020,Jun,7
2020,Jul,13
2020,Aug,3
2020,Sep,3
2020,Oct,7
2020,Nov,0
2020,Dec,15
2021,Jan,0
2021,Feb,0
2021,Mar,100
2021,Apr,11
2021,May,0
2021,Jun,0
2021,Jul,11
2021,Aug,8
2021,Sep,24
2021,Oct,20
2021,Nov,4
2021,Dec,24
2022,Jan,16
2022,Feb,9
2022,Mar,0
