Owner:,PALMER RICHARD
Cname:,GLOBAL CLEAN ENERGY HOLDINGS I
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,40
2004,Feb,47
2004,Mar,10
2004,Apr,15
2004,May,35
2004,Jun,50
2004,Jul,22
2004,Aug,26
2004,Sep,13
2004,Oct,39
2004,Nov,33
2004,Dec,30
2005,Jan,36
2005,Feb,44
2005,Mar,14
2005,Apr,27
2005,May,100
2005,Jun,63
2005,Jul,24
2005,Aug,18
2005,Sep,25
2005,Oct,47
2005,Nov,44
2005,Dec,34
2006,Jan,24
2006,Feb,21
2006,Mar,41
2006,Apr,39
2006,May,43
2006,Jun,26
2006,Jul,32
2006,Aug,26
2006,Sep,15
2006,Oct,27
2006,Nov,29
2006,Dec,29
2007,Jan,35
2007,Feb,25
2007,Mar,16
2007,Apr,32
2007,May,15
2007,Jun,15
2007,Jul,23
2007,Aug,34
2007,Sep,22
2007,Oct,27
2007,Nov,38
2007,Dec,30
2008,Jan,20
2008,Feb,20
2008,Mar,23
2008,Apr,21
2008,May,18
2008,Jun,26
2008,Jul,28
2008,Aug,19
2008,Sep,29
2008,Oct,72
2008,Nov,31
2008,Dec,26
2009,Jan,33
2009,Feb,31
2009,Mar,12
2009,Apr,26
2009,May,24
2009,Jun,32
2009,Jul,22
2009,Aug,29
2009,Sep,28
2009,Oct,26
2009,Nov,22
2009,Dec,23
2010,Jan,12
2010,Feb,16
2010,Mar,20
2010,Apr,29
2010,May,21
2010,Jun,31
2010,Jul,30
2010,Aug,26
2010,Sep,21
2010,Oct,20
2010,Nov,17
2010,Dec,22
2011,Jan,23
2011,Feb,16
2011,Mar,23
2011,Apr,24
2011,May,30
2011,Jun,20
2011,Jul,13
2011,Aug,19
2011,Sep,16
2011,Oct,19
2011,Nov,23
2011,Dec,25
2012,Jan,21
2012,Feb,20
2012,Mar,20
2012,Apr,21
2012,May,20
2012,Jun,17
2012,Jul,14
2012,Aug,25
2012,Sep,16
2012,Oct,17
2012,Nov,13
2012,Dec,22
2013,Jan,16
2013,Feb,23
2013,Mar,19
2013,Apr,27
2013,May,19
2013,Jun,20
2013,Jul,16
2013,Aug,21
2013,Sep,17
2013,Oct,20
2013,Nov,22
2013,Dec,13
2014,Jan,20
2014,Feb,20
2014,Mar,16
2014,Apr,16
2014,May,12
2014,Jun,16
2014,Jul,21
2014,Aug,12
2014,Sep,18
2014,Oct,26
2014,Nov,28
2014,Dec,16
2015,Jan,19
2015,Feb,20
2015,Mar,16
2015,Apr,16
2015,May,15
2015,Jun,25
2015,Jul,15
2015,Aug,18
2015,Sep,22
2015,Oct,14
2015,Nov,20
2015,Dec,14
2016,Jan,23
2016,Feb,21
2016,Mar,17
2016,Apr,20
2016,May,12
2016,Jun,16
2016,Jul,20
2016,Aug,19
2016,Sep,25
2016,Oct,16
2016,Nov,13
2016,Dec,15
2017,Jan,19
2017,Feb,18
2017,Mar,17
2017,Apr,18
2017,May,16
2017,Jun,15
2017,Jul,19
2017,Aug,19
2017,Sep,14
2017,Oct,20
2017,Nov,17
2017,Dec,14
2018,Jan,23
2018,Feb,19
2018,Mar,18
2018,Apr,13
2018,May,17
2018,Jun,12
2018,Jul,14
2018,Aug,11
2018,Sep,16
2018,Oct,17
2018,Nov,14
2018,Dec,16
2019,Jan,17
2019,Feb,27
2019,Mar,14
2019,Apr,18
2019,May,19
2019,Jun,15
2019,Jul,23
2019,Aug,16
2019,Sep,19
2019,Oct,24
2019,Nov,21
2019,Dec,13
2020,Jan,22
2020,Feb,21
2020,Mar,19
2020,Apr,11
2020,May,17
2020,Jun,16
2020,Jul,14
2020,Aug,13
2020,Sep,12
2020,Oct,15
2020,Nov,16
2020,Dec,15
2021,Jan,14
2021,Feb,15
2021,Mar,21
2021,Apr,13
2021,May,14
2021,Jun,14
2021,Jul,21
2021,Aug,16
2021,Sep,19
2021,Oct,16
2021,Nov,17
2021,Dec,17
2022,Jan,20
2022,Feb,14
2022,Mar,13
