Owner:,PARK WILLIAM C
Cname:,DIGITAL IMPACT INC DE
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,100
2005,Aug,0
2005,Sep,44
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,73
2006,Mar,0
2006,Apr,0
2006,May,64
2006,Jun,0
2006,Jul,0
2006,Aug,30
2006,Sep,31
2006,Oct,56
2006,Nov,0
2006,Dec,0
2007,Jan,24
2007,Feb,52
2007,Mar,23
2007,Apr,24
2007,May,22
2007,Jun,23
2007,Jul,43
2007,Aug,62
2007,Sep,21
2007,Oct,19
2007,Nov,37
2007,Dec,96
2008,Jan,17
2008,Feb,18
2008,Mar,34
2008,Apr,34
2008,May,17
2008,Jun,18
2008,Jul,0
2008,Aug,17
2008,Sep,0
2008,Oct,43
2008,Nov,32
2008,Dec,0
2009,Jan,15
2009,Feb,0
2009,Mar,0
2009,Apr,14
2009,May,0
2009,Jun,59
2009,Jul,58
2009,Aug,0
2009,Sep,0
2009,Oct,13
2009,Nov,27
2009,Dec,0
2010,Jan,12
2010,Feb,26
2010,Mar,0
2010,Apr,12
2010,May,51
2010,Jun,26
2010,Jul,33
2010,Aug,54
2010,Sep,10
2010,Oct,10
2010,Nov,10
2010,Dec,0
2011,Jan,15
2011,Feb,50
2011,Mar,8
2011,Apr,8
2011,May,38
2011,Jun,8
2011,Jul,15
2011,Aug,36
2011,Sep,50
2011,Oct,13
2011,Nov,14
2011,Dec,13
2012,Jan,37
2012,Feb,19
2012,Mar,30
2012,Apr,19
2012,May,12
2012,Jun,31
2012,Jul,36
2012,Aug,12
2012,Sep,35
2012,Oct,11
2012,Nov,34
2012,Dec,16
2013,Jan,31
2013,Feb,38
2013,Mar,25
2013,Apr,20
2013,May,25
2013,Jun,11
2013,Jul,10
2013,Aug,25
2013,Sep,5
2013,Oct,19
2013,Nov,30
2013,Dec,10
2014,Jan,14
2014,Feb,41
2014,Mar,19
2014,Apr,14
2014,May,0
2014,Jun,28
2014,Jul,28
2014,Aug,16
2014,Sep,21
2014,Oct,10
2014,Nov,16
2014,Dec,11
2015,Jan,15
2015,Feb,21
2015,Mar,15
2015,Apr,10
2015,May,11
2015,Jun,22
2015,Jul,33
2015,Aug,16
2015,Sep,31
2015,Oct,10
2015,Nov,20
2015,Dec,5
2016,Jan,21
2016,Feb,13
2016,Mar,20
2016,Apr,29
2016,May,12
2016,Jun,17
2016,Jul,31
2016,Aug,13
2016,Sep,13
2016,Oct,45
2016,Nov,16
2016,Dec,12
2017,Jan,26
2017,Feb,12
2017,Mar,11
2017,Apr,11
2017,May,23
2017,Jun,16
2017,Jul,16
2017,Aug,23
2017,Sep,23
2017,Oct,37
2017,Nov,11
2017,Dec,11
2018,Jan,18
2018,Feb,8
2018,Mar,18
2018,Apr,22
2018,May,14
2018,Jun,15
2018,Jul,34
2018,Aug,22
2018,Sep,34
2018,Oct,4
2018,Nov,15
2018,Dec,15
2019,Jan,14
2019,Feb,15
2019,Mar,11
2019,Apr,26
2019,May,11
2019,Jun,42
2019,Jul,37
2019,Aug,32
2019,Sep,10
2019,Oct,10
2019,Nov,20
2019,Dec,14
2020,Jan,13
2020,Feb,10
2020,Mar,15
2020,Apr,9
2020,May,29
2020,Jun,19
2020,Jul,22
2020,Aug,37
2020,Sep,12
2020,Oct,17
2020,Nov,14
2020,Dec,21
2021,Jan,17
2021,Feb,8
2021,Mar,13
2021,Apr,18
2021,May,11
2021,Jun,36
2021,Jul,36
2021,Aug,18
2021,Sep,15
2021,Oct,22
2021,Nov,8
2021,Dec,19
2022,Jan,18
2022,Feb,8
2022,Mar,18
