Owner:,PEREZ DAVID
Cname:,SURGE GLOBAL ENERGY INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,12
2004,Feb,53
2004,Mar,45
2004,Apr,28
2004,May,42
2004,Jun,11
2004,Jul,38
2004,Aug,49
2004,Sep,33
2004,Oct,24
2004,Nov,40
2004,Dec,40
2005,Jan,19
2005,Feb,16
2005,Mar,31
2005,Apr,32
2005,May,28
2005,Jun,22
2005,Jul,29
2005,Aug,30
2005,Sep,100
2005,Oct,32
2005,Nov,30
2005,Dec,31
2006,Jan,36
2006,Feb,24
2006,Mar,37
2006,Apr,27
2006,May,37
2006,Jun,39
2006,Jul,29
2006,Aug,33
2006,Sep,57
2006,Oct,46
2006,Nov,53
2006,Dec,46
2007,Jan,42
2007,Feb,48
2007,Mar,30
2007,Apr,42
2007,May,42
2007,Jun,36
2007,Jul,64
2007,Aug,55
2007,Sep,56
2007,Oct,44
2007,Nov,36
2007,Dec,48
2008,Jan,51
2008,Feb,52
2008,Mar,58
2008,Apr,52
2008,May,65
2008,Jun,54
2008,Jul,58
2008,Aug,47
2008,Sep,46
2008,Oct,50
2008,Nov,62
2008,Dec,44
2009,Jan,52
2009,Feb,51
2009,Mar,50
2009,Apr,61
2009,May,61
2009,Jun,73
2009,Jul,43
2009,Aug,54
2009,Sep,60
2009,Oct,51
2009,Nov,58
2009,Dec,54
2010,Jan,53
2010,Feb,41
2010,Mar,51
2010,Apr,39
2010,May,51
2010,Jun,45
2010,Jul,47
2010,Aug,48
2010,Sep,34
2010,Oct,47
2010,Nov,33
2010,Dec,32
2011,Jan,42
2011,Feb,38
2011,Mar,39
2011,Apr,28
2011,May,37
2011,Jun,36
2011,Jul,36
2011,Aug,45
2011,Sep,25
2011,Oct,27
2011,Nov,29
2011,Dec,30
2012,Jan,33
2012,Feb,33
2012,Mar,31
2012,Apr,28
2012,May,33
2012,Jun,27
2012,Jul,37
2012,Aug,40
2012,Sep,32
2012,Oct,32
2012,Nov,37
2012,Dec,31
2013,Jan,35
2013,Feb,38
2013,Mar,37
2013,Apr,30
2013,May,33
2013,Jun,38
2013,Jul,37
2013,Aug,36
2013,Sep,33
2013,Oct,35
2013,Nov,28
2013,Dec,31
2014,Jan,31
2014,Feb,30
2014,Mar,25
2014,Apr,31
2014,May,31
2014,Jun,35
2014,Jul,26
2014,Aug,31
2014,Sep,29
2014,Oct,22
2014,Nov,23
2014,Dec,28
2015,Jan,40
2015,Feb,26
2015,Mar,26
2015,Apr,27
2015,May,38
2015,Jun,28
2015,Jul,25
2015,Aug,27
2015,Sep,24
2015,Oct,30
2015,Nov,24
2015,Dec,24
2016,Jan,28
2016,Feb,31
2016,Mar,26
2016,Apr,28
2016,May,23
2016,Jun,29
2016,Jul,31
2016,Aug,18
2016,Sep,25
2016,Oct,37
2016,Nov,42
2016,Dec,21
2017,Jan,19
2017,Feb,22
2017,Mar,26
2017,Apr,22
2017,May,29
2017,Jun,21
2017,Jul,26
2017,Aug,22
2017,Sep,21
2017,Oct,23
2017,Nov,22
2017,Dec,19
2018,Jan,20
2018,Feb,18
2018,Mar,24
2018,Apr,19
2018,May,23
2018,Jun,29
2018,Jul,24
2018,Aug,29
2018,Sep,23
2018,Oct,25
2018,Nov,18
2018,Dec,20
2019,Jan,19
2019,Feb,20
2019,Mar,24
2019,Apr,21
2019,May,22
2019,Jun,25
2019,Jul,17
2019,Aug,18
2019,Sep,18
2019,Oct,17
2019,Nov,17
2019,Dec,16
2020,Jan,22
2020,Feb,24
2020,Mar,25
2020,Apr,16
2020,May,16
2020,Jun,17
2020,Jul,18
2020,Aug,15
2020,Sep,20
2020,Oct,17
2020,Nov,18
2020,Dec,18
2021,Jan,16
2021,Feb,16
2021,Mar,20
2021,Apr,19
2021,May,16
2021,Jun,23
2021,Jul,24
2021,Aug,29
2021,Sep,22
2021,Oct,18
2021,Nov,23
2021,Dec,15
2022,Jan,19
2022,Feb,16
2022,Mar,17
