Owner:,RAND MICHAEL
Cname:,CX2 TECHNOLOGIES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,66
2004,Feb,32
2004,Mar,0
2004,Apr,63
2004,May,100
2004,Jun,15
2004,Jul,45
2004,Aug,27
2004,Sep,39
2004,Oct,0
2004,Nov,55
2004,Dec,73
2005,Jan,53
2005,Feb,11
2005,Mar,19
2005,Apr,44
2005,May,20
2005,Jun,20
2005,Jul,39
2005,Aug,28
2005,Sep,9
2005,Oct,40
2005,Nov,17
2005,Dec,24
2006,Jan,35
2006,Feb,36
2006,Mar,39
2006,Apr,20
2006,May,38
2006,Jun,34
2006,Jul,20
2006,Aug,18
2006,Sep,30
2006,Oct,22
2006,Nov,33
2006,Dec,49
2007,Jan,24
2007,Feb,25
2007,Mar,18
2007,Apr,42
2007,May,26
2007,Jun,36
2007,Jul,43
2007,Aug,37
2007,Sep,16
2007,Oct,22
2007,Nov,40
2007,Dec,42
2008,Jan,37
2008,Feb,24
2008,Mar,14
2008,Apr,27
2008,May,34
2008,Jun,25
2008,Jul,27
2008,Aug,27
2008,Sep,31
2008,Oct,46
2008,Nov,35
2008,Dec,25
2009,Jan,15
2009,Feb,28
2009,Mar,14
2009,Apr,20
2009,May,31
2009,Jun,26
2009,Jul,43
2009,Aug,22
2009,Sep,27
2009,Oct,39
2009,Nov,29
2009,Dec,21
2010,Jan,22
2010,Feb,33
2010,Mar,16
2010,Apr,39
2010,May,38
2010,Jun,33
2010,Jul,27
2010,Aug,45
2010,Sep,37
2010,Oct,45
2010,Nov,38
2010,Dec,22
2011,Jan,29
2011,Feb,27
2011,Mar,27
2011,Apr,28
2011,May,26
2011,Jun,38
2011,Jul,21
2011,Aug,21
2011,Sep,27
2011,Oct,43
2011,Nov,31
2011,Dec,26
2012,Jan,32
2012,Feb,24
2012,Mar,32
2012,Apr,21
2012,May,26
2012,Jun,25
2012,Jul,20
2012,Aug,37
2012,Sep,16
2012,Oct,23
2012,Nov,31
2012,Dec,16
2013,Jan,20
2013,Feb,24
2013,Mar,34
2013,Apr,28
2013,May,18
2013,Jun,23
2013,Jul,22
2013,Aug,21
2013,Sep,35
2013,Oct,32
2013,Nov,17
2013,Dec,17
2014,Jan,37
2014,Feb,21
2014,Mar,24
2014,Apr,16
2014,May,26
2014,Jun,23
2014,Jul,24
2014,Aug,36
2014,Sep,19
2014,Oct,29
2014,Nov,34
2014,Dec,35
2015,Jan,19
2015,Feb,21
2015,Mar,31
2015,Apr,55
2015,May,33
2015,Jun,36
2015,Jul,25
2015,Aug,36
2015,Sep,29
2015,Oct,20
2015,Nov,20
2015,Dec,25
2016,Jan,33
2016,Feb,25
2016,Mar,14
2016,Apr,22
2016,May,24
2016,Jun,16
2016,Jul,22
2016,Aug,18
2016,Sep,15
2016,Oct,24
2016,Nov,18
2016,Dec,16
2017,Jan,27
2017,Feb,25
2017,Mar,23
2017,Apr,16
2017,May,21
2017,Jun,18
2017,Jul,15
2017,Aug,13
2017,Sep,14
2017,Oct,16
2017,Nov,26
2017,Dec,13
2018,Jan,11
2018,Feb,19
2018,Mar,13
2018,Apr,20
2018,May,18
2018,Jun,12
2018,Jul,20
2018,Aug,16
2018,Sep,18
2018,Oct,22
2018,Nov,16
2018,Dec,15
2019,Jan,17
2019,Feb,21
2019,Mar,12
2019,Apr,12
2019,May,11
2019,Jun,16
2019,Jul,18
2019,Aug,13
2019,Sep,13
2019,Oct,14
2019,Nov,14
2019,Dec,13
2020,Jan,15
2020,Feb,9
2020,Mar,20
2020,Apr,18
2020,May,12
2020,Jun,16
2020,Jul,16
2020,Aug,18
2020,Sep,11
2020,Oct,21
2020,Nov,10
2020,Dec,14
2021,Jan,15
2021,Feb,20
2021,Mar,16
2021,Apr,14
2021,May,16
2021,Jun,12
2021,Jul,18
2021,Aug,21
2021,Sep,16
2021,Oct,14
2021,Nov,13
2021,Dec,12
2022,Jan,11
2022,Feb,18
2022,Mar,18
