Owner:,RICE CHARLES A
Cname:,VIRAGEN INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,93
2004,Oct,0
2004,Nov,98
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,61
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,100
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,48
2006,Jul,94
2006,Aug,86
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,33
2007,May,61
2007,Jun,32
2007,Jul,0
2007,Aug,29
2007,Sep,0
2007,Oct,79
2007,Nov,26
2007,Dec,27
2008,Jan,0
2008,Feb,50
2008,Mar,24
2008,Apr,24
2008,May,0
2008,Jun,25
2008,Jul,73
2008,Aug,24
2008,Sep,22
2008,Oct,0
2008,Nov,0
2008,Dec,22
2009,Jan,42
2009,Feb,0
2009,Mar,40
2009,Apr,20
2009,May,0
2009,Jun,21
2009,Jul,41
2009,Aug,0
2009,Sep,19
2009,Oct,0
2009,Nov,19
2009,Dec,55
2010,Jan,0
2010,Feb,36
2010,Mar,0
2010,Apr,17
2010,May,0
2010,Jun,18
2010,Jul,16
2010,Aug,0
2010,Sep,14
2010,Oct,0
2010,Nov,14
2010,Dec,0
2011,Jan,22
2011,Feb,24
2011,Mar,32
2011,Apr,22
2011,May,11
2011,Jun,33
2011,Jul,0
2011,Aug,61
2011,Sep,20
2011,Oct,19
2011,Nov,10
2011,Dec,9
2012,Jan,26
2012,Feb,61
2012,Mar,0
2012,Apr,9
2012,May,34
2012,Jun,9
2012,Jul,34
2012,Aug,16
2012,Sep,17
2012,Oct,23
2012,Nov,16
2012,Dec,46
2013,Jan,7
2013,Feb,53
2013,Mar,28
2013,Apr,14
2013,May,42
2013,Jun,52
2013,Jul,14
2013,Aug,14
2013,Sep,14
2013,Oct,27
2013,Nov,14
2013,Dec,34
2014,Jan,26
2014,Feb,29
2014,Mar,13
2014,Apr,27
2014,May,7
2014,Jun,32
2014,Jul,31
2014,Aug,15
2014,Sep,66
2014,Oct,14
2014,Nov,38
2014,Dec,59
2015,Jan,21
2015,Feb,23
2015,Mar,57
2015,Apr,22
2015,May,15
2015,Jun,8
2015,Jul,8
2015,Aug,15
2015,Sep,15
2015,Oct,28
2015,Nov,22
2015,Dec,14
2016,Jan,35
2016,Feb,36
2016,Mar,23
2016,Apr,35
2016,May,6
2016,Jun,19
2016,Jul,19
2016,Aug,19
2016,Sep,24
2016,Oct,29
2016,Nov,35
2016,Dec,33
2017,Jan,53
2017,Feb,17
2017,Mar,20
2017,Apr,21
2017,May,39
2017,Jun,12
2017,Jul,29
2017,Aug,16
2017,Sep,27
2017,Oct,21
2017,Nov,32
2017,Dec,16
2018,Jan,51
2018,Feb,22
2018,Mar,10
2018,Apr,16
2018,May,26
2018,Jun,16
2018,Jul,11
2018,Aug,37
2018,Sep,38
2018,Oct,42
2018,Nov,31
2018,Dec,16
2019,Jan,20
2019,Feb,22
2019,Mar,31
2019,Apr,32
2019,May,57
2019,Jun,5
2019,Jul,16
2019,Aug,0
2019,Sep,25
2019,Oct,33
2019,Nov,58
2019,Dec,10
2020,Jan,45
2020,Feb,24
2020,Mar,21
2020,Apr,33
2020,May,37
2020,Jun,13
2020,Jul,31
2020,Aug,44
2020,Sep,39
2020,Oct,49
2020,Nov,39
2020,Dec,29
2021,Jan,33
2021,Feb,43
2021,Mar,38
2021,Apr,35
2021,May,20
2021,Jun,5
2021,Jul,35
2021,Aug,31
2021,Sep,16
2021,Oct,26
2021,Nov,49
2021,Dec,32
2022,Jan,31
2022,Feb,6
2022,Mar,26
