Owner:,RO STEVE
Cname:,INTERVIDEO INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,100
2004,Oct,0
2004,Nov,0
2004,Dec,94
2005,Jan,0
2005,Feb,0
2005,Mar,74
2005,Apr,0
2005,May,76
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,66
2005,Oct,0
2005,Nov,64
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,50
2006,Apr,0
2006,May,49
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,47
2006,Oct,43
2006,Nov,42
2006,Dec,42
2007,Jan,74
2007,Feb,39
2007,Mar,36
2007,Apr,0
2007,May,33
2007,Jun,35
2007,Jul,33
2007,Aug,0
2007,Sep,0
2007,Oct,57
2007,Nov,0
2007,Dec,29
2008,Jan,0
2008,Feb,27
2008,Mar,0
2008,Apr,26
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,26
2008,Sep,48
2008,Oct,22
2008,Nov,0
2008,Dec,72
2009,Jan,45
2009,Feb,24
2009,Mar,86
2009,Apr,0
2009,May,22
2009,Jun,0
2009,Jul,22
2009,Aug,43
2009,Sep,21
2009,Oct,60
2009,Nov,0
2009,Dec,20
2010,Jan,19
2010,Feb,0
2010,Mar,54
2010,Apr,37
2010,May,19
2010,Jun,39
2010,Jul,17
2010,Aug,49
2010,Sep,31
2010,Oct,31
2010,Nov,45
2010,Dec,60
2011,Jan,35
2011,Feb,64
2011,Mar,46
2011,Apr,0
2011,May,46
2011,Jun,36
2011,Jul,23
2011,Aug,66
2011,Sep,0
2011,Oct,72
2011,Nov,63
2011,Dec,40
2012,Jan,75
2012,Feb,38
2012,Mar,27
2012,Apr,38
2012,May,64
2012,Jun,19
2012,Jul,37
2012,Aug,44
2012,Sep,27
2012,Oct,33
2012,Nov,43
2012,Dec,33
2013,Jan,39
2013,Feb,33
2013,Mar,15
2013,Apr,8
2013,May,31
2013,Jun,48
2013,Jul,39
2013,Aug,15
2013,Sep,8
2013,Oct,15
2013,Nov,30
2013,Dec,22
2014,Jan,14
2014,Feb,8
2014,Mar,63
2014,Apr,51
2014,May,54
2014,Jun,35
2014,Jul,25
2014,Aug,16
2014,Sep,24
2014,Oct,23
2014,Nov,16
2014,Dec,56
2015,Jan,54
2015,Feb,33
2015,Mar,31
2015,Apr,48
2015,May,33
2015,Jun,26
2015,Jul,25
2015,Aug,32
2015,Sep,24
2015,Oct,30
2015,Nov,54
2015,Dec,45
2016,Jan,62
2016,Feb,39
2016,Mar,30
2016,Apr,19
2016,May,19
2016,Jun,46
2016,Jul,33
2016,Aug,60
2016,Sep,25
2016,Oct,25
2016,Nov,86
2016,Dec,53
2017,Jan,39
2017,Feb,54
2017,Mar,54
2017,Apr,97
2017,May,35
2017,Jun,69
2017,Jul,31
2017,Aug,58
2017,Sep,34
2017,Oct,34
2017,Nov,68
2017,Dec,40
2018,Jan,43
2018,Feb,24
2018,Mar,81
2018,Apr,50
2018,May,55
2018,Jun,40
2018,Jul,40
2018,Aug,68
2018,Sep,46
2018,Oct,50
2018,Nov,67
2018,Dec,22
2019,Jan,54
2019,Feb,80
2019,Mar,32
2019,Apr,17
2019,May,61
2019,Jun,23
2019,Jul,56
2019,Aug,65
2019,Sep,53
2019,Oct,75
2019,Nov,46
2019,Dec,41
2020,Jan,34
2020,Feb,25
2020,Mar,35
2020,Apr,52
2020,May,35
2020,Jun,28
2020,Jul,52
2020,Aug,74
2020,Sep,37
2020,Oct,68
2020,Nov,57
2020,Dec,57
2021,Jan,60
2021,Feb,23
2021,Mar,55
2021,Apr,59
2021,May,53
2021,Jun,60
2021,Jul,70
2021,Aug,49
2021,Sep,63
2021,Oct,67
2021,Nov,52
2021,Dec,45
2022,Jan,39
2022,Feb,32
2022,Mar,61
