Owner:,ROTH CHRIS
Cname:,PROSPERO GROUP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,35
2004,Feb,52
2004,Mar,22
2004,Apr,34
2004,May,31
2004,Jun,47
2004,Jul,48
2004,Aug,44
2004,Sep,28
2004,Oct,57
2004,Nov,73
2004,Dec,13
2005,Jan,69
2005,Feb,48
2005,Mar,20
2005,Apr,35
2005,May,31
2005,Jun,32
2005,Jul,11
2005,Aug,40
2005,Sep,28
2005,Oct,35
2005,Nov,27
2005,Dec,59
2006,Jan,53
2006,Feb,77
2006,Mar,55
2006,Apr,51
2006,May,61
2006,Jun,14
2006,Jul,28
2006,Aug,39
2006,Sep,32
2006,Oct,36
2006,Nov,23
2006,Dec,35
2007,Jan,26
2007,Feb,11
2007,Mar,69
2007,Apr,60
2007,May,23
2007,Jun,24
2007,Jul,23
2007,Aug,22
2007,Sep,26
2007,Oct,20
2007,Nov,20
2007,Dec,29
2008,Jan,22
2008,Feb,30
2008,Mar,15
2008,Apr,36
2008,May,7
2008,Jun,38
2008,Jul,26
2008,Aug,18
2008,Sep,27
2008,Oct,31
2008,Nov,14
2008,Dec,20
2009,Jan,69
2009,Feb,43
2009,Mar,42
2009,Apr,51
2009,May,46
2009,Jun,40
2009,Jul,46
2009,Aug,48
2009,Sep,41
2009,Oct,28
2009,Nov,26
2009,Dec,36
2010,Jan,37
2010,Feb,47
2010,Mar,38
2010,Apr,50
2010,May,38
2010,Jun,39
2010,Jul,43
2010,Aug,39
2010,Sep,33
2010,Oct,26
2010,Nov,26
2010,Dec,36
2011,Jan,48
2011,Feb,41
2011,Mar,39
2011,Apr,52
2011,May,28
2011,Jun,41
2011,Jul,38
2011,Aug,31
2011,Sep,40
2011,Oct,38
2011,Nov,31
2011,Dec,44
2012,Jan,52
2012,Feb,24
2012,Mar,30
2012,Apr,39
2012,May,32
2012,Jun,30
2012,Jul,34
2012,Aug,44
2012,Sep,16
2012,Oct,29
2012,Nov,25
2012,Dec,22
2013,Jan,28
2013,Feb,46
2013,Mar,30
2013,Apr,29
2013,May,32
2013,Jun,29
2013,Jul,36
2013,Aug,26
2013,Sep,20
2013,Oct,24
2013,Nov,34
2013,Dec,25
2014,Jan,28
2014,Feb,32
2014,Mar,33
2014,Apr,31
2014,May,28
2014,Jun,24
2014,Jul,14
2014,Aug,28
2014,Sep,21
2014,Oct,28
2014,Nov,31
2014,Dec,27
2015,Jan,70
2015,Feb,47
2015,Mar,24
2015,Apr,36
2015,May,34
2015,Jun,28
2015,Jul,23
2015,Aug,34
2015,Sep,25
2015,Oct,24
2015,Nov,22
2015,Dec,22
2016,Jan,27
2016,Feb,100
2016,Mar,29
2016,Apr,30
2016,May,23
2016,Jun,23
2016,Jul,18
2016,Aug,21
2016,Sep,13
2016,Oct,19
2016,Nov,18
2016,Dec,17
2017,Jan,16
2017,Feb,31
2017,Mar,29
2017,Apr,33
2017,May,30
2017,Jun,27
2017,Jul,34
2017,Aug,26
2017,Sep,32
2017,Oct,20
2017,Nov,20
2017,Dec,17
2018,Jan,25
2018,Feb,34
2018,Mar,21
2018,Apr,21
2018,May,20
2018,Jun,21
2018,Jul,17
2018,Aug,25
2018,Sep,22
2018,Oct,21
2018,Nov,16
2018,Dec,22
2019,Jan,28
2019,Feb,23
2019,Mar,30
2019,Apr,30
2019,May,25
2019,Jun,27
2019,Jul,17
2019,Aug,27
2019,Sep,21
2019,Oct,13
2019,Nov,12
2019,Dec,22
2020,Jan,25
2020,Feb,28
2020,Mar,15
2020,Apr,22
2020,May,14
2020,Jun,18
2020,Jul,36
2020,Aug,12
2020,Sep,21
2020,Oct,55
2020,Nov,42
2020,Dec,34
2021,Jan,28
2021,Feb,25
2021,Mar,28
2021,Apr,22
2021,May,14
2021,Jun,16
2021,Jul,18
2021,Aug,23
2021,Sep,28
2021,Oct,12
2021,Nov,26
2021,Dec,38
2022,Jan,13
2022,Feb,29
2022,Mar,31
