Owner:,RUBIN MARC
Cname:,TITAN PHARMACEUTICALS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,62
2004,Feb,0
2004,Mar,77
2004,Apr,59
2004,May,0
2004,Jun,0
2004,Jul,57
2004,Aug,0
2004,Sep,0
2004,Oct,100
2004,Nov,0
2004,Dec,91
2005,Jan,40
2005,Feb,42
2005,Mar,36
2005,Apr,82
2005,May,37
2005,Jun,38
2005,Jul,0
2005,Aug,35
2005,Sep,0
2005,Oct,61
2005,Nov,62
2005,Dec,29
2006,Jan,26
2006,Feb,54
2006,Mar,24
2006,Apr,0
2006,May,24
2006,Jun,25
2006,Jul,25
2006,Aug,23
2006,Sep,0
2006,Oct,41
2006,Nov,62
2006,Dec,21
2007,Jan,72
2007,Feb,0
2007,Mar,0
2007,Apr,17
2007,May,16
2007,Jun,17
2007,Jul,32
2007,Aug,15
2007,Sep,15
2007,Oct,69
2007,Nov,14
2007,Dec,57
2008,Jan,13
2008,Feb,26
2008,Mar,76
2008,Apr,87
2008,May,25
2008,Jun,40
2008,Jul,51
2008,Aug,38
2008,Sep,12
2008,Oct,75
2008,Nov,24
2008,Dec,23
2009,Jan,33
2009,Feb,12
2009,Mar,31
2009,Apr,21
2009,May,54
2009,Jun,44
2009,Jul,21
2009,Aug,42
2009,Sep,31
2009,Oct,29
2009,Nov,50
2009,Dec,29
2010,Jan,19
2010,Feb,10
2010,Mar,18
2010,Apr,9
2010,May,48
2010,Jun,29
2010,Jul,25
2010,Aug,16
2010,Sep,23
2010,Oct,30
2010,Nov,7
2010,Dec,30
2011,Jan,40
2011,Feb,63
2011,Mar,17
2011,Apr,59
2011,May,17
2011,Jun,41
2011,Jul,17
2011,Aug,32
2011,Sep,43
2011,Oct,20
2011,Nov,21
2011,Dec,20
2012,Jan,9
2012,Feb,28
2012,Mar,36
2012,Apr,9
2012,May,27
2012,Jun,23
2012,Jul,36
2012,Aug,17
2012,Sep,22
2012,Oct,20
2012,Nov,21
2012,Dec,16
2013,Jan,27
2013,Feb,28
2013,Mar,18
2013,Apr,30
2013,May,41
2013,Jun,8
2013,Jul,15
2013,Aug,30
2013,Sep,15
2013,Oct,25
2013,Nov,26
2013,Dec,15
2014,Jan,14
2014,Feb,15
2014,Mar,17
2014,Apr,29
2014,May,34
2014,Jun,30
2014,Jul,21
2014,Aug,32
2014,Sep,16
2014,Oct,22
2014,Nov,8
2014,Dec,12
2015,Jan,23
2015,Feb,8
2015,Mar,34
2015,Apr,23
2015,May,8
2015,Jun,29
2015,Jul,37
2015,Aug,24
2015,Sep,15
2015,Oct,26
2015,Nov,15
2015,Dec,15
2016,Jan,28
2016,Feb,26
2016,Mar,37
2016,Apr,32
2016,May,26
2016,Jun,15
2016,Jul,21
2016,Aug,31
2016,Sep,38
2016,Oct,32
2016,Nov,23
2016,Dec,14
2017,Jan,23
2017,Feb,17
2017,Mar,27
2017,Apr,24
2017,May,30
2017,Jun,20
2017,Jul,11
2017,Aug,27
2017,Sep,19
2017,Oct,16
2017,Nov,21
2017,Dec,16
2018,Jan,20
2018,Feb,25
2018,Mar,18
2018,Apr,31
2018,May,10
2018,Jun,21
2018,Jul,19
2018,Aug,13
2018,Sep,5
2018,Oct,72
2018,Nov,10
2018,Dec,16
2019,Jan,15
2019,Feb,11
2019,Mar,15
2019,Apr,21
2019,May,13
2019,Jun,19
2019,Jul,24
2019,Aug,18
2019,Sep,12
2019,Oct,14
2019,Nov,14
2019,Dec,12
2020,Jan,18
2020,Feb,38
2020,Mar,14
2020,Apr,4
2020,May,18
2020,Jun,15
2020,Jul,7
2020,Aug,4
2020,Sep,17
2020,Oct,31
2020,Nov,24
2020,Dec,27
2021,Jan,19
2021,Feb,21
2021,Mar,28
2021,Apr,27
2021,May,17
2021,Jun,5
2021,Jul,28
2021,Aug,20
2021,Sep,8
2021,Oct,5
2021,Nov,13
2021,Dec,13
2022,Jan,10
2022,Feb,24
2022,Mar,26
