Owner:,RYAN WILLIAM JOSEPH
Cname:,BANKNORTH GROUP INC ME
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,100
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,80
2005,Nov,0
2005,Dec,78
2006,Jan,0
2006,Feb,0
2006,Mar,64
2006,Apr,67
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,55
2006,Nov,54
2006,Dec,0
2007,Jan,0
2007,Feb,51
2007,Mar,0
2007,Apr,0
2007,May,43
2007,Jun,45
2007,Jul,43
2007,Aug,0
2007,Sep,0
2007,Oct,37
2007,Nov,37
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,67
2008,Jun,36
2008,Jul,34
2008,Aug,34
2008,Sep,31
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,31
2009,Mar,28
2009,Apr,28
2009,May,0
2009,Jun,0
2009,Jul,57
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,25
2010,Feb,46
2010,Mar,0
2010,Apr,0
2010,May,68
2010,Jun,23
2010,Jul,20
2010,Aug,19
2010,Sep,0
2010,Oct,36
2010,Nov,0
2010,Dec,53
2011,Jan,14
2011,Feb,15
2011,Mar,0
2011,Apr,14
2011,May,54
2011,Jun,42
2011,Jul,55
2011,Aug,26
2011,Sep,26
2011,Oct,12
2011,Nov,37
2011,Dec,47
2012,Jan,0
2012,Feb,22
2012,Mar,11
2012,Apr,11
2012,May,21
2012,Jun,11
2012,Jul,0
2012,Aug,41
2012,Sep,21
2012,Oct,19
2012,Nov,30
2012,Dec,10
2013,Jan,18
2013,Feb,19
2013,Mar,35
2013,Apr,0
2013,May,9
2013,Jun,28
2013,Jul,18
2013,Aug,27
2013,Sep,27
2013,Oct,26
2013,Nov,9
2013,Dec,18
2014,Jan,8
2014,Feb,36
2014,Mar,16
2014,Apr,17
2014,May,27
2014,Jun,10
2014,Jul,20
2014,Aug,0
2014,Sep,0
2014,Oct,9
2014,Nov,38
2014,Dec,28
2015,Jan,36
2015,Feb,0
2015,Mar,36
2015,Apr,19
2015,May,19
2015,Jun,0
2015,Jul,0
2015,Aug,19
2015,Sep,37
2015,Oct,18
2015,Nov,18
2015,Dec,35
2016,Jan,7
2016,Feb,15
2016,Mar,14
2016,Apr,0
2016,May,15
2016,Jun,8
2016,Jul,0
2016,Aug,23
2016,Sep,22
2016,Oct,14
2016,Nov,14
2016,Dec,14
2017,Jan,7
2017,Feb,28
2017,Mar,19
2017,Apr,27
2017,May,27
2017,Jun,15
2017,Jul,7
2017,Aug,21
2017,Sep,0
2017,Oct,13
2017,Nov,33
2017,Dec,27
2018,Jan,0
2018,Feb,7
2018,Mar,13
2018,Apr,13
2018,May,26
2018,Jun,0
2018,Jul,0
2018,Aug,7
2018,Sep,20
2018,Oct,13
2018,Nov,20
2018,Dec,26
2019,Jan,25
2019,Feb,13
2019,Mar,19
2019,Apr,7
2019,May,6
2019,Jun,7
2019,Jul,13
2019,Aug,6
2019,Sep,25
2019,Oct,12
2019,Nov,18
2019,Dec,18
2020,Jan,51
2020,Feb,12
2020,Mar,5
2020,Apr,20
2020,May,26
2020,Jun,11
2020,Jul,11
2020,Aug,49
2020,Sep,27
2020,Oct,12
2020,Nov,0
2020,Dec,12
2021,Jan,12
2021,Feb,20
2021,Mar,24
2021,Apr,13
2021,May,25
2021,Jun,6
2021,Jul,6
2021,Aug,19
2021,Sep,7
2021,Oct,13
2021,Nov,0
2021,Dec,20
2022,Jan,13
2022,Feb,7
2022,Mar,13
