Owner:,SANDERSON MICHAEL
Cname:,BONDS COM GROUP INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,30
2004,Feb,29
2004,Mar,74
2004,Apr,0
2004,May,26
2004,Jun,53
2004,Jul,27
2004,Aug,97
2004,Sep,23
2004,Oct,48
2004,Nov,24
2004,Dec,22
2005,Jan,57
2005,Feb,20
2005,Mar,34
2005,Apr,20
2005,May,0
2005,Jun,36
2005,Jul,0
2005,Aug,100
2005,Sep,0
2005,Oct,43
2005,Nov,15
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,46
2006,Apr,24
2006,May,34
2006,Jun,12
2006,Jul,35
2006,Aug,32
2006,Sep,0
2006,Oct,20
2006,Nov,29
2006,Dec,69
2007,Jan,9
2007,Feb,18
2007,Mar,25
2007,Apr,17
2007,May,15
2007,Jun,0
2007,Jul,8
2007,Aug,37
2007,Sep,15
2007,Oct,40
2007,Nov,33
2007,Dec,27
2008,Jan,6
2008,Feb,6
2008,Mar,6
2008,Apr,6
2008,May,42
2008,Jun,26
2008,Jul,18
2008,Aug,24
2008,Sep,0
2008,Oct,10
2008,Nov,17
2008,Dec,0
2009,Jan,37
2009,Feb,22
2009,Mar,25
2009,Apr,15
2009,May,31
2009,Jun,16
2009,Jul,41
2009,Aug,15
2009,Sep,24
2009,Oct,32
2009,Nov,33
2009,Dec,28
2010,Jan,22
2010,Feb,30
2010,Mar,27
2010,Apr,9
2010,May,15
2010,Jun,25
2010,Jul,4
2010,Aug,12
2010,Sep,12
2010,Oct,12
2010,Nov,8
2010,Dec,0
2011,Jan,12
2011,Feb,13
2011,Mar,20
2011,Apr,12
2011,May,6
2011,Jun,0
2011,Jul,21
2011,Aug,17
2011,Sep,19
2011,Oct,23
2011,Nov,21
2011,Dec,3
2012,Jan,19
2012,Feb,12
2012,Mar,14
2012,Apr,7
2012,May,16
2012,Jun,12
2012,Jul,14
2012,Aug,24
2012,Sep,27
2012,Oct,13
2012,Nov,19
2012,Dec,15
2013,Jan,19
2013,Feb,17
2013,Mar,6
2013,Apr,12
2013,May,17
2013,Jun,8
2013,Jul,16
2013,Aug,8
2013,Sep,11
2013,Oct,5
2013,Nov,19
2013,Dec,9
2014,Jan,13
2014,Feb,21
2014,Mar,11
2014,Apr,15
2014,May,14
2014,Jun,20
2014,Jul,11
2014,Aug,6
2014,Sep,22
2014,Oct,15
2014,Nov,27
2014,Dec,24
2015,Jan,14
2015,Feb,16
2015,Mar,18
2015,Apr,10
2015,May,6
2015,Jun,24
2015,Jul,17
2015,Aug,14
2015,Sep,20
2015,Oct,13
2015,Nov,22
2015,Dec,8
2016,Jan,14
2016,Feb,16
2016,Mar,18
2016,Apr,22
2016,May,25
2016,Jun,14
2016,Jul,21
2016,Aug,23
2016,Sep,29
2016,Oct,24
2016,Nov,18
2016,Dec,16
2017,Jan,21
2017,Feb,12
2017,Mar,19
2017,Apr,25
2017,May,7
2017,Jun,13
2017,Jul,19
2017,Aug,18
2017,Sep,11
2017,Oct,12
2017,Nov,13
2017,Dec,17
2018,Jan,10
2018,Feb,20
2018,Mar,13
2018,Apr,16
2018,May,8
2018,Jun,12
2018,Jul,7
2018,Aug,22
2018,Sep,21
2018,Oct,17
2018,Nov,12
2018,Dec,10
2019,Jan,17
2019,Feb,17
2019,Mar,18
2019,Apr,18
2019,May,15
2019,Jun,12
2019,Jul,21
2019,Aug,19
2019,Sep,18
2019,Oct,17
2019,Nov,12
2019,Dec,5
2020,Jan,17
2020,Feb,19
2020,Mar,7
2020,Apr,13
2020,May,9
2020,Jun,13
2020,Jul,25
2020,Aug,12
2020,Sep,19
2020,Oct,21
2020,Nov,17
2020,Dec,13
2021,Jan,8
2021,Feb,9
2021,Mar,15
2021,Apr,2
2021,May,12
2021,Jun,15
2021,Jul,11
2021,Aug,10
2021,Sep,11
2021,Oct,25
2021,Nov,12
2021,Dec,12
2022,Jan,17
2022,Feb,4
2022,Mar,14
