Owner:,SHAH PRATIK
Cname:,AUSPEX PHARMACEUTICALS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,74
2004,Jul,76
2004,Aug,69
2004,Sep,0
2004,Oct,67
2004,Nov,0
2004,Dec,62
2005,Jan,0
2005,Feb,0
2005,Mar,48
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,100
2005,Aug,94
2005,Sep,0
2005,Oct,0
2005,Nov,42
2005,Dec,40
2006,Jan,35
2006,Feb,0
2006,Mar,33
2006,Apr,0
2006,May,0
2006,Jun,68
2006,Jul,33
2006,Aug,0
2006,Sep,31
2006,Oct,56
2006,Nov,0
2006,Dec,28
2007,Jan,49
2007,Feb,26
2007,Mar,23
2007,Apr,47
2007,May,0
2007,Jun,92
2007,Jul,0
2007,Aug,21
2007,Sep,0
2007,Oct,19
2007,Nov,37
2007,Dec,0
2008,Jan,17
2008,Feb,18
2008,Mar,0
2008,Apr,34
2008,May,0
2008,Jun,0
2008,Jul,17
2008,Aug,17
2008,Sep,16
2008,Oct,14
2008,Nov,16
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,42
2009,Apr,14
2009,May,14
2009,Jun,29
2009,Jul,29
2009,Aug,28
2009,Sep,0
2009,Oct,52
2009,Nov,27
2009,Dec,13
2010,Jan,25
2010,Feb,51
2010,Mar,47
2010,Apr,12
2010,May,0
2010,Jun,51
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,20
2010,Nov,49
2010,Dec,10
2011,Jan,15
2011,Feb,0
2011,Mar,7
2011,Apr,31
2011,May,30
2011,Jun,8
2011,Jul,38
2011,Aug,7
2011,Sep,36
2011,Oct,13
2011,Nov,14
2011,Dec,26
2012,Jan,6
2012,Feb,6
2012,Mar,18
2012,Apr,19
2012,May,30
2012,Jun,12
2012,Jul,12
2012,Aug,17
2012,Sep,6
2012,Oct,16
2012,Nov,6
2012,Dec,16
2013,Jan,20
2013,Feb,5
2013,Mar,15
2013,Apr,15
2013,May,20
2013,Jun,16
2013,Jul,20
2013,Aug,30
2013,Sep,30
2013,Oct,29
2013,Nov,20
2013,Dec,24
2014,Jan,19
2014,Feb,10
2014,Mar,37
2014,Apr,47
2014,May,20
2014,Jun,28
2014,Jul,22
2014,Aug,16
2014,Sep,31
2014,Oct,20
2014,Nov,11
2014,Dec,31
2015,Jan,20
2015,Feb,16
2015,Mar,10
2015,Apr,21
2015,May,21
2015,Jun,28
2015,Jul,27
2015,Aug,32
2015,Sep,36
2015,Oct,39
2015,Nov,41
2015,Dec,10
2016,Jan,8
2016,Feb,34
2016,Mar,32
2016,Apr,45
2016,May,37
2016,Jun,17
2016,Jul,9
2016,Aug,26
2016,Sep,8
2016,Oct,12
2016,Nov,36
2016,Dec,23
2017,Jan,15
2017,Feb,23
2017,Mar,11
2017,Apr,7
2017,May,19
2017,Jun,37
2017,Jul,32
2017,Aug,8
2017,Sep,23
2017,Oct,29
2017,Nov,7
2017,Dec,15
2018,Jan,11
2018,Feb,31
2018,Mar,28
2018,Apr,7
2018,May,29
2018,Jun,19
2018,Jul,23
2018,Aug,26
2018,Sep,23
2018,Oct,11
2018,Nov,7
2018,Dec,30
2019,Jan,32
2019,Feb,8
2019,Mar,28
2019,Apr,15
2019,May,14
2019,Jun,19
2019,Jul,22
2019,Aug,39
2019,Sep,14
2019,Oct,20
2019,Nov,24
2019,Dec,24
2020,Jan,19
2020,Feb,3
2020,Mar,9
2020,Apr,20
2020,May,11
2020,Jun,9
2020,Jul,22
2020,Aug,12
2020,Sep,27
2020,Oct,10
2020,Nov,3
2020,Dec,7
2021,Jan,10
2021,Feb,19
2021,Mar,20
2021,Apr,14
2021,May,10
2021,Jun,11
2021,Jul,14
2021,Aug,14
2021,Sep,0
2021,Oct,26
2021,Nov,11
2021,Dec,19
2022,Jan,26
2022,Feb,13
2022,Mar,33
