Owner:,SLATER DAVID
Cname:,DT MIDSTREAM INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,27
2004,Mar,51
2004,Apr,26
2004,May,47
2004,Jun,36
2004,Jul,12
2004,Aug,11
2004,Sep,21
2004,Oct,55
2004,Nov,56
2004,Dec,20
2005,Jan,26
2005,Feb,37
2005,Mar,31
2005,Apr,9
2005,May,8
2005,Jun,33
2005,Jul,33
2005,Aug,46
2005,Sep,14
2005,Oct,33
2005,Nov,48
2005,Dec,45
2006,Jan,23
2006,Feb,48
2006,Mar,53
2006,Apr,11
2006,May,32
2006,Jun,28
2006,Jul,11
2006,Aug,30
2006,Sep,30
2006,Oct,18
2006,Nov,18
2006,Dec,27
2007,Jan,56
2007,Feb,13
2007,Mar,23
2007,Apr,23
2007,May,28
2007,Jun,22
2007,Jul,21
2007,Aug,20
2007,Sep,40
2007,Oct,12
2007,Nov,21
2007,Dec,13
2008,Jan,11
2008,Feb,23
2008,Mar,6
2008,Apr,16
2008,May,14
2008,Jun,24
2008,Jul,34
2008,Aug,19
2008,Sep,18
2008,Oct,21
2008,Nov,26
2008,Dec,36
2009,Jan,22
2009,Feb,18
2009,Mar,41
2009,Apr,30
2009,May,17
2009,Jun,31
2009,Jul,31
2009,Aug,55
2009,Sep,42
2009,Oct,28
2009,Nov,26
2009,Dec,23
2010,Jan,22
2010,Feb,25
2010,Mar,19
2010,Apr,20
2010,May,25
2010,Jun,23
2010,Jul,16
2010,Aug,47
2010,Sep,30
2010,Oct,21
2010,Nov,27
2010,Dec,30
2011,Jan,23
2011,Feb,11
2011,Mar,23
2011,Apr,31
2011,May,22
2011,Jun,17
2011,Jul,100
2011,Aug,27
2011,Sep,22
2011,Oct,17
2011,Nov,17
2011,Dec,21
2012,Jan,21
2012,Feb,17
2012,Mar,28
2012,Apr,14
2012,May,15
2012,Jun,7
2012,Jul,18
2012,Aug,19
2012,Sep,20
2012,Oct,19
2012,Nov,16
2012,Dec,16
2013,Jan,18
2013,Feb,20
2013,Mar,33
2013,Apr,18
2013,May,25
2013,Jun,19
2013,Jul,22
2013,Aug,21
2013,Sep,23
2013,Oct,13
2013,Nov,25
2013,Dec,13
2014,Jan,23
2014,Feb,16
2014,Mar,30
2014,Apr,23
2014,May,13
2014,Jun,20
2014,Jul,24
2014,Aug,61
2014,Sep,20
2014,Oct,19
2014,Nov,18
2014,Dec,23
2015,Jan,23
2015,Feb,21
2015,Mar,19
2015,Apr,22
2015,May,19
2015,Jun,13
2015,Jul,14
2015,Aug,10
2015,Sep,19
2015,Oct,15
2015,Nov,24
2015,Dec,19
2016,Jan,31
2016,Feb,21
2016,Mar,17
2016,Apr,23
2016,May,22
2016,Jun,15
2016,Jul,16
2016,Aug,13
2016,Sep,21
2016,Oct,24
2016,Nov,19
2016,Dec,16
2017,Jan,15
2017,Feb,13
2017,Mar,21
2017,Apr,15
2017,May,25
2017,Jun,14
2017,Jul,20
2017,Aug,15
2017,Sep,21
2017,Oct,20
2017,Nov,52
2017,Dec,16
2018,Jan,17
2018,Feb,10
2018,Mar,18
2018,Apr,28
2018,May,17
2018,Jun,13
2018,Jul,14
2018,Aug,13
2018,Sep,19
2018,Oct,13
2018,Nov,17
2018,Dec,13
2019,Jan,15
2019,Feb,18
2019,Mar,17
2019,Apr,15
2019,May,21
2019,Jun,15
2019,Jul,14
2019,Aug,12
2019,Sep,13
2019,Oct,13
2019,Nov,19
2019,Dec,20
2020,Jan,19
2020,Feb,15
2020,Mar,12
2020,Apr,19
2020,May,20
2020,Jun,17
2020,Jul,14
2020,Aug,14
2020,Sep,17
2020,Oct,12
2020,Nov,17
2020,Dec,13
2021,Jan,13
2021,Feb,17
2021,Mar,12
2021,Apr,11
2021,May,15
2021,Jun,15
2021,Jul,14
2021,Aug,12
2021,Sep,9
2021,Oct,13
2021,Nov,7
2021,Dec,11
2022,Jan,12
2022,Feb,16
2022,Mar,19
