Owner:,SMITH JAMES MICHAEL
Cname:,EDO CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,82
2004,Feb,40
2004,Mar,77
2004,Apr,59
2004,May,71
2004,Jun,36
2004,Jul,38
2004,Aug,85
2004,Sep,32
2004,Oct,50
2004,Nov,34
2004,Dec,76
2005,Jan,93
2005,Feb,70
2005,Mar,83
2005,Apr,41
2005,May,24
2005,Jun,100
2005,Jul,12
2005,Aug,46
2005,Sep,54
2005,Oct,40
2005,Nov,31
2005,Dec,20
2006,Jan,44
2006,Feb,54
2006,Mar,48
2006,Apr,25
2006,May,55
2006,Jun,25
2006,Jul,49
2006,Aug,52
2006,Sep,30
2006,Oct,62
2006,Nov,20
2006,Dec,21
2007,Jan,48
2007,Feb,32
2007,Mar,57
2007,Apr,58
2007,May,43
2007,Jun,40
2007,Jul,75
2007,Aug,41
2007,Sep,36
2007,Oct,37
2007,Nov,37
2007,Dec,43
2008,Jan,58
2008,Feb,60
2008,Mar,51
2008,Apr,29
2008,May,38
2008,Jun,31
2008,Jul,21
2008,Aug,34
2008,Sep,31
2008,Oct,46
2008,Nov,39
2008,Dec,27
2009,Jan,40
2009,Feb,27
2009,Mar,24
2009,Apr,39
2009,May,39
2009,Jun,29
2009,Jul,43
2009,Aug,56
2009,Sep,40
2009,Oct,45
2009,Nov,30
2009,Dec,32
2010,Jan,18
2010,Feb,48
2010,Mar,44
2010,Apr,43
2010,May,38
2010,Jun,42
2010,Jul,31
2010,Aug,21
2010,Sep,33
2010,Oct,36
2010,Nov,27
2010,Dec,25
2011,Jan,35
2011,Feb,25
2011,Mar,26
2011,Apr,37
2011,May,44
2011,Jun,33
2011,Jul,35
2011,Aug,25
2011,Sep,29
2011,Oct,30
2011,Nov,34
2011,Dec,36
2012,Jan,42
2012,Feb,45
2012,Mar,28
2012,Apr,38
2012,May,57
2012,Jun,48
2012,Jul,46
2012,Aug,33
2012,Sep,38
2012,Oct,48
2012,Nov,39
2012,Dec,27
2013,Jan,43
2013,Feb,56
2013,Mar,32
2013,Apr,52
2013,May,43
2013,Jun,39
2013,Jul,41
2013,Aug,38
2013,Sep,41
2013,Oct,27
2013,Nov,36
2013,Dec,32
2014,Jan,40
2014,Feb,35
2014,Mar,38
2014,Apr,38
2014,May,38
2014,Jun,45
2014,Jul,50
2014,Aug,26
2014,Sep,38
2014,Oct,35
2014,Nov,32
2014,Dec,20
2015,Jan,28
2015,Feb,36
2015,Mar,29
2015,Apr,43
2015,May,43
2015,Jun,50
2015,Jul,29
2015,Aug,28
2015,Sep,47
2015,Oct,27
2015,Nov,28
2015,Dec,32
2016,Jan,41
2016,Feb,39
2016,Mar,38
2016,Apr,32
2016,May,36
2016,Jun,60
2016,Jul,35
2016,Aug,31
2016,Sep,40
2016,Oct,36
2016,Nov,47
2016,Dec,51
2017,Jan,83
2017,Feb,61
2017,Mar,55
2017,Apr,36
2017,May,42
2017,Jun,52
2017,Jul,39
2017,Aug,35
2017,Sep,35
2017,Oct,36
2017,Nov,40
2017,Dec,33
2018,Jan,44
2018,Feb,44
2018,Mar,46
2018,Apr,46
2018,May,54
2018,Jun,72
2018,Jul,51
2018,Aug,58
2018,Sep,33
2018,Oct,39
2018,Nov,44
2018,Dec,52
2019,Jan,41
2019,Feb,51
2019,Mar,38
2019,Apr,31
2019,May,53
2019,Jun,22
2019,Jul,26
2019,Aug,35
2019,Sep,28
2019,Oct,35
2019,Nov,40
2019,Dec,25
2020,Jan,48
2020,Feb,44
2020,Mar,31
2020,Apr,46
2020,May,45
2020,Jun,33
2020,Jul,40
2020,Aug,43
2020,Sep,32
2020,Oct,45
2020,Nov,34
2020,Dec,43
2021,Jan,32
2021,Feb,43
2021,Mar,41
2021,Apr,28
2021,May,25
2021,Jun,35
2021,Jul,37
2021,Aug,31
2021,Sep,36
2021,Oct,39
2021,Nov,33
2021,Dec,27
2022,Jan,32
2022,Feb,24
2022,Mar,39
