Owner:,SO JONATHAN
Cname:,PACKITGREEN HOLDINGS CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,12
2004,Feb,11
2004,Mar,14
2004,Apr,0
2004,May,20
2004,Jun,10
2004,Jul,21
2004,Aug,10
2004,Sep,27
2004,Oct,9
2004,Nov,19
2004,Dec,9
2005,Jan,38
2005,Feb,16
2005,Mar,47
2005,Apr,0
2005,May,28
2005,Jun,21
2005,Jul,21
2005,Aug,7
2005,Sep,0
2005,Oct,45
2005,Nov,29
2005,Dec,17
2006,Jan,20
2006,Feb,10
2006,Mar,18
2006,Apr,10
2006,May,9
2006,Jun,38
2006,Jul,14
2006,Aug,21
2006,Sep,21
2006,Oct,4
2006,Nov,12
2006,Dec,23
2007,Jan,7
2007,Feb,7
2007,Mar,10
2007,Apr,16
2007,May,15
2007,Jun,10
2007,Jul,12
2007,Aug,29
2007,Sep,3
2007,Oct,18
2007,Nov,16
2007,Dec,13
2008,Jan,12
2008,Feb,10
2008,Mar,26
2008,Apr,16
2008,May,28
2008,Jun,20
2008,Jul,19
2008,Aug,17
2008,Sep,15
2008,Oct,30
2008,Nov,9
2008,Dec,7
2009,Jan,23
2009,Feb,13
2009,Mar,25
2009,Apr,18
2009,May,18
2009,Jun,100
2009,Jul,28
2009,Aug,22
2009,Sep,19
2009,Oct,20
2009,Nov,19
2009,Dec,29
2010,Jan,16
2010,Feb,18
2010,Mar,16
2010,Apr,19
2010,May,30
2010,Jun,21
2010,Jul,29
2010,Aug,19
2010,Sep,23
2010,Oct,21
2010,Nov,22
2010,Dec,16
2011,Jan,18
2011,Feb,10
2011,Mar,26
2011,Apr,24
2011,May,16
2011,Jun,22
2011,Jul,37
2011,Aug,20
2011,Sep,23
2011,Oct,20
2011,Nov,28
2011,Dec,17
2012,Jan,21
2012,Feb,29
2012,Mar,20
2012,Apr,18
2012,May,22
2012,Jun,30
2012,Jul,19
2012,Aug,24
2012,Sep,15
2012,Oct,26
2012,Nov,25
2012,Dec,12
2013,Jan,19
2013,Feb,29
2013,Mar,22
2013,Apr,20
2013,May,24
2013,Jun,26
2013,Jul,21
2013,Aug,31
2013,Sep,23
2013,Oct,19
2013,Nov,22
2013,Dec,17
2014,Jan,19
2014,Feb,23
2014,Mar,24
2014,Apr,20
2014,May,25
2014,Jun,24
2014,Jul,26
2014,Aug,34
2014,Sep,33
2014,Oct,25
2014,Nov,18
2014,Dec,25
2015,Jan,16
2015,Feb,24
2015,Mar,24
2015,Apr,25
2015,May,20
2015,Jun,19
2015,Jul,24
2015,Aug,22
2015,Sep,20
2015,Oct,24
2015,Nov,16
2015,Dec,23
2016,Jan,27
2016,Feb,33
2016,Mar,31
2016,Apr,30
2016,May,28
2016,Jun,33
2016,Jul,31
2016,Aug,16
2016,Sep,30
2016,Oct,30
2016,Nov,27
2016,Dec,30
2017,Jan,23
2017,Feb,25
2017,Mar,21
2017,Apr,27
2017,May,32
2017,Jun,32
2017,Jul,38
2017,Aug,33
2017,Sep,29
2017,Oct,38
2017,Nov,29
2017,Dec,25
2018,Jan,19
2018,Feb,27
2018,Mar,30
2018,Apr,24
2018,May,28
2018,Jun,21
2018,Jul,32
2018,Aug,33
2018,Sep,33
2018,Oct,33
2018,Nov,22
2018,Dec,25
2019,Jan,31
2019,Feb,26
2019,Mar,31
2019,Apr,25
2019,May,24
2019,Jun,25
2019,Jul,18
2019,Aug,26
2019,Sep,33
2019,Oct,26
2019,Nov,30
2019,Dec,26
2020,Jan,34
2020,Feb,29
2020,Mar,32
2020,Apr,30
2020,May,33
2020,Jun,32
2020,Jul,30
2020,Aug,33
2020,Sep,41
2020,Oct,34
2020,Nov,33
2020,Dec,33
2021,Jan,27
2021,Feb,29
2021,Mar,32
2021,Apr,33
2021,May,41
2021,Jun,23
2021,Jul,21
2021,Aug,24
2021,Sep,26
2021,Oct,37
2021,Nov,32
2021,Dec,26
2022,Jan,24
2022,Feb,38
2022,Mar,33
