Owner:,STAPLES SCOTT
Cname:,FIRST ADVANTAGE CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,20
2004,Feb,38
2004,Mar,25
2004,Apr,0
2004,May,34
2004,Jun,17
2004,Jul,0
2004,Aug,48
2004,Sep,31
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,25
2005,Feb,0
2005,Mar,11
2005,Apr,0
2005,May,12
2005,Jun,24
2005,Jul,35
2005,Aug,33
2005,Sep,0
2005,Oct,0
2005,Nov,39
2005,Dec,0
2006,Jan,0
2006,Feb,26
2006,Mar,8
2006,Apr,8
2006,May,15
2006,Jun,8
2006,Jul,16
2006,Aug,14
2006,Sep,14
2006,Oct,7
2006,Nov,33
2006,Dec,13
2007,Jan,34
2007,Feb,12
2007,Mar,11
2007,Apr,17
2007,May,15
2007,Jun,5
2007,Jul,5
2007,Aug,19
2007,Sep,15
2007,Oct,26
2007,Nov,35
2007,Dec,32
2008,Jan,16
2008,Feb,25
2008,Mar,8
2008,Apr,28
2008,May,8
2008,Jun,25
2008,Jul,24
2008,Aug,20
2008,Sep,15
2008,Oct,17
2008,Nov,23
2008,Dec,22
2009,Jan,24
2009,Feb,15
2009,Mar,7
2009,Apr,17
2009,May,14
2009,Jun,17
2009,Jul,14
2009,Aug,10
2009,Sep,19
2009,Oct,15
2009,Nov,19
2009,Dec,12
2010,Jan,15
2010,Feb,13
2010,Mar,18
2010,Apr,19
2010,May,19
2010,Jun,33
2010,Jul,8
2010,Aug,24
2010,Sep,65
2010,Oct,62
2010,Nov,40
2010,Dec,25
2011,Jan,37
2011,Feb,23
2011,Mar,25
2011,Apr,40
2011,May,17
2011,Jun,18
2011,Jul,27
2011,Aug,35
2011,Sep,24
2011,Oct,24
2011,Nov,21
2011,Dec,23
2012,Jan,13
2012,Feb,16
2012,Mar,17
2012,Apr,11
2012,May,24
2012,Jun,22
2012,Jul,15
2012,Aug,27
2012,Sep,25
2012,Oct,19
2012,Nov,24
2012,Dec,12
2013,Jan,23
2013,Feb,17
2013,Mar,16
2013,Apr,21
2013,May,22
2013,Jun,17
2013,Jul,14
2013,Aug,22
2013,Sep,14
2013,Oct,23
2013,Nov,20
2013,Dec,17
2014,Jan,23
2014,Feb,17
2014,Mar,20
2014,Apr,18
2014,May,23
2014,Jun,16
2014,Jul,25
2014,Aug,22
2014,Sep,19
2014,Oct,26
2014,Nov,15
2014,Dec,17
2015,Jan,24
2015,Feb,18
2015,Mar,14
2015,Apr,13
2015,May,15
2015,Jun,34
2015,Jul,57
2015,Aug,27
2015,Sep,22
2015,Oct,17
2015,Nov,22
2015,Dec,21
2016,Jan,33
2016,Feb,27
2016,Mar,26
2016,Apr,24
2016,May,13
2016,Jun,19
2016,Jul,14
2016,Aug,29
2016,Sep,42
2016,Oct,19
2016,Nov,17
2016,Dec,19
2017,Jan,23
2017,Feb,24
2017,Mar,22
2017,Apr,27
2017,May,24
2017,Jun,33
2017,Jul,31
2017,Aug,32
2017,Sep,20
2017,Oct,15
2017,Nov,13
2017,Dec,11
2018,Jan,21
2018,Feb,25
2018,Mar,19
2018,Apr,8
2018,May,21
2018,Jun,14
2018,Jul,14
2018,Aug,14
2018,Sep,15
2018,Oct,15
2018,Nov,24
2018,Dec,18
2019,Jan,12
2019,Feb,22
2019,Mar,14
2019,Apr,9
2019,May,20
2019,Jun,17
2019,Jul,17
2019,Aug,20
2019,Sep,14
2019,Oct,12
2019,Nov,26
2019,Dec,11
2020,Jan,13
2020,Feb,11
2020,Mar,100
2020,Apr,69
2020,May,25
2020,Jun,17
2020,Jul,13
2020,Aug,19
2020,Sep,16
2020,Oct,10
2020,Nov,20
2020,Dec,13
2021,Jan,16
2021,Feb,10
2021,Mar,5
2021,Apr,17
2021,May,6
2021,Jun,11
2021,Jul,13
2021,Aug,8
2021,Sep,11
2021,Oct,8
2021,Nov,21
2021,Dec,19
2022,Jan,9
2022,Feb,13
2022,Mar,8
