Owner:,STONE CHRISTOPHER
Cname:,NOVELL INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,60
2004,Feb,73
2004,Mar,75
2004,Apr,100
2004,May,52
2004,Jun,80
2004,Jul,82
2004,Aug,25
2004,Sep,47
2004,Oct,49
2004,Nov,75
2004,Dec,100
2005,Jan,87
2005,Feb,31
2005,Mar,17
2005,Apr,20
2005,May,54
2005,Jun,73
2005,Jul,90
2005,Aug,51
2005,Sep,16
2005,Oct,37
2005,Nov,60
2005,Dec,43
2006,Jan,45
2006,Feb,46
2006,Mar,94
2006,Apr,55
2006,May,46
2006,Jun,49
2006,Jul,78
2006,Aug,77
2006,Sep,39
2006,Oct,65
2006,Nov,55
2006,Dec,60
2007,Jan,35
2007,Feb,37
2007,Mar,38
2007,Apr,72
2007,May,55
2007,Jun,70
2007,Jul,43
2007,Aug,63
2007,Sep,67
2007,Oct,64
2007,Nov,57
2007,Dec,45
2008,Jan,73
2008,Feb,38
2008,Mar,68
2008,Apr,42
2008,May,80
2008,Jun,49
2008,Jul,59
2008,Aug,43
2008,Sep,34
2008,Oct,68
2008,Nov,43
2008,Dec,65
2009,Jan,40
2009,Feb,42
2009,Mar,46
2009,Apr,44
2009,May,44
2009,Jun,66
2009,Jul,44
2009,Aug,36
2009,Sep,49
2009,Oct,33
2009,Nov,51
2009,Dec,28
2010,Jan,56
2010,Feb,37
2010,Mar,46
2010,Apr,68
2010,May,55
2010,Jun,58
2010,Jul,76
2010,Aug,63
2010,Sep,74
2010,Oct,40
2010,Nov,32
2010,Dec,39
2011,Jan,60
2011,Feb,54
2011,Mar,55
2011,Apr,76
2011,May,57
2011,Jun,48
2011,Jul,48
2011,Aug,50
2011,Sep,47
2011,Oct,64
2011,Nov,57
2011,Dec,68
2012,Jan,51
2012,Feb,97
2012,Mar,52
2012,Apr,53
2012,May,54
2012,Jun,62
2012,Jul,60
2012,Aug,61
2012,Sep,43
2012,Oct,47
2012,Nov,40
2012,Dec,42
2013,Jan,46
2013,Feb,54
2013,Mar,58
2013,Apr,53
2013,May,51
2013,Jun,48
2013,Jul,43
2013,Aug,38
2013,Sep,38
2013,Oct,43
2013,Nov,30
2013,Dec,48
2014,Jan,49
2014,Feb,39
2014,Mar,57
2014,Apr,46
2014,May,51
2014,Jun,46
2014,Jul,56
2014,Aug,35
2014,Sep,51
2014,Oct,49
2014,Nov,58
2014,Dec,37
2015,Jan,51
2015,Feb,48
2015,Mar,36
2015,Apr,61
2015,May,56
2015,Jun,49
2015,Jul,37
2015,Aug,37
2015,Sep,46
2015,Oct,46
2015,Nov,40
2015,Dec,53
2016,Jan,41
2016,Feb,44
2016,Mar,40
2016,Apr,53
2016,May,45
2016,Jun,41
2016,Jul,40
2016,Aug,36
2016,Sep,39
2016,Oct,43
2016,Nov,42
2016,Dec,37
2017,Jan,42
2017,Feb,41
2017,Mar,30
2017,Apr,45
2017,May,41
2017,Jun,41
2017,Jul,40
2017,Aug,31
2017,Sep,43
2017,Oct,45
2017,Nov,32
2017,Dec,37
2018,Jan,44
2018,Feb,43
2018,Mar,55
2018,Apr,39
2018,May,55
2018,Jun,37
2018,Jul,38
2018,Aug,57
2018,Sep,38
2018,Oct,42
2018,Nov,43
2018,Dec,45
2019,Jan,44
2019,Feb,36
2019,Mar,37
2019,Apr,30
2019,May,37
2019,Jun,36
2019,Jul,44
2019,Aug,34
2019,Sep,40
2019,Oct,41
2019,Nov,41
2019,Dec,31
2020,Jan,33
2020,Feb,31
2020,Mar,36
2020,Apr,37
2020,May,41
2020,Jun,35
2020,Jul,44
2020,Aug,47
2020,Sep,42
2020,Oct,37
2020,Nov,30
2020,Dec,43
2021,Jan,40
2021,Feb,43
2021,Mar,36
2021,Apr,33
2021,May,41
2021,Jun,38
2021,Jul,40
2021,Aug,36
2021,Sep,61
2021,Oct,67
2021,Nov,50
2021,Dec,48
2022,Jan,44
2022,Feb,50
2022,Mar,36
