Owner:,THOMAS DAVID M
Cname:,IMS HEALTH INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,50
2004,Mar,0
2004,Apr,48
2004,May,0
2004,Jun,23
2004,Jul,23
2004,Aug,21
2004,Sep,20
2004,Oct,82
2004,Nov,21
2004,Dec,19
2005,Jan,16
2005,Feb,0
2005,Mar,15
2005,Apr,34
2005,May,30
2005,Jun,31
2005,Jul,31
2005,Aug,29
2005,Sep,40
2005,Oct,62
2005,Nov,0
2005,Dec,12
2006,Jan,43
2006,Feb,22
2006,Mar,50
2006,Apr,31
2006,May,39
2006,Jun,10
2006,Jul,10
2006,Aug,28
2006,Sep,28
2006,Oct,26
2006,Nov,42
2006,Dec,0
2007,Jan,37
2007,Feb,8
2007,Mar,0
2007,Apr,36
2007,May,40
2007,Jun,7
2007,Jul,20
2007,Aug,13
2007,Sep,13
2007,Oct,28
2007,Nov,23
2007,Dec,6
2008,Jan,41
2008,Feb,16
2008,Mar,10
2008,Apr,21
2008,May,21
2008,Jun,11
2008,Jul,11
2008,Aug,10
2008,Sep,24
2008,Oct,4
2008,Nov,20
2008,Dec,14
2009,Jan,36
2009,Feb,24
2009,Mar,30
2009,Apr,26
2009,May,18
2009,Jun,18
2009,Jul,13
2009,Aug,26
2009,Sep,4
2009,Oct,24
2009,Nov,4
2009,Dec,24
2010,Jan,15
2010,Feb,16
2010,Mar,18
2010,Apr,26
2010,May,16
2010,Jun,4
2010,Jul,17
2010,Aug,26
2010,Sep,19
2010,Oct,19
2010,Nov,12
2010,Dec,6
2011,Jan,7
2011,Feb,18
2011,Mar,7
2011,Apr,7
2011,May,16
2011,Jun,17
2011,Jul,12
2011,Aug,13
2011,Sep,7
2011,Oct,14
2011,Nov,8
2011,Dec,24
2012,Jan,8
2012,Feb,19
2012,Mar,22
2012,Apr,14
2012,May,24
2012,Jun,13
2012,Jul,26
2012,Aug,21
2012,Sep,7
2012,Oct,18
2012,Nov,21
2012,Dec,13
2013,Jan,5
2013,Feb,15
2013,Mar,20
2013,Apr,14
2013,May,12
2013,Jun,16
2013,Jul,16
2013,Aug,11
2013,Sep,6
2013,Oct,18
2013,Nov,6
2013,Dec,12
2014,Jan,22
2014,Feb,9
2014,Mar,10
2014,Apr,21
2014,May,20
2014,Jun,16
2014,Jul,8
2014,Aug,25
2014,Sep,16
2014,Oct,26
2014,Nov,25
2014,Dec,11
2015,Jan,12
2015,Feb,13
2015,Mar,14
2015,Apr,18
2015,May,17
2015,Jun,12
2015,Jul,18
2015,Aug,10
2015,Sep,13
2015,Oct,20
2015,Nov,8
2015,Dec,6
2016,Jan,9
2016,Feb,17
2016,Mar,11
2016,Apr,15
2016,May,13
2016,Jun,11
2016,Jul,8
2016,Aug,11
2016,Sep,13
2016,Oct,15
2016,Nov,15
2016,Dec,6
2017,Jan,8
2017,Feb,8
2017,Mar,12
2017,Apr,9
2017,May,5
2017,Jun,6
2017,Jul,10
2017,Aug,14
2017,Sep,19
2017,Oct,14
2017,Nov,7
2017,Dec,5
2018,Jan,19
2018,Feb,9
2018,Mar,5
2018,Apr,9
2018,May,13
2018,Jun,10
2018,Jul,9
2018,Aug,6
2018,Sep,5
2018,Oct,77
2018,Nov,100
2018,Dec,6
2019,Jan,8
2019,Feb,9
2019,Mar,9
2019,Apr,8
2019,May,17
2019,Jun,9
2019,Jul,12
2019,Aug,9
2019,Sep,5
2019,Oct,7
2019,Nov,11
2019,Dec,3
2020,Jan,10
2020,Feb,3
2020,Mar,4
2020,Apr,4
2020,May,29
2020,Jun,14
2020,Jul,8
2020,Aug,18
2020,Sep,9
2020,Oct,60
2020,Nov,8
2020,Dec,6
2021,Jan,4
2021,Feb,10
2021,Mar,7
2021,Apr,8
2021,May,7
2021,Jun,6
2021,Jul,13
2021,Aug,8
2021,Sep,2
2021,Oct,11
2021,Nov,10
2021,Dec,8
2022,Jan,10
2022,Feb,6
2022,Mar,6
