Owner:,THOMAS JOHN T
Cname:,PHYSICIANS REALTY TRUST
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,70
2004,Feb,46
2004,Mar,88
2004,Apr,45
2004,May,41
2004,Jun,62
2004,Jul,21
2004,Aug,39
2004,Sep,0
2004,Oct,38
2004,Nov,39
2004,Dec,0
2005,Jan,61
2005,Feb,0
2005,Mar,68
2005,Apr,16
2005,May,70
2005,Jun,100
2005,Jul,56
2005,Aug,26
2005,Sep,25
2005,Oct,11
2005,Nov,59
2005,Dec,33
2006,Jan,80
2006,Feb,72
2006,Mar,55
2006,Apr,39
2006,May,45
2006,Jun,48
2006,Jul,19
2006,Aug,51
2006,Sep,52
2006,Oct,8
2006,Nov,31
2006,Dec,47
2007,Jan,34
2007,Feb,15
2007,Mar,33
2007,Apr,60
2007,May,36
2007,Jun,32
2007,Jul,37
2007,Aug,35
2007,Sep,35
2007,Oct,31
2007,Nov,37
2007,Dec,27
2008,Jan,33
2008,Feb,25
2008,Mar,19
2008,Apr,28
2008,May,29
2008,Jun,36
2008,Jul,48
2008,Aug,48
2008,Sep,31
2008,Oct,41
2008,Nov,36
2008,Dec,40
2009,Jan,42
2009,Feb,31
2009,Mar,44
2009,Apr,28
2009,May,37
2009,Jun,33
2009,Jul,12
2009,Aug,16
2009,Sep,35
2009,Oct,55
2009,Nov,15
2009,Dec,29
2010,Jan,35
2010,Feb,32
2010,Mar,26
2010,Apr,57
2010,May,39
2010,Jun,18
2010,Jul,55
2010,Aug,44
2010,Sep,9
2010,Oct,25
2010,Nov,19
2010,Dec,19
2011,Jan,47
2011,Feb,28
2011,Mar,23
2011,Apr,15
2011,May,29
2011,Jun,30
2011,Jul,15
2011,Aug,18
2011,Sep,40
2011,Oct,37
2011,Nov,36
2011,Dec,16
2012,Jan,43
2012,Feb,22
2012,Mar,35
2012,Apr,30
2012,May,36
2012,Jun,17
2012,Jul,20
2012,Aug,34
2012,Sep,33
2012,Oct,24
2012,Nov,34
2012,Dec,16
2013,Jan,14
2013,Feb,14
2013,Mar,29
2013,Apr,22
2013,May,22
2013,Jun,16
2013,Jul,21
2013,Aug,24
2013,Sep,18
2013,Oct,19
2013,Nov,29
2013,Dec,24
2014,Jan,22
2014,Feb,28
2014,Mar,27
2014,Apr,15
2014,May,25
2014,Jun,22
2014,Jul,12
2014,Aug,34
2014,Sep,19
2014,Oct,12
2014,Nov,25
2014,Dec,23
2015,Jan,27
2015,Feb,30
2015,Mar,18
2015,Apr,25
2015,May,24
2015,Jun,22
2015,Jul,24
2015,Aug,24
2015,Sep,14
2015,Oct,23
2015,Nov,35
2015,Dec,19
2016,Jan,19
2016,Feb,32
2016,Mar,24
2016,Apr,23
2016,May,15
2016,Jun,17
2016,Jul,19
2016,Aug,15
2016,Sep,12
2016,Oct,18
2016,Nov,24
2016,Dec,32
2017,Jan,28
2017,Feb,25
2017,Mar,18
2017,Apr,23
2017,May,14
2017,Jun,11
2017,Jul,12
2017,Aug,15
2017,Sep,14
2017,Oct,21
2017,Nov,19
2017,Dec,19
2018,Jan,25
2018,Feb,20
2018,Mar,20
2018,Apr,10
2018,May,26
2018,Jun,8
2018,Jul,13
2018,Aug,7
2018,Sep,18
2018,Oct,18
2018,Nov,19
2018,Dec,26
2019,Jan,23
2019,Feb,16
2019,Mar,16
2019,Apr,16
2019,May,15
2019,Jun,12
2019,Jul,14
2019,Aug,15
2019,Sep,22
2019,Oct,14
2019,Nov,15
2019,Dec,16
2020,Jan,16
2020,Feb,22
2020,Mar,21
2020,Apr,21
2020,May,10
2020,Jun,19
2020,Jul,21
2020,Aug,14
2020,Sep,19
2020,Oct,18
2020,Nov,17
2020,Dec,18
2021,Jan,15
2021,Feb,17
2021,Mar,15
2021,Apr,21
2021,May,18
2021,Jun,11
2021,Jul,22
2021,Aug,19
2021,Sep,16
2021,Oct,64
2021,Nov,47
2021,Dec,17
2022,Jan,24
2022,Feb,15
2022,Mar,19
