Owner:,TRAN TAN
Cname:,VEMANTI GROUP INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,98
2004,Apr,100
2004,May,46
2004,Jun,0
2004,Jul,48
2004,Aug,43
2004,Sep,21
2004,Oct,42
2004,Nov,22
2004,Dec,39
2005,Jan,0
2005,Feb,18
2005,Mar,30
2005,Apr,52
2005,May,47
2005,Jun,32
2005,Jul,16
2005,Aug,0
2005,Sep,27
2005,Oct,13
2005,Nov,26
2005,Dec,13
2006,Jan,67
2006,Feb,46
2006,Mar,31
2006,Apr,22
2006,May,20
2006,Jun,43
2006,Jul,10
2006,Aug,10
2006,Sep,29
2006,Oct,18
2006,Nov,26
2006,Dec,0
2007,Jan,61
2007,Feb,49
2007,Mar,22
2007,Apr,15
2007,May,14
2007,Jun,36
2007,Jul,41
2007,Aug,33
2007,Sep,7
2007,Oct,6
2007,Nov,18
2007,Dec,43
2008,Jan,37
2008,Feb,6
2008,Mar,32
2008,Apr,27
2008,May,38
2008,Jun,23
2008,Jul,22
2008,Aug,43
2008,Sep,20
2008,Oct,32
2008,Nov,10
2008,Dec,30
2009,Jan,19
2009,Feb,15
2009,Mar,13
2009,Apr,31
2009,May,37
2009,Jun,42
2009,Jul,32
2009,Aug,13
2009,Sep,30
2009,Oct,29
2009,Nov,34
2009,Dec,21
2010,Jan,24
2010,Feb,41
2010,Mar,33
2010,Apr,19
2010,May,56
2010,Jun,33
2010,Jul,49
2010,Aug,37
2010,Sep,39
2010,Oct,42
2010,Nov,41
2010,Dec,47
2011,Jan,39
2011,Feb,32
2011,Mar,31
2011,Apr,35
2011,May,43
2011,Jun,40
2011,Jul,32
2011,Aug,36
2011,Sep,32
2011,Oct,28
2011,Nov,19
2011,Dec,48
2012,Jan,39
2012,Feb,37
2012,Mar,36
2012,Apr,40
2012,May,41
2012,Jun,35
2012,Jul,25
2012,Aug,38
2012,Sep,32
2012,Oct,55
2012,Nov,44
2012,Dec,51
2013,Jan,47
2013,Feb,24
2013,Mar,44
2013,Apr,41
2013,May,33
2013,Jun,27
2013,Jul,24
2013,Aug,29
2013,Sep,33
2013,Oct,30
2013,Nov,34
2013,Dec,37
2014,Jan,46
2014,Feb,59
2014,Mar,29
2014,Apr,56
2014,May,43
2014,Jun,54
2014,Jul,51
2014,Aug,55
2014,Sep,46
2014,Oct,49
2014,Nov,52
2014,Dec,35
2015,Jan,51
2015,Feb,30
2015,Mar,29
2015,Apr,41
2015,May,46
2015,Jun,37
2015,Jul,29
2015,Aug,37
2015,Sep,33
2015,Oct,36
2015,Nov,24
2015,Dec,31
2016,Jan,23
2016,Feb,42
2016,Mar,27
2016,Apr,22
2016,May,33
2016,Jun,29
2016,Jul,28
2016,Aug,27
2016,Sep,36
2016,Oct,18
2016,Nov,19
2016,Dec,29
2017,Jan,25
2017,Feb,23
2017,Mar,20
2017,Apr,15
2017,May,25
2017,Jun,20
2017,Jul,28
2017,Aug,24
2017,Sep,25
2017,Oct,24
2017,Nov,15
2017,Dec,27
2018,Jan,30
2018,Feb,24
2018,Mar,29
2018,Apr,20
2018,May,29
2018,Jun,24
2018,Jul,22
2018,Aug,16
2018,Sep,36
2018,Oct,27
2018,Nov,19
2018,Dec,25
2019,Jan,21
2019,Feb,25
2019,Mar,24
2019,Apr,32
2019,May,27
2019,Jun,19
2019,Jul,24
2019,Aug,19
2019,Sep,20
2019,Oct,21
2019,Nov,20
2019,Dec,21
2020,Jan,20
2020,Feb,28
2020,Mar,19
2020,Apr,29
2020,May,23
2020,Jun,18
2020,Jul,25
2020,Aug,23
2020,Sep,21
2020,Oct,22
2020,Nov,19
2020,Dec,19
2021,Jan,19
2021,Feb,26
2021,Mar,25
2021,Apr,27
2021,May,24
2021,Jun,29
2021,Jul,22
2021,Aug,24
2021,Sep,19
2021,Oct,20
2021,Nov,23
2021,Dec,25
2022,Jan,20
2022,Feb,15
2022,Mar,27
