Owner:,TRUST JANE
Cname:,WESTERN ASSET EMERG MRKTS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,64
2004,Feb,0
2004,Mar,40
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,52
2004,Sep,100
2004,Oct,77
2004,Nov,0
2004,Dec,47
2005,Jan,62
2005,Feb,0
2005,Mar,37
2005,Apr,0
2005,May,19
2005,Jun,19
2005,Jul,0
2005,Aug,18
2005,Sep,50
2005,Oct,62
2005,Nov,16
2005,Dec,30
2006,Jan,14
2006,Feb,0
2006,Mar,37
2006,Apr,26
2006,May,12
2006,Jun,39
2006,Jul,25
2006,Aug,35
2006,Sep,35
2006,Oct,11
2006,Nov,21
2006,Dec,32
2007,Jan,56
2007,Feb,10
2007,Mar,9
2007,Apr,18
2007,May,25
2007,Jun,35
2007,Jul,41
2007,Aug,24
2007,Sep,32
2007,Oct,14
2007,Nov,7
2007,Dec,96
2008,Jan,6
2008,Feb,20
2008,Mar,20
2008,Apr,51
2008,May,26
2008,Jun,34
2008,Jul,13
2008,Aug,26
2008,Sep,30
2008,Oct,17
2008,Nov,24
2008,Dec,24
2009,Jan,23
2009,Feb,24
2009,Mar,32
2009,Apr,22
2009,May,22
2009,Jun,22
2009,Jul,28
2009,Aug,32
2009,Sep,31
2009,Oct,15
2009,Nov,31
2009,Dec,25
2010,Jan,52
2010,Feb,28
2010,Mar,51
2010,Apr,31
2010,May,23
2010,Jun,56
2010,Jul,32
2010,Aug,23
2010,Sep,11
2010,Oct,44
2010,Nov,32
2010,Dec,28
2011,Jan,20
2011,Feb,27
2011,Mar,38
2011,Apr,23
2011,May,30
2011,Jun,25
2011,Jul,22
2011,Aug,31
2011,Sep,59
2011,Oct,27
2011,Nov,30
2011,Dec,33
2012,Jan,33
2012,Feb,20
2012,Mar,37
2012,Apr,18
2012,May,30
2012,Jun,20
2012,Jul,30
2012,Aug,42
2012,Sep,23
2012,Oct,32
2012,Nov,30
2012,Dec,27
2013,Jan,33
2013,Feb,33
2013,Mar,32
2013,Apr,27
2013,May,34
2013,Jun,32
2013,Jul,13
2013,Aug,18
2013,Sep,22
2013,Oct,29
2013,Nov,20
2013,Dec,23
2014,Jan,34
2014,Feb,37
2014,Mar,30
2014,Apr,28
2014,May,18
2014,Jun,37
2014,Jul,14
2014,Aug,14
2014,Sep,36
2014,Oct,30
2014,Nov,39
2014,Dec,36
2015,Jan,31
2015,Feb,19
2015,Mar,31
2015,Apr,32
2015,May,16
2015,Jun,24
2015,Jul,24
2015,Aug,21
2015,Sep,30
2015,Oct,34
2015,Nov,29
2015,Dec,34
2016,Jan,34
2016,Feb,38
2016,Mar,42
2016,Apr,38
2016,May,49
2016,Jun,26
2016,Jul,27
2016,Aug,24
2016,Sep,27
2016,Oct,44
2016,Nov,35
2016,Dec,24
2017,Jan,44
2017,Feb,18
2017,Mar,32
2017,Apr,38
2017,May,21
2017,Jun,30
2017,Jul,22
2017,Aug,19
2017,Sep,23
2017,Oct,29
2017,Nov,17
2017,Dec,26
2018,Jan,35
2018,Feb,25
2018,Mar,33
2018,Apr,19
2018,May,29
2018,Jun,30
2018,Jul,22
2018,Aug,15
2018,Sep,30
2018,Oct,30
2018,Nov,30
2018,Dec,23
2019,Jan,29
2019,Feb,31
2019,Mar,35
2019,Apr,39
2019,May,21
2019,Jun,22
2019,Jul,13
2019,Aug,29
2019,Sep,32
2019,Oct,20
2019,Nov,33
2019,Dec,12
2020,Jan,27
2020,Feb,35
2020,Mar,28
2020,Apr,19
2020,May,22
2020,Jun,14
2020,Jul,26
2020,Aug,11
2020,Sep,27
2020,Oct,27
2020,Nov,24
2020,Dec,20
2021,Jan,11
2021,Feb,18
2021,Mar,41
2021,Apr,22
2021,May,21
2021,Jun,21
2021,Jul,9
2021,Aug,15
2021,Sep,34
2021,Oct,34
2021,Nov,23
2021,Dec,24
2022,Jan,24
2022,Feb,26
2022,Mar,24
