Owner:,TURNER SIMON
Cname:,VENATOR MATERIALS PLC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,28
2004,Feb,54
2004,Mar,35
2004,Apr,0
2004,May,48
2004,Jun,25
2004,Jul,25
2004,Aug,46
2004,Sep,87
2004,Oct,22
2004,Nov,46
2004,Dec,21
2005,Jan,36
2005,Feb,19
2005,Mar,16
2005,Apr,0
2005,May,0
2005,Jun,34
2005,Jul,17
2005,Aug,31
2005,Sep,15
2005,Oct,14
2005,Nov,14
2005,Dec,13
2006,Jan,24
2006,Feb,73
2006,Mar,33
2006,Apr,46
2006,May,11
2006,Jun,0
2006,Jul,11
2006,Aug,0
2006,Sep,0
2006,Oct,19
2006,Nov,37
2006,Dec,56
2007,Jan,24
2007,Feb,26
2007,Mar,23
2007,Apr,8
2007,May,7
2007,Jun,8
2007,Jul,50
2007,Aug,21
2007,Sep,14
2007,Oct,6
2007,Nov,12
2007,Dec,26
2008,Jan,6
2008,Feb,23
2008,Mar,23
2008,Apr,39
2008,May,40
2008,Jun,24
2008,Jul,17
2008,Aug,11
2008,Sep,36
2008,Oct,19
2008,Nov,37
2008,Dec,52
2009,Jan,15
2009,Feb,21
2009,Mar,19
2009,Apr,28
2009,May,29
2009,Jun,39
2009,Jul,48
2009,Aug,33
2009,Sep,32
2009,Oct,26
2009,Nov,40
2009,Dec,17
2010,Jan,21
2010,Feb,13
2010,Mar,19
2010,Apr,32
2010,May,42
2010,Jun,34
2010,Jul,26
2010,Aug,43
2010,Sep,14
2010,Oct,24
2010,Nov,33
2010,Dec,23
2011,Jan,31
2011,Feb,33
2011,Mar,20
2011,Apr,26
2011,May,15
2011,Jun,21
2011,Jul,33
2011,Aug,22
2011,Sep,10
2011,Oct,20
2011,Nov,21
2011,Dec,17
2012,Jan,25
2012,Feb,27
2012,Mar,18
2012,Apr,19
2012,May,20
2012,Jun,17
2012,Jul,14
2012,Aug,15
2012,Sep,25
2012,Oct,29
2012,Nov,13
2012,Dec,11
2013,Jan,34
2013,Feb,31
2013,Mar,13
2013,Apr,17
2013,May,28
2013,Jun,14
2013,Jul,12
2013,Aug,20
2013,Sep,22
2013,Oct,18
2013,Nov,17
2013,Dec,21
2014,Jan,25
2014,Feb,17
2014,Mar,25
2014,Apr,17
2014,May,27
2014,Jun,100
2014,Jul,9
2014,Aug,23
2014,Sep,17
2014,Oct,13
2014,Nov,18
2014,Dec,14
2015,Jan,18
2015,Feb,28
2015,Mar,12
2015,Apr,16
2015,May,21
2015,Jun,22
2015,Jul,20
2015,Aug,9
2015,Sep,10
2015,Oct,16
2015,Nov,24
2015,Dec,18
2016,Jan,34
2016,Feb,14
2016,Mar,18
2016,Apr,15
2016,May,19
2016,Jun,21
2016,Jul,24
2016,Aug,19
2016,Sep,21
2016,Oct,17
2016,Nov,19
2016,Dec,13
2017,Jan,15
2017,Feb,18
2017,Mar,27
2017,Apr,16
2017,May,19
2017,Jun,8
2017,Jul,16
2017,Aug,18
2017,Sep,25
2017,Oct,21
2017,Nov,13
2017,Dec,11
2018,Jan,15
2018,Feb,19
2018,Mar,23
2018,Apr,17
2018,May,21
2018,Jun,29
2018,Jul,17
2018,Aug,11
2018,Sep,15
2018,Oct,16
2018,Nov,18
2018,Dec,11
2019,Jan,12
2019,Feb,14
2019,Mar,34
2019,Apr,18
2019,May,31
2019,Jun,17
2019,Jul,12
2019,Aug,12
2019,Sep,8
2019,Oct,17
2019,Nov,16
2019,Dec,17
2020,Jan,19
2020,Feb,20
2020,Mar,17
2020,Apr,15
2020,May,17
2020,Jun,9
2020,Jul,21
2020,Aug,11
2020,Sep,13
2020,Oct,12
2020,Nov,10
2020,Dec,20
2021,Jan,14
2021,Feb,20
2021,Mar,23
2021,Apr,18
2021,May,23
2021,Jun,21
2021,Jul,15
2021,Aug,12
2021,Sep,12
2021,Oct,12
2021,Nov,16
2021,Dec,6
2022,Jan,10
2022,Feb,11
2022,Mar,18
