Owner:,WAGNER PAUL A
Cname:,FORTE BIOSCIENCES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,59
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,100
2005,Jan,0
2005,Feb,46
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,38
2005,Sep,0
2005,Oct,0
2005,Nov,34
2005,Dec,32
2006,Jan,0
2006,Feb,30
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,23
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,21
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,15
2008,Jul,14
2008,Aug,14
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,13
2009,Jan,0
2009,Feb,13
2009,Mar,11
2009,Apr,23
2009,May,0
2009,Jun,12
2009,Jul,0
2009,Aug,0
2009,Sep,22
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,20
2010,Feb,10
2010,Mar,0
2010,Apr,20
2010,May,10
2010,Jun,10
2010,Jul,0
2010,Aug,17
2010,Sep,17
2010,Oct,0
2010,Nov,8
2010,Dec,16
2011,Jan,25
2011,Feb,14
2011,Mar,6
2011,Apr,13
2011,May,6
2011,Jun,19
2011,Jul,12
2011,Aug,6
2011,Sep,6
2011,Oct,11
2011,Nov,17
2011,Dec,5
2012,Jan,15
2012,Feb,15
2012,Mar,15
2012,Apr,5
2012,May,0
2012,Jun,0
2012,Jul,5
2012,Aug,9
2012,Sep,5
2012,Oct,0
2012,Nov,5
2012,Dec,9
2013,Jan,12
2013,Feb,22
2013,Mar,20
2013,Apr,25
2013,May,12
2013,Jun,9
2013,Jul,8
2013,Aug,8
2013,Sep,8
2013,Oct,16
2013,Nov,8
2013,Dec,16
2014,Jan,19
2014,Feb,8
2014,Mar,11
2014,Apr,15
2014,May,4
2014,Jun,9
2014,Jul,18
2014,Aug,4
2014,Sep,0
2014,Oct,4
2014,Nov,4
2014,Dec,4
2015,Jan,16
2015,Feb,4
2015,Mar,8
2015,Apr,8
2015,May,4
2015,Jun,5
2015,Jul,18
2015,Aug,9
2015,Sep,4
2015,Oct,0
2015,Nov,17
2015,Dec,0
2016,Jan,0
2016,Feb,10
2016,Mar,3
2016,Apr,0
2016,May,20
2016,Jun,7
2016,Jul,7
2016,Aug,14
2016,Sep,0
2016,Oct,7
2016,Nov,3
2016,Dec,6
2017,Jan,15
2017,Feb,0
2017,Mar,6
2017,Apr,0
2017,May,13
2017,Jun,0
2017,Jul,7
2017,Aug,13
2017,Sep,9
2017,Oct,3
2017,Nov,3
2017,Dec,3
2018,Jan,0
2018,Feb,19
2018,Mar,0
2018,Apr,15
2018,May,3
2018,Jun,0
2018,Jul,3
2018,Aug,9
2018,Sep,3
2018,Oct,15
2018,Nov,15
2018,Dec,15
2019,Jan,6
2019,Feb,3
2019,Mar,3
2019,Apr,12
2019,May,0
2019,Jun,9
2019,Jul,3
2019,Aug,3
2019,Sep,9
2019,Oct,0
2019,Nov,8
2019,Dec,8
2020,Jan,0
2020,Feb,8
2020,Mar,2
2020,Apr,7
2020,May,0
2020,Jun,25
2020,Jul,3
2020,Aug,5
2020,Sep,7
2020,Oct,14
2020,Nov,6
2020,Dec,11
2021,Jan,11
2021,Feb,6
2021,Mar,11
2021,Apr,3
2021,May,20
2021,Jun,6
2021,Jul,6
2021,Aug,17
2021,Sep,6
2021,Oct,12
2021,Nov,9
2021,Dec,9
2022,Jan,0
2022,Feb,0
2022,Mar,12
