Owner:,WAY ANDREW JAMES
Cname:,EXTERRAN CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,100
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,61
2005,Dec,58
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,44
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,30
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,26
2008,Mar,0
2008,Apr,0
2008,May,25
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,21
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,43
2009,Jul,21
2009,Aug,0
2009,Sep,0
2009,Oct,38
2009,Nov,0
2009,Dec,38
2010,Jan,0
2010,Feb,19
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,16
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,0
2011,Feb,24
2011,Mar,0
2011,Apr,23
2011,May,11
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,21
2011,Oct,10
2011,Nov,0
2011,Dec,0
2012,Jan,18
2012,Feb,9
2012,Mar,0
2012,Apr,0
2012,May,0
2012,Jun,9
2012,Jul,0
2012,Aug,17
2012,Sep,0
2012,Oct,8
2012,Nov,8
2012,Dec,8
2013,Jan,15
2013,Feb,24
2013,Mar,7
2013,Apr,0
2013,May,7
2013,Jun,8
2013,Jul,0
2013,Aug,0
2013,Sep,7
2013,Oct,7
2013,Nov,7
2013,Dec,7
2014,Jan,7
2014,Feb,15
2014,Mar,0
2014,Apr,0
2014,May,15
2014,Jun,8
2014,Jul,24
2014,Aug,0
2014,Sep,23
2014,Oct,0
2014,Nov,8
2014,Dec,0
2015,Jan,7
2015,Feb,15
2015,Mar,22
2015,Apr,30
2015,May,0
2015,Jun,8
2015,Jul,8
2015,Aug,0
2015,Sep,8
2015,Oct,14
2015,Nov,0
2015,Dec,7
2016,Jan,12
2016,Feb,25
2016,Mar,12
2016,Apr,30
2016,May,24
2016,Jun,13
2016,Jul,6
2016,Aug,6
2016,Sep,6
2016,Oct,12
2016,Nov,18
2016,Dec,17
2017,Jan,21
2017,Feb,17
2017,Mar,15
2017,Apr,11
2017,May,6
2017,Jun,6
2017,Jul,6
2017,Aug,0
2017,Sep,11
2017,Oct,5
2017,Nov,16
2017,Dec,16
2018,Jan,10
2018,Feb,6
2018,Mar,10
2018,Apr,16
2018,May,16
2018,Jun,11
2018,Jul,22
2018,Aug,11
2018,Sep,11
2018,Oct,16
2018,Nov,16
2018,Dec,21
2019,Jan,0
2019,Feb,6
2019,Mar,21
2019,Apr,16
2019,May,16
2019,Jun,11
2019,Jul,11
2019,Aug,10
2019,Sep,5
2019,Oct,10
2019,Nov,15
2019,Dec,5
2020,Jan,9
2020,Feb,29
2020,Mar,4
2020,Apr,21
2020,May,29
2020,Jun,4
2020,Jul,5
2020,Aug,22
2020,Sep,13
2020,Oct,5
2020,Nov,10
2020,Dec,10
2021,Jan,14
2021,Feb,27
2021,Mar,48
2021,Apr,26
2021,May,25
2021,Jun,5
2021,Jul,10
2021,Aug,31
2021,Sep,22
2021,Oct,16
2021,Nov,44
2021,Dec,86
2022,Jan,53
2022,Feb,42
2022,Mar,21
