Owner:,WEBER MARK
Cname:,PHILLIPS VAN HEUSEN CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,55
2004,Feb,23
2004,Mar,49
2004,Apr,90
2004,May,27
2004,Jun,35
2004,Jul,7
2004,Aug,39
2004,Sep,25
2004,Oct,51
2004,Nov,52
2004,Dec,35
2005,Jan,56
2005,Feb,37
2005,Mar,18
2005,Apr,37
2005,May,19
2005,Jun,43
2005,Jul,47
2005,Aug,22
2005,Sep,49
2005,Oct,23
2005,Nov,32
2005,Dec,34
2006,Jan,37
2006,Feb,45
2006,Mar,37
2006,Apr,42
2006,May,37
2006,Jun,19
2006,Jul,31
2006,Aug,17
2006,Sep,29
2006,Oct,34
2006,Nov,18
2006,Dec,31
2007,Jan,28
2007,Feb,44
2007,Mar,20
2007,Apr,24
2007,May,57
2007,Jun,46
2007,Jul,39
2007,Aug,25
2007,Sep,61
2007,Oct,25
2007,Nov,40
2007,Dec,36
2008,Jan,22
2008,Feb,28
2008,Mar,40
2008,Apr,41
2008,May,26
2008,Jun,22
2008,Jul,28
2008,Aug,32
2008,Sep,37
2008,Oct,42
2008,Nov,29
2008,Dec,25
2009,Jan,35
2009,Feb,31
2009,Mar,24
2009,Apr,39
2009,May,37
2009,Jun,28
2009,Jul,37
2009,Aug,29
2009,Sep,27
2009,Oct,44
2009,Nov,35
2009,Dec,30
2010,Jan,27
2010,Feb,26
2010,Mar,31
2010,Apr,24
2010,May,23
2010,Jun,32
2010,Jul,21
2010,Aug,21
2010,Sep,27
2010,Oct,26
2010,Nov,37
2010,Dec,19
2011,Jan,23
2011,Feb,29
2011,Mar,29
2011,Apr,30
2011,May,32
2011,Jun,26
2011,Jul,29
2011,Aug,25
2011,Sep,15
2011,Oct,26
2011,Nov,32
2011,Dec,17
2012,Jan,23
2012,Feb,28
2012,Mar,28
2012,Apr,23
2012,May,30
2012,Jun,36
2012,Jul,31
2012,Aug,30
2012,Sep,26
2012,Oct,27
2012,Nov,31
2012,Dec,23
2013,Jan,37
2013,Feb,32
2013,Mar,30
2013,Apr,33
2013,May,30
2013,Jun,100
2013,Jul,28
2013,Aug,37
2013,Sep,25
2013,Oct,29
2013,Nov,26
2013,Dec,19
2014,Jan,20
2014,Feb,22
2014,Mar,30
2014,Apr,24
2014,May,26
2014,Jun,23
2014,Jul,27
2014,Aug,24
2014,Sep,26
2014,Oct,27
2014,Nov,28
2014,Dec,27
2015,Jan,27
2015,Feb,25
2015,Mar,22
2015,Apr,19
2015,May,19
2015,Jun,30
2015,Jul,18
2015,Aug,25
2015,Sep,21
2015,Oct,15
2015,Nov,30
2015,Dec,20
2016,Jan,21
2016,Feb,21
2016,Mar,24
2016,Apr,20
2016,May,18
2016,Jun,23
2016,Jul,17
2016,Aug,20
2016,Sep,24
2016,Oct,16
2016,Nov,19
2016,Dec,22
2017,Jan,16
2017,Feb,21
2017,Mar,19
2017,Apr,25
2017,May,21
2017,Jun,19
2017,Jul,17
2017,Aug,17
2017,Sep,14
2017,Oct,18
2017,Nov,21
2017,Dec,18
2018,Jan,23
2018,Feb,14
2018,Mar,34
2018,Apr,17
2018,May,20
2018,Jun,16
2018,Jul,17
2018,Aug,23
2018,Sep,18
2018,Oct,17
2018,Nov,19
2018,Dec,18
2019,Jan,17
2019,Feb,21
2019,Mar,21
2019,Apr,23
2019,May,21
2019,Jun,21
2019,Jul,16
2019,Aug,13
2019,Sep,14
2019,Oct,19
2019,Nov,11
2019,Dec,14
2020,Jan,18
2020,Feb,20
2020,Mar,19
2020,Apr,16
2020,May,12
2020,Jun,17
2020,Jul,17
2020,Aug,16
2020,Sep,18
2020,Oct,19
2020,Nov,13
2020,Dec,12
2021,Jan,17
2021,Feb,15
2021,Mar,13
2021,Apr,16
2021,May,16
2021,Jun,20
2021,Jul,14
2021,Aug,15
2021,Sep,16
2021,Oct,17
2021,Nov,17
2021,Dec,10
2022,Jan,12
2022,Feb,12
2022,Mar,16
