Owner:,WEINSTEIN MARTIN
Cname:,SEQUA CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,27
2004,Mar,0
2004,Apr,0
2004,May,24
2004,Jun,0
2004,Jul,25
2004,Aug,45
2004,Sep,0
2004,Oct,89
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,74
2005,Mar,63
2005,Apr,18
2005,May,16
2005,Jun,33
2005,Jul,0
2005,Aug,15
2005,Sep,14
2005,Oct,0
2005,Nov,0
2005,Dec,26
2006,Jan,12
2006,Feb,0
2006,Mar,0
2006,Apr,22
2006,May,21
2006,Jun,34
2006,Jul,11
2006,Aug,20
2006,Sep,20
2006,Oct,9
2006,Nov,0
2006,Dec,9
2007,Jan,16
2007,Feb,8
2007,Mar,8
2007,Apr,8
2007,May,0
2007,Jun,15
2007,Jul,7
2007,Aug,0
2007,Sep,20
2007,Oct,12
2007,Nov,24
2007,Dec,13
2008,Jan,33
2008,Feb,0
2008,Mar,17
2008,Apr,11
2008,May,6
2008,Jun,42
2008,Jul,6
2008,Aug,11
2008,Sep,10
2008,Oct,14
2008,Nov,21
2008,Dec,36
2009,Jan,5
2009,Feb,10
2009,Mar,14
2009,Apr,14
2009,May,10
2009,Jun,14
2009,Jul,10
2009,Aug,23
2009,Sep,9
2009,Oct,17
2009,Nov,0
2009,Dec,4
2010,Jan,12
2010,Feb,13
2010,Mar,27
2010,Apr,4
2010,May,25
2010,Jun,30
2010,Jul,15
2010,Aug,7
2010,Sep,7
2010,Oct,20
2010,Nov,7
2010,Dec,7
2011,Jan,8
2011,Feb,8
2011,Mar,7
2011,Apr,16
2011,May,13
2011,Jun,10
2011,Jul,3
2011,Aug,14
2011,Sep,0
2011,Oct,11
2011,Nov,14
2011,Dec,9
2012,Jan,25
2012,Feb,12
2012,Mar,10
2012,Apr,8
2012,May,10
2012,Jun,6
2012,Jul,2
2012,Aug,4
2012,Sep,8
2012,Oct,7
2012,Nov,4
2012,Dec,5
2013,Jan,10
2013,Feb,4
2013,Mar,10
2013,Apr,7
2013,May,10
2013,Jun,3
2013,Jul,10
2013,Aug,8
2013,Sep,8
2013,Oct,16
2013,Nov,16
2013,Dec,11
2014,Jan,6
2014,Feb,12
2014,Mar,15
2014,Apr,8
2014,May,5
2014,Jun,6
2014,Jul,9
2014,Aug,4
2014,Sep,12
2014,Oct,7
2014,Nov,5
2014,Dec,3
2015,Jan,7
2015,Feb,5
2015,Mar,7
2015,Apr,7
2015,May,7
2015,Jun,9
2015,Jul,5
2015,Aug,9
2015,Sep,5
2015,Oct,3
2015,Nov,5
2015,Dec,5
2016,Jan,8
2016,Feb,10
2016,Mar,8
2016,Apr,7
2016,May,7
2016,Jun,7
2016,Jul,3
2016,Aug,4
2016,Sep,8
2016,Oct,5
2016,Nov,4
2016,Dec,11
2017,Jan,10
2017,Feb,4
2017,Mar,6
2017,Apr,7
2017,May,4
2017,Jun,8
2017,Jul,5
2017,Aug,4
2017,Sep,9
2017,Oct,100
2017,Nov,29
2017,Dec,12
2018,Jan,24
2018,Feb,18
2018,Mar,16
2018,Apr,11
2018,May,19
2018,Jun,14
2018,Jul,12
2018,Aug,11
2018,Sep,9
2018,Oct,12
2018,Nov,5
2018,Dec,8
2019,Jan,7
2019,Feb,12
2019,Mar,7
2019,Apr,7
2019,May,11
2019,Jun,6
2019,Jul,16
2019,Aug,13
2019,Sep,2
2019,Oct,11
2019,Nov,13
2019,Dec,6
2020,Jan,29
2020,Feb,21
2020,Mar,18
2020,Apr,10
2020,May,8
2020,Jun,6
2020,Jul,3
2020,Aug,12
2020,Sep,3
2020,Oct,2
2020,Nov,4
2020,Dec,3
2021,Jan,10
2021,Feb,4
2021,Mar,5
2021,Apr,3
2021,May,8
2021,Jun,2
2021,Jul,8
2021,Aug,1
2021,Sep,2
2021,Oct,5
2021,Nov,6
2021,Dec,9
2022,Jan,10
2022,Feb,3
2022,Mar,8
