Owner:,WHITE WILLIAM HENRY
Cname:,AVANGRID INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,95
2004,Feb,0
2004,Mar,79
2004,Apr,30
2004,May,28
2004,Jun,28
2004,Jul,29
2004,Aug,0
2004,Sep,100
2004,Oct,0
2004,Nov,26
2004,Dec,23
2005,Jan,62
2005,Feb,86
2005,Mar,18
2005,Apr,21
2005,May,38
2005,Jun,19
2005,Jul,19
2005,Aug,36
2005,Sep,66
2005,Oct,0
2005,Nov,16
2005,Dec,61
2006,Jan,81
2006,Feb,56
2006,Mar,12
2006,Apr,0
2006,May,25
2006,Jun,26
2006,Jul,38
2006,Aug,35
2006,Sep,47
2006,Oct,43
2006,Nov,0
2006,Dec,0
2007,Jan,28
2007,Feb,10
2007,Mar,45
2007,Apr,27
2007,May,25
2007,Jun,0
2007,Jul,8
2007,Aug,16
2007,Sep,8
2007,Oct,21
2007,Nov,35
2007,Dec,0
2008,Jan,39
2008,Feb,54
2008,Mar,26
2008,Apr,45
2008,May,32
2008,Jun,7
2008,Jul,13
2008,Aug,19
2008,Sep,30
2008,Oct,22
2008,Nov,24
2008,Dec,12
2009,Jan,45
2009,Feb,12
2009,Mar,22
2009,Apr,33
2009,May,22
2009,Jun,11
2009,Jul,17
2009,Aug,16
2009,Sep,21
2009,Oct,10
2009,Nov,26
2009,Dec,25
2010,Jan,24
2010,Feb,44
2010,Mar,0
2010,Apr,28
2010,May,19
2010,Jun,5
2010,Jul,17
2010,Aug,16
2010,Sep,16
2010,Oct,8
2010,Nov,15
2010,Dec,19
2011,Jan,35
2011,Feb,22
2011,Mar,23
2011,Apr,15
2011,May,29
2011,Jun,15
2011,Jul,12
2011,Aug,8
2011,Sep,5
2011,Oct,18
2011,Nov,26
2011,Dec,20
2012,Jan,33
2012,Feb,19
2012,Mar,18
2012,Apr,19
2012,May,14
2012,Jun,7
2012,Jul,16
2012,Aug,11
2012,Sep,27
2012,Oct,27
2012,Nov,41
2012,Dec,21
2013,Jan,33
2013,Feb,27
2013,Mar,13
2013,Apr,17
2013,May,15
2013,Jun,18
2013,Jul,16
2013,Aug,15
2013,Sep,13
2013,Oct,20
2013,Nov,21
2013,Dec,11
2014,Jan,25
2014,Feb,33
2014,Mar,18
2014,Apr,24
2014,May,6
2014,Jun,15
2014,Jul,21
2014,Aug,8
2014,Sep,8
2014,Oct,21
2014,Nov,20
2014,Dec,30
2015,Jan,21
2015,Feb,8
2015,Mar,10
2015,Apr,14
2015,May,12
2015,Jun,15
2015,Jul,10
2015,Aug,6
2015,Sep,12
2015,Oct,19
2015,Nov,19
2015,Dec,9
2016,Jan,20
2016,Feb,13
2016,Mar,20
2016,Apr,19
2016,May,16
2016,Jun,10
2016,Jul,15
2016,Aug,10
2016,Sep,14
2016,Oct,17
2016,Nov,15
2016,Dec,13
2017,Jan,27
2017,Feb,16
2017,Mar,24
2017,Apr,21
2017,May,26
2017,Jun,20
2017,Jul,9
2017,Aug,15
2017,Sep,14
2017,Oct,20
2017,Nov,23
2017,Dec,24
2018,Jan,27
2018,Feb,24
2018,Mar,28
2018,Apr,29
2018,May,5
2018,Jun,14
2018,Jul,10
2018,Aug,13
2018,Sep,14
2018,Oct,21
2018,Nov,14
2018,Dec,13
2019,Jan,13
2019,Feb,22
2019,Mar,22
2019,Apr,11
2019,May,19
2019,Jun,7
2019,Jul,10
2019,Aug,4
2019,Sep,8
2019,Oct,20
2019,Nov,22
2019,Dec,13
2020,Jan,18
2020,Feb,29
2020,Mar,13
2020,Apr,15
2020,May,13
2020,Jun,21
2020,Jul,15
2020,Aug,15
2020,Sep,13
2020,Oct,21
2020,Nov,24
2020,Dec,22
2021,Jan,19
2021,Feb,23
2021,Mar,19
2021,Apr,12
2021,May,12
2021,Jun,15
2021,Jul,11
2021,Aug,11
2021,Sep,11
2021,Oct,13
2021,Nov,14
2021,Dec,17
2022,Jan,14
2022,Feb,17
2022,Mar,24
