Owner:,BERTOLINI MARK T
Cname:,AETNA INC PA
Google Trends Search Term:,Mark Bertolini
Google Trends Suggestion:,CEO of Aetna
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,47
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,20
2006,Feb,21
2006,Mar,0
2006,Apr,0
2006,May,18
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,14
2007,Feb,15
2007,Mar,13
2007,Apr,13
2007,May,0
2007,Jun,0
2007,Jul,25
2007,Aug,47
2007,Sep,12
2007,Oct,0
2007,Nov,21
2007,Dec,11
2008,Jan,0
2008,Feb,0
2008,Mar,20
2008,Apr,0
2008,May,10
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,27
2008,Oct,0
2008,Nov,18
2008,Dec,9
2009,Jan,17
2009,Feb,18
2009,Mar,16
2009,Apr,8
2009,May,0
2009,Jun,34
2009,Jul,0
2009,Aug,16
2009,Sep,0
2009,Oct,7
2009,Nov,8
2009,Dec,7
2010,Jan,14
2010,Feb,7
2010,Mar,0
2010,Apr,0
2010,May,7
2010,Jun,0
2010,Jul,6
2010,Aug,6
2010,Sep,0
2010,Oct,23
2010,Nov,28
2010,Dec,11
2011,Jan,9
2011,Feb,52
2011,Mar,21
2011,Apr,18
2011,May,35
2011,Jun,13
2011,Jul,13
2011,Aug,20
2011,Sep,29
2011,Oct,11
2011,Nov,12
2011,Dec,11
2012,Jan,21
2012,Feb,32
2012,Mar,27
2012,Apr,7
2012,May,14
2012,Jun,28
2012,Jul,34
2012,Aug,76
2012,Sep,40
2012,Oct,31
2012,Nov,71
2012,Dec,28
2013,Jan,29
2013,Feb,46
2013,Mar,17
2013,Apr,40
2013,May,26
2013,Jun,33
2013,Jul,9
2013,Aug,26
2013,Sep,23
2013,Oct,49
2013,Nov,28
2013,Dec,11
2014,Jan,43
2014,Feb,46
2014,Mar,18
2014,Apr,16
2014,May,46
2014,Jun,19
2014,Jul,28
2014,Aug,31
2014,Sep,30
2014,Oct,17
2014,Nov,21
2014,Dec,9
2015,Jan,9
2015,Feb,52
2015,Mar,81
2015,Apr,51
2015,May,46
2015,Jun,38
2015,Jul,63
2015,Aug,19
2015,Sep,38
2015,Oct,27
2015,Nov,53
2015,Dec,36
2016,Jan,15
2016,Feb,39
2016,Mar,41
2016,Apr,35
2016,May,33
2016,Jun,21
2016,Jul,26
2016,Aug,83
2016,Sep,38
2016,Oct,59
2016,Nov,34
2016,Dec,24
2017,Jan,49
2017,Feb,36
2017,Mar,30
2017,Apr,25
2017,May,47
2017,Jun,35
2017,Jul,37
2017,Aug,37
2017,Sep,18
2017,Oct,43
2017,Nov,38
2017,Dec,100
2018,Jan,33
2018,Feb,47
2018,Mar,37
2018,Apr,25
2018,May,18
2018,Jun,21
2018,Jul,25
2018,Aug,23
2018,Sep,25
2018,Oct,60
2018,Nov,20
2018,Dec,18
2019,Jan,22
2019,Feb,28
2019,Mar,35
2019,Apr,31
2019,May,20
2019,Jun,34
2019,Jul,18
2019,Aug,13
2019,Sep,21
2019,Oct,20
2019,Nov,21
2019,Dec,6
2020,Jan,13
2020,Feb,57
2020,Mar,21
2020,Apr,10
2020,May,7
2020,Jun,4
2020,Jul,15
2020,Aug,6
2020,Sep,9
2020,Oct,6
2020,Nov,12
2020,Dec,6
2021,Jan,8
