Owner:,BRONFMAN EDGAR  JR
Cname:,WARNER MUSIC GROUP CORP
Google Trends Search Term:,Edgar Bronfman, Jr.
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,25
2004,Feb,48
2004,Mar,0
2004,Apr,71
2004,May,43
2004,Jun,22
2004,Jul,0
2004,Aug,20
2004,Sep,0
2004,Oct,100
2004,Nov,41
2004,Dec,37
2005,Jan,80
2005,Feb,17
2005,Mar,0
2005,Apr,33
2005,May,29
2005,Jun,30
2005,Jul,15
2005,Aug,28
2005,Sep,13
2005,Oct,24
2005,Nov,25
2005,Dec,59
2006,Jan,21
2006,Feb,11
2006,Mar,10
2006,Apr,31
2006,May,19
2006,Jun,20
2006,Jul,40
2006,Aug,0
2006,Sep,36
2006,Oct,33
2006,Nov,0
2006,Dec,17
2007,Jan,29
2007,Feb,8
2007,Mar,7
2007,Apr,35
2007,May,26
2007,Jun,7
2007,Jul,26
2007,Aug,37
2007,Sep,12
2007,Oct,6
2007,Nov,11
2007,Dec,29
2008,Jan,10
2008,Feb,21
2008,Mar,15
2008,Apr,0
2008,May,15
2008,Jun,21
2008,Jul,15
2008,Aug,15
2008,Sep,19
2008,Oct,56
2008,Nov,43
2008,Dec,23
2009,Jan,26
2009,Feb,69
2009,Mar,13
2009,Apr,17
2009,May,13
2009,Jun,13
2009,Jul,13
2009,Aug,29
2009,Sep,12
2009,Oct,27
2009,Nov,12
2009,Dec,12
2010,Jan,11
2010,Feb,4
2010,Mar,10
2010,Apr,7
2010,May,45
2010,Jun,31
2010,Jul,23
2010,Aug,16
2010,Sep,9
2010,Oct,3
2010,Nov,21
2010,Dec,12
2011,Jan,16
2011,Feb,7
2011,Mar,7
2011,Apr,5
2011,May,16
2011,Jun,14
2011,Jul,9
2011,Aug,26
2011,Sep,17
2011,Oct,10
2011,Nov,4
2011,Dec,14
2012,Jan,4
2012,Feb,37
2012,Mar,4
2012,Apr,11
2012,May,11
2012,Jun,9
2012,Jul,16
2012,Aug,5
2012,Sep,12
2012,Oct,3
2012,Nov,18
2012,Dec,8
2013,Jan,6
2013,Feb,19
2013,Mar,48
2013,Apr,22
2013,May,6
2013,Jun,25
2013,Jul,11
2013,Aug,12
2013,Sep,16
2013,Oct,21
2013,Nov,12
2013,Dec,67
2014,Jan,14
2014,Feb,18
2014,Mar,23
2014,Apr,16
2014,May,17
2014,Jun,20
2014,Jul,11
2014,Aug,11
2014,Sep,9
2014,Oct,10
2014,Nov,11
2014,Dec,6
2015,Jan,6
2015,Feb,5
2015,Mar,5
2015,Apr,36
2015,May,10
2015,Jun,12
2015,Jul,6
2015,Aug,16
2015,Sep,6
2015,Oct,13
2015,Nov,3
2015,Dec,13
2016,Jan,7
2016,Feb,13
2016,Mar,19
2016,Apr,18
2016,May,11
2016,Jun,10
2016,Jul,8
2016,Aug,4
2016,Sep,12
2016,Oct,7
2016,Nov,27
2016,Dec,11
2017,Jan,11
2017,Feb,9
2017,Mar,8
2017,Apr,6
2017,May,17
2017,Jun,12
2017,Jul,21
2017,Aug,15
2017,Sep,8
2017,Oct,19
2017,Nov,7
2017,Dec,12
2018,Jan,3
2018,Feb,2
2018,Mar,10
2018,Apr,14
2018,May,6
2018,Jun,10
2018,Jul,28
2018,Aug,17
2018,Sep,4
2018,Oct,6
2018,Nov,8
2018,Dec,4
2019,Jan,5
2019,Feb,10
2019,Mar,10
2019,Apr,26
2019,May,15
2019,Jun,19
2019,Jul,5
2019,Aug,10
2019,Sep,6
2019,Oct,6
2019,Nov,8
2019,Dec,10
2020,Jan,7
2020,Feb,11
2020,Mar,7
2020,Apr,13
2020,May,6
2020,Jun,7
2020,Jul,17
2020,Aug,11
2020,Sep,17
2020,Oct,26
2020,Nov,6
2020,Dec,14
2021,Jan,9
