Owner:,BUCHANAN ASHLEY
Cname:,MICHAELS COMPANIES INC
Google Trends Search Term:,Ashley Buchanan
Google Trends Suggestion:,Chief Executive Officer of Michaels
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,62
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,45
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,29
2006,Jun,30
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,63
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,19
2007,Oct,17
2007,Nov,33
2007,Dec,17
2008,Jan,0
2008,Feb,31
2008,Mar,15
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,15
2008,Aug,15
2008,Sep,14
2008,Oct,13
2008,Nov,29
2008,Dec,0
2009,Jan,26
2009,Feb,0
2009,Mar,13
2009,Apr,13
2009,May,0
2009,Jun,0
2009,Jul,13
2009,Aug,0
2009,Sep,12
2009,Oct,24
2009,Nov,12
2009,Dec,0
2010,Jan,0
2010,Feb,12
2010,Mar,0
2010,Apr,11
2010,May,0
2010,Jun,0
2010,Jul,20
2010,Aug,0
2010,Sep,9
2010,Oct,18
2010,Nov,18
2010,Dec,9
2011,Jan,0
2011,Feb,23
2011,Mar,14
2011,Apr,14
2011,May,7
2011,Jun,7
2011,Jul,35
2011,Aug,0
2011,Sep,13
2011,Oct,0
2011,Nov,0
2011,Dec,12
2012,Jan,28
2012,Feb,22
2012,Mar,22
2012,Apr,0
2012,May,5
2012,Jun,0
2012,Jul,5
2012,Aug,16
2012,Sep,0
2012,Oct,10
2012,Nov,10
2012,Dec,24
2013,Jan,9
2013,Feb,5
2013,Mar,4
2013,Apr,5
2013,May,0
2013,Jun,19
2013,Jul,14
2013,Aug,18
2013,Sep,9
2013,Oct,4
2013,Nov,13
2013,Dec,9
2014,Jan,4
2014,Feb,0
2014,Mar,8
2014,Apr,4
2014,May,0
2014,Jun,15
2014,Jul,10
2014,Aug,5
2014,Sep,19
2014,Oct,13
2014,Nov,0
2014,Dec,14
2015,Jan,9
2015,Feb,10
2015,Mar,9
2015,Apr,38
2015,May,10
2015,Jun,15
2015,Jul,10
2015,Aug,14
2015,Sep,14
2015,Oct,0
2015,Nov,9
2015,Dec,4
2016,Jan,7
2016,Feb,12
2016,Mar,7
2016,Apr,15
2016,May,11
2016,Jun,4
2016,Jul,16
2016,Aug,4
2016,Sep,8
2016,Oct,0
2016,Nov,11
2016,Dec,0
2017,Jan,23
2017,Feb,11
2017,Mar,13
2017,Apr,10
2017,May,7
2017,Jun,18
2017,Jul,7
2017,Aug,10
2017,Sep,14
2017,Oct,20
2017,Nov,13
2017,Dec,13
2018,Jan,3
2018,Feb,3
2018,Mar,16
2018,Apr,7
2018,May,16
2018,Jun,31
2018,Jul,24
2018,Aug,13
2018,Sep,7
2018,Oct,10
2018,Nov,13
2018,Dec,7
2019,Jan,19
2019,Feb,10
2019,Mar,19
2019,Apr,23
2019,May,3
2019,Jun,3
2019,Jul,20
2019,Aug,6
2019,Sep,12
2019,Oct,9
2019,Nov,3
2019,Dec,100
2020,Jan,40
2020,Feb,21
2020,Mar,8
2020,Apr,13
2020,May,21
2020,Jun,28
2020,Jul,25
2020,Aug,30
2020,Sep,25
2020,Oct,12
2020,Nov,18
2020,Dec,25
2021,Jan,12
