Owner:,ECKERT ROBERT A
Cname:,MATTEL INC
Google Trends Search Term:,Robert A. Eckert
Google Trends Suggestion:,Businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,98
2004,Mar,0
2004,Apr,48
2004,May,43
2004,Jun,0
2004,Jul,0
2004,Aug,82
2004,Sep,39
2004,Oct,81
2004,Nov,0
2004,Dec,0
2005,Jan,65
2005,Feb,0
2005,Mar,58
2005,Apr,100
2005,May,0
2005,Jun,30
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,49
2005,Nov,0
2005,Dec,48
2006,Jan,0
2006,Feb,44
2006,Mar,20
2006,Apr,41
2006,May,39
2006,Jun,20
2006,Jul,20
2006,Aug,18
2006,Sep,18
2006,Oct,34
2006,Nov,17
2006,Dec,83
2007,Jan,15
2007,Feb,47
2007,Mar,28
2007,Apr,14
2007,May,26
2007,Jun,0
2007,Jul,0
2007,Aug,99
2007,Sep,87
2007,Oct,33
2007,Nov,22
2007,Dec,23
2008,Jan,51
2008,Feb,0
2008,Mar,10
2008,Apr,0
2008,May,41
2008,Jun,43
2008,Jul,41
2008,Aug,0
2008,Sep,19
2008,Oct,26
2008,Nov,58
2008,Dec,19
2009,Jan,18
2009,Feb,28
2009,Mar,17
2009,Apr,34
2009,May,52
2009,Jun,35
2009,Jul,26
2009,Aug,34
2009,Sep,33
2009,Oct,24
2009,Nov,16
2009,Dec,0
2010,Jan,23
2010,Feb,23
2010,Mar,28
2010,Apr,44
2010,May,31
2010,Jun,39
2010,Jul,20
2010,Aug,6
2010,Sep,12
2010,Oct,12
2010,Nov,36
2010,Dec,6
2011,Jan,5
2011,Feb,25
2011,Mar,18
2011,Apr,28
2011,May,41
2011,Jun,14
2011,Jul,23
2011,Aug,22
2011,Sep,30
2011,Oct,32
2011,Nov,45
2011,Dec,20
2012,Jan,19
2012,Feb,15
2012,Mar,11
2012,Apr,15
2012,May,14
2012,Jun,4
2012,Jul,7
2012,Aug,14
2012,Sep,7
2012,Oct,20
2012,Nov,10
2012,Dec,20
2013,Jan,12
2013,Feb,26
2013,Mar,12
2013,Apr,15
2013,May,6
2013,Jun,6
2013,Jul,12
2013,Aug,6
2013,Sep,15
2013,Oct,3
2013,Nov,12
2013,Dec,6
2014,Jan,14
2014,Feb,15
2014,Mar,14
2014,Apr,9
2014,May,15
2014,Jun,7
2014,Jul,23
2014,Aug,10
2014,Sep,9
2014,Oct,21
2014,Nov,19
2014,Dec,13
2015,Jan,3
2015,Feb,3
2015,Mar,12
2015,Apr,6
2015,May,13
2015,Jun,7
2015,Jul,7
2015,Aug,19
2015,Sep,3
2015,Oct,6
2015,Nov,6
2015,Dec,9
2016,Jan,7
2016,Feb,8
2016,Mar,10
2016,Apr,17
2016,May,7
2016,Jun,8
2016,Jul,16
2016,Aug,10
2016,Sep,5
2016,Oct,7
2016,Nov,7
2016,Dec,9
2017,Jan,4
2017,Feb,9
2017,Mar,4
2017,Apr,7
2017,May,9
2017,Jun,5
2017,Jul,7
2017,Aug,14
2017,Sep,5
2017,Oct,13
2017,Nov,9
2017,Dec,0
2018,Jan,6
2018,Feb,12
2018,Mar,11
2018,Apr,9
2018,May,2
2018,Jun,14
2018,Jul,5
2018,Aug,18
2018,Sep,2
2018,Oct,2
2018,Nov,2
2018,Dec,0
2019,Jan,6
2019,Feb,0
2019,Mar,13
2019,Apr,4
2019,May,13
2019,Jun,2
2019,Jul,0
2019,Aug,15
2019,Sep,6
2019,Oct,4
2019,Nov,10
2019,Dec,8
2020,Jan,8
2020,Feb,4
2020,Mar,12
2020,Apr,22
2020,May,12
2020,Jun,15
2020,Jul,11
2020,Aug,5
2020,Sep,5
2020,Oct,4
2020,Nov,0
2020,Dec,6
2021,Jan,2
