Owner:,FALCONE PHILIP A
Cname:,INNOVATE CORP
Google Trends Search Term:,Philip Falcone
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,9
2004,Dec,0
2005,Jan,14
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,6
2005,Aug,6
2005,Sep,0
2005,Oct,0
2005,Nov,11
2005,Dec,0
2006,Jan,5
2006,Feb,0
2006,Mar,4
2006,Apr,0
2006,May,4
2006,Jun,4
2006,Jul,0
2006,Aug,8
2006,Sep,4
2006,Oct,4
2006,Nov,4
2006,Dec,4
2007,Jan,3
2007,Feb,0
2007,Mar,6
2007,Apr,0
2007,May,6
2007,Jun,3
2007,Jul,3
2007,Aug,5
2007,Sep,3
2007,Oct,5
2007,Nov,5
2007,Dec,10
2008,Jan,11
2008,Feb,22
2008,Mar,37
2008,Apr,47
2008,May,32
2008,Jun,14
2008,Jul,24
2008,Aug,26
2008,Sep,28
2008,Oct,18
2008,Nov,100
2008,Dec,16
2009,Jan,9
2009,Feb,16
2009,Mar,18
2009,Apr,18
2009,May,13
2009,Jun,30
2009,Jul,13
2009,Aug,9
2009,Sep,9
2009,Oct,23
2009,Nov,15
2009,Dec,18
2010,Jan,13
2010,Feb,26
2010,Mar,25
2010,Apr,32
2010,May,18
2010,Jun,31
2010,Jul,8
2010,Aug,23
2010,Sep,26
2010,Oct,24
2010,Nov,46
2010,Dec,28
2011,Jan,21
2011,Feb,25
2011,Mar,17
2011,Apr,14
2011,May,13
2011,Jun,40
2011,Jul,27
2011,Aug,21
2011,Sep,50
2011,Oct,14
2011,Nov,13
2011,Dec,64
2012,Jan,21
2012,Feb,42
2012,Mar,20
2012,Apr,36
2012,May,34
2012,Jun,40
2012,Jul,33
2012,Aug,15
2012,Sep,33
2012,Oct,17
2012,Nov,13
2012,Dec,11
2013,Jan,9
2013,Feb,8
2013,Mar,13
2013,Apr,12
2013,May,31
2013,Jun,10
2013,Jul,18
2013,Aug,40
2013,Sep,8
2013,Oct,13
2013,Nov,9
2013,Dec,11
2014,Jan,12
2014,Feb,10
2014,Mar,11
2014,Apr,8
2014,May,6
2014,Jun,9
2014,Jul,10
2014,Aug,7
2014,Sep,9
2014,Oct,11
2014,Nov,23
2014,Dec,5
2015,Jan,8
2015,Feb,5
2015,Mar,8
2015,Apr,6
2015,May,11
2015,Jun,6
2015,Jul,6
2015,Aug,10
2015,Sep,9
2015,Oct,9
2015,Nov,5
2015,Dec,12
2016,Jan,12
2016,Feb,9
2016,Mar,13
2016,Apr,6
2016,May,9
2016,Jun,7
2016,Jul,3
2016,Aug,7
2016,Sep,7
2016,Oct,2
2016,Nov,6
2016,Dec,10
2017,Jan,4
2017,Feb,3
2017,Mar,12
2017,Apr,5
2017,May,10
2017,Jun,5
2017,Jul,4
2017,Aug,1
2017,Sep,4
2017,Oct,6
2017,Nov,5
2017,Dec,5
2018,Jan,5
2018,Feb,4
2018,Mar,7
2018,Apr,5
2018,May,5
2018,Jun,6
2018,Jul,2
2018,Aug,2
2018,Sep,10
2018,Oct,5
2018,Nov,3
2018,Dec,6
2019,Jan,5
2019,Feb,3
2019,Mar,5
2019,Apr,5
2019,May,5
2019,Jun,17
2019,Jul,5
2019,Aug,15
2019,Sep,2
2019,Oct,2
2019,Nov,19
2019,Dec,3
2020,Jan,2
2020,Feb,5
2020,Mar,4
2020,Apr,3
2020,May,3
2020,Jun,5
2020,Jul,4
2020,Aug,4
2020,Sep,3
2020,Oct,4
2020,Nov,6
2020,Dec,4
2021,Jan,9
