Owner:,GUPTA RAJIV L
Cname:,ROHM & HAAS CO
Google Trends Search Term:,Rajiv L. Gupta
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,82
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,76
2004,Nov,0
2004,Dec,0
2005,Jan,61
2005,Feb,64
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,83
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,38
2006,Aug,34
2006,Sep,0
2006,Oct,32
2006,Nov,63
2006,Dec,31
2007,Jan,28
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,25
2007,Jun,26
2007,Jul,0
2007,Aug,0
2007,Sep,23
2007,Oct,21
2007,Nov,0
2007,Dec,22
2008,Jan,19
2008,Feb,0
2008,Mar,19
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,19
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,34
2009,Feb,35
2009,Mar,48
2009,Apr,32
2009,May,66
2009,Jun,0
2009,Jul,16
2009,Aug,16
2009,Sep,78
2009,Oct,28
2009,Nov,29
2009,Dec,14
2010,Jan,0
2010,Feb,41
2010,Mar,13
2010,Apr,26
2010,May,41
2010,Jun,41
2010,Jul,24
2010,Aug,23
2010,Sep,11
2010,Oct,0
2010,Nov,21
2010,Dec,21
2011,Jan,0
2011,Feb,18
2011,Mar,80
2011,Apr,50
2011,May,0
2011,Jun,25
2011,Jul,25
2011,Aug,31
2011,Sep,15
2011,Oct,50
2011,Nov,37
2011,Dec,14
2012,Jan,33
2012,Feb,13
2012,Mar,38
2012,Apr,7
2012,May,64
2012,Jun,100
2012,Jul,45
2012,Aug,19
2012,Sep,19
2012,Oct,53
2012,Nov,18
2012,Dec,6
2013,Jan,27
2013,Feb,23
2013,Mar,21
2013,Apr,22
2013,May,22
2013,Jun,28
2013,Jul,16
2013,Aug,27
2013,Sep,11
2013,Oct,20
2013,Nov,5
2013,Dec,37
2014,Jan,30
2014,Feb,22
2014,Mar,20
2014,Apr,20
2014,May,16
2014,Jun,24
2014,Jul,6
2014,Aug,29
2014,Sep,17
2014,Oct,21
2014,Nov,6
2014,Dec,6
2015,Jan,22
2015,Feb,11
2015,Mar,27
2015,Apr,11
2015,May,17
2015,Jun,0
2015,Jul,23
2015,Aug,17
2015,Sep,5
2015,Oct,10
2015,Nov,11
2015,Dec,11
2016,Jan,4
2016,Feb,0
2016,Mar,0
2016,Apr,17
2016,May,0
2016,Jun,14
2016,Jul,18
2016,Aug,5
2016,Sep,13
2016,Oct,9
2016,Nov,17
2016,Dec,16
2017,Jan,16
2017,Feb,4
2017,Mar,15
2017,Apr,12
2017,May,8
2017,Jun,17
2017,Jul,4
2017,Aug,4
2017,Sep,4
2017,Oct,8
2017,Nov,16
2017,Dec,12
2018,Jan,11
2018,Feb,16
2018,Mar,15
2018,Apr,8
2018,May,38
2018,Jun,16
2018,Jul,20
2018,Aug,27
2018,Sep,8
2018,Oct,8
2018,Nov,0
2018,Dec,4
2019,Jan,11
2019,Feb,20
2019,Mar,23
2019,Apr,23
2019,May,42
2019,Jun,4
2019,Jul,8
2019,Aug,15
2019,Sep,7
2019,Oct,28
2019,Nov,14
2019,Dec,0
2020,Jan,13
2020,Feb,18
2020,Mar,15
2020,Apr,12
2020,May,15
2020,Jun,0
2020,Jul,0
2020,Aug,13
2020,Sep,3
2020,Oct,7
2020,Nov,11
2020,Dec,4
2021,Jan,17
