Owner:,KRAVIS HENRY R
Cname:,KKR & CO L P
Google Trends Search Term:,Henry Kravis
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,45
2004,Feb,44
2004,Mar,99
2004,Apr,22
2004,May,79
2004,Jun,71
2004,Jul,42
2004,Aug,75
2004,Sep,36
2004,Oct,37
2004,Nov,85
2004,Dec,25
2005,Jan,59
2005,Feb,54
2005,Mar,72
2005,Apr,68
2005,May,54
2005,Jun,35
2005,Jul,55
2005,Aug,38
2005,Sep,71
2005,Oct,33
2005,Nov,51
2005,Dec,27
2006,Jan,39
2006,Feb,35
2006,Mar,67
2006,Apr,61
2006,May,48
2006,Jun,42
2006,Jul,68
2006,Aug,46
2006,Sep,46
2006,Oct,38
2006,Nov,34
2006,Dec,4
2007,Jan,43
2007,Feb,46
2007,Mar,70
2007,Apr,45
2007,May,41
2007,Jun,53
2007,Jul,56
2007,Aug,56
2007,Sep,51
2007,Oct,23
2007,Nov,38
2007,Dec,100
2008,Jan,56
2008,Feb,53
2008,Mar,12
2008,Apr,55
2008,May,46
2008,Jun,64
2008,Jul,33
2008,Aug,23
2008,Sep,38
2008,Oct,30
2008,Nov,33
2008,Dec,26
2009,Jan,32
2009,Feb,36
2009,Mar,31
2009,Apr,17
2009,May,22
2009,Jun,16
2009,Jul,32
2009,Aug,25
2009,Sep,26
2009,Oct,36
2009,Nov,29
2009,Dec,23
2010,Jan,20
2010,Feb,26
2010,Mar,29
2010,Apr,15
2010,May,22
2010,Jun,35
2010,Jul,30
2010,Aug,14
2010,Sep,18
2010,Oct,36
2010,Nov,27
2010,Dec,42
2011,Jan,28
2011,Feb,24
2011,Mar,42
2011,Apr,24
2011,May,15
2011,Jun,24
2011,Jul,15
2011,Aug,18
2011,Sep,15
2011,Oct,18
2011,Nov,28
2011,Dec,22
2012,Jan,17
2012,Feb,20
2012,Mar,25
2012,Apr,22
2012,May,15
2012,Jun,20
2012,Jul,23
2012,Aug,17
2012,Sep,16
2012,Oct,18
2012,Nov,17
2012,Dec,21
2013,Jan,17
2013,Feb,21
2013,Mar,23
2013,Apr,17
2013,May,20
2013,Jun,12
2013,Jul,22
2013,Aug,16
2013,Sep,22
2013,Oct,16
2013,Nov,20
2013,Dec,13
2014,Jan,18
2014,Feb,32
2014,Mar,15
2014,Apr,17
2014,May,19
2014,Jun,13
2014,Jul,25
2014,Aug,21
2014,Sep,18
2014,Oct,20
2014,Nov,9
2014,Dec,16
2015,Jan,15
2015,Feb,14
2015,Mar,21
2015,Apr,16
2015,May,14
2015,Jun,17
2015,Jul,19
2015,Aug,19
2015,Sep,20
2015,Oct,19
2015,Nov,19
2015,Dec,15
2016,Jan,11
2016,Feb,16
2016,Mar,12
2016,Apr,17
2016,May,21
2016,Jun,16
2016,Jul,14
2016,Aug,11
2016,Sep,9
2016,Oct,10
2016,Nov,16
2016,Dec,15
2017,Jan,12
2017,Feb,36
2017,Mar,16
2017,Apr,18
2017,May,14
2017,Jun,13
2017,Jul,22
2017,Aug,20
2017,Sep,15
2017,Oct,13
2017,Nov,13
2017,Dec,17
2018,Jan,16
2018,Feb,19
2018,Mar,13
2018,Apr,18
2018,May,15
2018,Jun,17
2018,Jul,16
2018,Aug,10
2018,Sep,14
2018,Oct,17
2018,Nov,15
2018,Dec,13
2019,Jan,25
2019,Feb,16
2019,Mar,12
2019,Apr,16
2019,May,19
2019,Jun,14
2019,Jul,13
2019,Aug,12
2019,Sep,15
2019,Oct,18
2019,Nov,27
2019,Dec,23
2020,Jan,14
2020,Feb,18
2020,Mar,9
2020,Apr,12
2020,May,30
2020,Jun,17
2020,Jul,12
2020,Aug,11
2020,Sep,11
2020,Oct,9
2020,Nov,12
2020,Dec,10
2021,Jan,8
