Owner:,KREIZ YNON
Cname:,MATTEL INC
Google Trends Search Term:,Ynon Kreiz
Google Trends Suggestion:,CEO of Mattel
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,52
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,45
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,36
2005,Feb,37
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,33
2005,Aug,31
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,23
2006,Feb,0
2006,Mar,22
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,16
2007,Feb,0
2007,Mar,31
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,14
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,25
2007,Dec,13
2008,Jan,0
2008,Feb,0
2008,Mar,23
2008,Apr,0
2008,May,0
2008,Jun,12
2008,Jul,11
2008,Aug,0
2008,Sep,0
2008,Oct,29
2008,Nov,11
2008,Dec,0
2009,Jan,10
2009,Feb,0
2009,Mar,0
2009,Apr,28
2009,May,0
2009,Jun,10
2009,Jul,10
2009,Aug,9
2009,Sep,0
2009,Oct,0
2009,Nov,9
2009,Dec,0
2010,Jan,8
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,21
2010,Oct,14
2010,Nov,13
2010,Dec,7
2011,Jan,0
2011,Feb,6
2011,Mar,10
2011,Apr,0
2011,May,10
2011,Jun,16
2011,Jul,10
2011,Aug,0
2011,Sep,10
2011,Oct,4
2011,Nov,0
2011,Dec,0
2012,Jan,0
2012,Feb,8
2012,Mar,4
2012,Apr,13
2012,May,12
2012,Jun,8
2012,Jul,8
2012,Aug,8
2012,Sep,0
2012,Oct,4
2012,Nov,4
2012,Dec,4
2013,Jan,0
2013,Feb,7
2013,Mar,10
2013,Apr,3
2013,May,20
2013,Jun,18
2013,Jul,27
2013,Aug,13
2013,Sep,23
2013,Oct,16
2013,Nov,3
2013,Dec,10
2014,Jan,12
2014,Feb,10
2014,Mar,18
2014,Apr,16
2014,May,10
2014,Jun,23
2014,Jul,7
2014,Aug,18
2014,Sep,7
2014,Oct,10
2014,Nov,14
2014,Dec,10
2015,Jan,17
2015,Feb,32
2015,Mar,7
2015,Apr,10
2015,May,11
2015,Jun,4
2015,Jul,18
2015,Aug,14
2015,Sep,7
2015,Oct,10
2015,Nov,10
2015,Dec,13
2016,Jan,5
2016,Feb,17
2016,Mar,3
2016,Apr,8
2016,May,8
2016,Jun,9
2016,Jul,6
2016,Aug,3
2016,Sep,8
2016,Oct,13
2016,Nov,16
2016,Dec,3
2017,Jan,5
2017,Feb,8
2017,Mar,7
2017,Apr,10
2017,May,8
2017,Jun,0
2017,Jul,3
2017,Aug,3
2017,Sep,3
2017,Oct,2
2017,Nov,2
2017,Dec,0
2018,Jan,2
2018,Feb,10
2018,Mar,14
2018,Apr,100
2018,May,19
2018,Jun,13
2018,Jul,18
2018,Aug,22
2018,Sep,22
2018,Oct,17
2018,Nov,17
2018,Dec,7
2019,Jan,9
2019,Feb,38
2019,Mar,17
2019,Apr,27
2019,May,22
2019,Jun,10
2019,Jul,12
2019,Aug,14
2019,Sep,14
2019,Oct,20
2019,Nov,11
2019,Dec,16
2020,Jan,10
2020,Feb,29
2020,Mar,12
2020,Apr,13
2020,May,23
2020,Jun,10
2020,Jul,14
2020,Aug,16
2020,Sep,4
2020,Oct,20
2020,Nov,20
2020,Dec,5
2021,Jan,4
