Owner:,MELO JOHN
Cname:,AMYRIS INC
Google Trends Search Term:,John G. Melo
Google Trends Suggestion:,CEO of Amyris Biotechnologies
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,98
2005,Jun,100
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,39
2006,Jan,35
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,32
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,30
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,23
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,21
2007,Aug,20
2007,Sep,41
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,34
2008,Apr,50
2008,May,33
2008,Jun,18
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,29
2008,Nov,0
2008,Dec,31
2009,Jan,29
2009,Feb,0
2009,Mar,14
2009,Apr,28
2009,May,29
2009,Jun,0
2009,Jul,0
2009,Aug,14
2009,Sep,0
2009,Oct,0
2009,Nov,13
2009,Dec,0
2010,Jan,25
2010,Feb,13
2010,Mar,11
2010,Apr,0
2010,May,12
2010,Jun,13
2010,Jul,0
2010,Aug,10
2010,Sep,40
2010,Oct,30
2010,Nov,19
2010,Dec,19
2011,Jan,15
2011,Feb,25
2011,Mar,0
2011,Apr,8
2011,May,15
2011,Jun,0
2011,Jul,8
2011,Aug,14
2011,Sep,14
2011,Oct,7
2011,Nov,20
2011,Dec,0
2012,Jan,0
2012,Feb,24
2012,Mar,12
2012,Apr,0
2012,May,12
2012,Jun,6
2012,Jul,6
2012,Aug,11
2012,Sep,0
2012,Oct,16
2012,Nov,6
2012,Dec,5
2013,Jan,0
2013,Feb,11
2013,Mar,10
2013,Apr,0
2013,May,10
2013,Jun,0
2013,Jul,5
2013,Aug,5
2013,Sep,10
2013,Oct,9
2013,Nov,5
2013,Dec,5
2014,Jan,5
2014,Feb,5
2014,Mar,14
2014,Apr,19
2014,May,10
2014,Jun,11
2014,Jul,0
2014,Aug,0
2014,Sep,10
2014,Oct,5
2014,Nov,5
2014,Dec,21
2015,Jan,5
2015,Feb,10
2015,Mar,10
2015,Apr,15
2015,May,11
2015,Jun,16
2015,Jul,11
2015,Aug,0
2015,Sep,10
2015,Oct,0
2015,Nov,5
2015,Dec,0
2016,Jan,12
2016,Feb,8
2016,Mar,8
2016,Apr,12
2016,May,8
2016,Jun,8
2016,Jul,0
2016,Aug,9
2016,Sep,4
2016,Oct,4
2016,Nov,4
2016,Dec,4
2017,Jan,4
2017,Feb,12
2017,Mar,21
2017,Apr,15
2017,May,11
2017,Jun,12
2017,Jul,12
2017,Aug,8
2017,Sep,4
2017,Oct,14
2017,Nov,7
2017,Dec,7
2018,Jan,3
2018,Feb,11
2018,Mar,3
2018,Apr,7
2018,May,18
2018,Jun,4
2018,Jul,7
2018,Aug,7
2018,Sep,15
2018,Oct,7
2018,Nov,11
2018,Dec,7
2019,Jan,3
2019,Feb,7
2019,Mar,7
2019,Apr,14
2019,May,0
2019,Jun,18
2019,Jul,11
2019,Aug,10
2019,Sep,0
2019,Oct,0
2019,Nov,3
2019,Dec,3
2020,Jan,9
2020,Feb,7
2020,Mar,6
2020,Apr,3
2020,May,3
2020,Jun,6
2020,Jul,0
2020,Aug,9
2020,Sep,3
2020,Oct,7
2020,Nov,0
2020,Dec,3
2021,Jan,6
